mode,seed,branch,e0_work,a1_work,ds1_comparisons,ds1_candidate_evaluations,ds1_proposals,ds1_route_firings,ds1_credit_updates,post_choice_evidence_events,selected_executions,selected_spikes,selected_arrows,selected_mutations,evaluator_comparisons,e0_persistent_bytes,a1_persistent_bytes,ds1_persistent_bytes,temporary_peak_bytes,maintenance,carrying,status
MICRO,100,primary,99443,416,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
MICRO,100,permuted_control,0,417,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
GATE,100,primary,154355,416,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
GATE,100,permuted_control,0,417,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
GATE,101,primary,154355,417,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
GATE,101,permuted_control,0,416,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
GATE,102,primary,154355,416,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
GATE,102,permuted_control,0,417,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
GATE,103,primary,154355,417,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
GATE,103,permuted_control,0,416,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
GATE,104,primary,154355,416,0,2,2,1,0,0,1,2,1,2,1,130,12,320,344,0,0,STAGE_7_COLLAPSE
GATE,104,permuted_control,0,417,0,0,0,0,0,0,1,2,1,2,1,0,12,0,344,0,0,CONTROL
