mode,seed,arm,property_fields,candidate_to_bool_edges,reachable_update_edges,runtime_ds1_updates,input_value,persistent_property_bytes,classification
MICRO,100,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
MICRO,100,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
MICRO,100,ALTERNATIVE_COMPARISON,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
MICRO,100,POLARITY,1,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
MICRO,100,OUTCOME_CHANGE,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,100,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,100,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,100,ALTERNATIVE_COMPARISON,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,100,POLARITY,1,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,100,OUTCOME_CHANGE,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,101,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,101,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,101,ALTERNATIVE_COMPARISON,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,101,POLARITY,1,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,101,OUTCOME_CHANGE,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,102,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,102,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,102,ALTERNATIVE_COMPARISON,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,102,POLARITY,1,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,102,OUTCOME_CHANGE,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,103,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,103,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,103,ALTERNATIVE_COMPARISON,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,103,POLARITY,1,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,103,OUTCOME_CHANGE,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,104,OWNERSHIP_ONLY,0,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,104,TEMPORAL_CONTRAST,2,0,0,0,NONE,0,INSUFFICIENT_REACHABILITY
GATE,104,ALTERNATIVE_COMPARISON,2,1,1,1,false,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,104,POLARITY,1,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
GATE,104,OUTCOME_CHANGE,2,1,1,1,true,0,INDIVIDUALLY_SUFFICIENT_DIAGNOSTIC
