seed,arm,property_fields,updates,patterns,divergent_patterns,correct_mature_patterns,heldout_successes,heldout_abstentions,learner_work,learner_bytes,property_bytes,functional_status,equivalence_status
100,ALTERNATIVE_COMPARISON,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
100,POLARITY,1,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
100,OUTCOME_CHANGE,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
101,ALTERNATIVE_COMPARISON,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
101,POLARITY,1,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
101,OUTCOME_CHANGE,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
102,ALTERNATIVE_COMPARISON,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
102,POLARITY,1,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
102,OUTCOME_CHANGE,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
103,ALTERNATIVE_COMPARISON,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
103,POLARITY,1,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
103,OUTCOME_CHANGE,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
104,ALTERNATIVE_COMPARISON,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
104,POLARITY,1,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
104,OUTCOME_CHANGE,2,32,4,4,4,16,0,186,320,0,FULL_RECOVERY,EQUIVALENT_WITHIN_SEED
