scenario,entered_impulse,source_firings,traversals,trace_writes,trace_closes,locus_arrivals,locus_firings,effects,expected_effect,heldout_effects,work,persistent_bytes,temporary_peak_bytes_lower_bound,deallocations,complete_fingerprint,permanent_fingerprint,quiescent,replay_equal,passed
two-unit-firings-one-path,4,1,1,1,1,1,0,0,0,0,22,544,104,0,14289241123348007783,8126675836188890562,true,true,true
one-impulse-two-one-path,2,1,1,1,0,1,0,0,0,0,15,544,80,0,7349047681403405509,5794068280762875087,true,true,true
two-unit-different-paths,4,2,2,3,0,2,1,1,1,1,48,544,216,0,14294457612711634020,15006389458375265973,true,true,true
different-paths-outside-window,4,2,2,2,0,2,0,0,0,0,32,544,160,0,898614863124501676,13182111971873695579,true,true,true
different-paths-inside-window,4,2,2,3,0,2,1,1,1,1,48,544,216,0,9799935619667205540,1098333158316886605,true,true,true
four-firings-one-path,8,1,1,1,1,1,0,0,0,0,37,544,152,0,11835820740936707183,6890417656884069552,true,true,true
repeated-a-plus-b,6,2,2,3,1,2,1,1,1,1,56,544,240,0,1586625160060125382,10818534507866186290,true,true,true
a-plus-repeated-b,6,2,2,3,1,2,1,1,1,1,58,544,240,0,2718947360853703130,2490943283626062866,true,true,true
three-different-paths,6,3,3,4,1,3,1,1,1,1,69,544,296,0,6102960855446402003,3647457153025997964,true,true,true
mature-one-path,2,1,1,2,0,1,1,1,0,1,31,544,136,0,4609125972018776702,2337334410684937640,true,true,false
fresh-different-paths,4,2,2,3,0,2,1,1,1,1,48,544,216,0,4408901706382595844,505125300547945989,true,true,true
one-origin-two-paths,2,1,2,3,0,2,1,1,1,1,35,480,192,0,16272589397970873545,15636900960388567786,true,true,true
two-origins-shared-path,4,3,2,5,0,2,1,1,0,1,72,608,264,0,7784546226066527805,7284052968931711413,true,true,false
