choices,maturity,seed,phase,problem,old_action,new_action,preferred_action,trusted,violation_streak,reopen_count,selected_actions,paid_actions,correct,historical_evidence
16,10,0,first-remap,1,2,0,2,true,1,0,2,1,false,13
16,10,0,first-remap,2,2,0,2,true,2,0,2,1,false,14
16,10,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|0,14,true,28
16,10,0,first-remap,4,2,0,0,true,0,1,0,1,true,29
16,10,0,first-remap,5,2,0,0,true,0,1,0,1,true,30
16,10,0,first-remap,6,2,0,0,true,0,1,0,1,true,31
16,10,0,first-remap,7,2,0,0,true,0,1,0,1,true,32
16,10,0,first-remap,8,2,0,0,true,0,1,0,1,true,33
16,10,1,first-remap,1,3,1,3,true,1,0,3,1,false,13
16,10,1,first-remap,2,3,1,3,true,2,0,3,1,false,14
16,10,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|0|1,14,true,28
16,10,1,first-remap,4,3,1,1,true,0,1,1,1,true,29
16,10,1,first-remap,5,3,1,1,true,0,1,1,1,true,30
16,10,1,first-remap,6,3,1,1,true,0,1,1,1,true,31
16,10,1,first-remap,7,3,1,1,true,0,1,1,1,true,32
16,10,1,first-remap,8,3,1,1,true,0,1,1,1,true,33
16,50,0,first-remap,1,2,0,2,true,1,0,2,1,false,53
16,50,0,first-remap,2,2,0,2,true,2,0,2,1,false,54
16,50,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|0,14,true,68
16,50,0,first-remap,4,2,0,0,true,0,1,0,1,true,69
16,50,0,first-remap,5,2,0,0,true,0,1,0,1,true,70
16,50,0,first-remap,6,2,0,0,true,0,1,0,1,true,71
16,50,0,first-remap,7,2,0,0,true,0,1,0,1,true,72
16,50,0,first-remap,8,2,0,0,true,0,1,0,1,true,73
16,50,1,first-remap,1,3,1,3,true,1,0,3,1,false,53
16,50,1,first-remap,2,3,1,3,true,2,0,3,1,false,54
16,50,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|0|1,14,true,68
16,50,1,first-remap,4,3,1,1,true,0,1,1,1,true,69
16,50,1,first-remap,5,3,1,1,true,0,1,1,1,true,70
16,50,1,first-remap,6,3,1,1,true,0,1,1,1,true,71
16,50,1,first-remap,7,3,1,1,true,0,1,1,1,true,72
16,50,1,first-remap,8,3,1,1,true,0,1,1,1,true,73
16,100,0,first-remap,1,2,0,2,true,1,0,2,1,false,103
16,100,0,first-remap,2,2,0,2,true,2,0,2,1,false,104
16,100,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|0,14,true,118
16,100,0,first-remap,4,2,0,0,true,0,1,0,1,true,119
16,100,0,first-remap,5,2,0,0,true,0,1,0,1,true,120
16,100,0,first-remap,6,2,0,0,true,0,1,0,1,true,121
16,100,0,first-remap,7,2,0,0,true,0,1,0,1,true,122
16,100,0,first-remap,8,2,0,0,true,0,1,0,1,true,123
16,100,1,first-remap,1,3,1,3,true,1,0,3,1,false,103
16,100,1,first-remap,2,3,1,3,true,2,0,3,1,false,104
16,100,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|0|1,14,true,118
16,100,1,first-remap,4,3,1,1,true,0,1,1,1,true,119
16,100,1,first-remap,5,3,1,1,true,0,1,1,1,true,120
16,100,1,first-remap,6,3,1,1,true,0,1,1,1,true,121
16,100,1,first-remap,7,3,1,1,true,0,1,1,1,true,122
16,100,1,first-remap,8,3,1,1,true,0,1,1,1,true,123
64,10,0,first-remap,1,2,0,2,true,1,0,2,1,false,13
64,10,0,first-remap,2,2,0,2,true,2,0,2,1,false,14
64,10,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0,62,true,76
64,10,0,first-remap,4,2,0,0,true,0,1,0,1,true,77
64,10,0,first-remap,5,2,0,0,true,0,1,0,1,true,78
64,10,0,first-remap,6,2,0,0,true,0,1,0,1,true,79
64,10,0,first-remap,7,2,0,0,true,0,1,0,1,true,80
64,10,0,first-remap,8,2,0,0,true,0,1,0,1,true,81
64,10,1,first-remap,1,3,1,3,true,1,0,3,1,false,13
64,10,1,first-remap,2,3,1,3,true,2,0,3,1,false,14
64,10,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0|1,62,true,76
64,10,1,first-remap,4,3,1,1,true,0,1,1,1,true,77
64,10,1,first-remap,5,3,1,1,true,0,1,1,1,true,78
64,10,1,first-remap,6,3,1,1,true,0,1,1,1,true,79
64,10,1,first-remap,7,3,1,1,true,0,1,1,1,true,80
64,10,1,first-remap,8,3,1,1,true,0,1,1,1,true,81
64,50,0,first-remap,1,2,0,2,true,1,0,2,1,false,53
64,50,0,first-remap,2,2,0,2,true,2,0,2,1,false,54
64,50,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0,62,true,116
64,50,0,first-remap,4,2,0,0,true,0,1,0,1,true,117
64,50,0,first-remap,5,2,0,0,true,0,1,0,1,true,118
64,50,0,first-remap,6,2,0,0,true,0,1,0,1,true,119
64,50,0,first-remap,7,2,0,0,true,0,1,0,1,true,120
64,50,0,first-remap,8,2,0,0,true,0,1,0,1,true,121
64,50,1,first-remap,1,3,1,3,true,1,0,3,1,false,53
64,50,1,first-remap,2,3,1,3,true,2,0,3,1,false,54
64,50,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0|1,62,true,116
64,50,1,first-remap,4,3,1,1,true,0,1,1,1,true,117
64,50,1,first-remap,5,3,1,1,true,0,1,1,1,true,118
64,50,1,first-remap,6,3,1,1,true,0,1,1,1,true,119
64,50,1,first-remap,7,3,1,1,true,0,1,1,1,true,120
64,50,1,first-remap,8,3,1,1,true,0,1,1,1,true,121
64,100,0,first-remap,1,2,0,2,true,1,0,2,1,false,103
64,100,0,first-remap,2,2,0,2,true,2,0,2,1,false,104
64,100,0,first-remap,3,2,0,0,false,0,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0,62,true,166
64,100,0,first-remap,4,2,0,0,true,0,1,0,1,true,167
64,100,0,first-remap,5,2,0,0,true,0,1,0,1,true,168
64,100,0,first-remap,6,2,0,0,true,0,1,0,1,true,169
64,100,0,first-remap,7,2,0,0,true,0,1,0,1,true,170
64,100,0,first-remap,8,2,0,0,true,0,1,0,1,true,171
64,100,1,first-remap,1,3,1,3,true,1,0,3,1,false,103
64,100,1,first-remap,2,3,1,3,true,2,0,3,1,false,104
64,100,1,first-remap,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|0|1,62,true,166
64,100,1,first-remap,4,3,1,1,true,0,1,1,1,true,167
64,100,1,first-remap,5,3,1,1,true,0,1,1,1,true,168
64,100,1,first-remap,6,3,1,1,true,0,1,1,1,true,169
64,100,1,first-remap,7,3,1,1,true,0,1,1,1,true,170
64,100,1,first-remap,8,3,1,1,true,0,1,1,1,true,171
16,50,0,second-regime,1,3,1,3,true,1,0,3,1,false,53
16,50,0,second-regime,2,3,1,3,true,2,0,3,1,false,54
16,50,0,second-regime,3,3,1,1,false,0,1,3|4|5|6|7|8|9|10|11|12|13|14|0|1,14,true,68
16,50,0,second-regime,4,3,1,1,true,0,1,1,1,true,69
16,50,0,second-regime,5,3,1,1,true,0,1,1,1,true,70
16,50,0,second-regime,6,3,1,1,true,0,1,1,1,true,71
16,50,0,second-regime,7,3,1,1,true,0,1,1,1,true,72
16,50,0,second-regime,8,3,1,1,true,0,1,1,1,true,73
16,50,0,first-regime,1,1,3,1,true,1,1,1,1,false,74
16,50,0,first-regime,2,1,3,1,true,2,1,1,1,false,75
16,50,0,first-regime,3,1,3,3,false,0,2,1|3,2,true,77
16,50,0,first-regime,4,1,3,3,true,0,2,3,1,true,78
16,50,0,first-regime,5,1,3,3,true,0,2,3,1,true,79
16,50,0,first-regime,6,1,3,3,true,0,2,3,1,true,80
16,50,0,first-regime,7,1,3,3,true,0,2,3,1,true,81
16,50,0,first-regime,8,1,3,3,true,0,2,3,1,true,82
16,50,0,second-regime-again,1,3,1,3,true,1,2,3,1,false,83
16,50,0,second-regime-again,2,3,1,3,true,2,2,3,1,false,84
16,50,0,second-regime-again,3,3,1,1,false,0,3,3|1,2,true,86
16,50,0,second-regime-again,4,3,1,1,true,0,3,1,1,true,87
16,50,0,second-regime-again,5,3,1,1,true,0,3,1,1,true,88
16,50,0,second-regime-again,6,3,1,1,true,0,3,1,1,true,89
16,50,0,second-regime-again,7,3,1,1,true,0,3,1,1,true,90
16,50,0,second-regime-again,8,3,1,1,true,0,3,1,1,true,91
