index,seed,load,acquisition,heldout_correct,heldout_total,productive_admissions,distractor_admissions,always_open_admissions,admission_reduction,shuffled_reversal,entry_resistance_correct,entry_resistance_shuffled,final_resistance_correct,final_resistance_shuffled,removed_correct,removed_shuffled,stale_blocked,repaired_correct,repaired_total,shuffled_repair_blocked,retained_economy,controls,source_audit,cumulative_m4,passed
0,30000000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
1,30000000,32,true,32,32,4,4,36,0.777778,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
2,30000000,128,true,32,32,4,16,132,0.848485,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
3,30500000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
4,30500000,32,true,32,32,4,4,36,0.777778,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
5,30500000,128,true,32,32,4,16,132,0.848485,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
6,31000000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
7,31000000,32,true,32,32,4,4,36,0.777778,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
8,31000000,128,true,32,32,4,16,132,0.848485,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
9,31500000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
10,31500000,32,true,32,32,4,4,36,0.777778,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
11,31500000,128,true,32,32,4,16,132,0.848485,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
12,32000000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
13,32000000,32,true,32,32,4,4,36,0.777778,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
14,32000000,128,true,32,32,4,16,132,0.848485,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
15,32500000,8,true,32,32,4,1,12,0.583333,true,105,105,0,0,true,true,true,32,32,true,true,true,true,true,true
