index,seed,load,blank_acquisition,physical_exact,heldout,heldout_total,route_admissions,distractor_admissions,always_open_admissions,work_reduction,raw_history_reversal,value_shuffle_reversal,entry_resistance,final_resistance,removed,stale_blocked,repair_admitted,repair_executed,repair_applied,post_age_prototype_resistance,post_age_value_resistance,repaired,repaired_total,retained_proposals,retained_route_edges,retained_economy,topology_identity_layout,controls,source_audit,cumulative_m5,passed
0,50000000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
1,50000000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
2,50000000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
3,53500000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
4,53500000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
5,53500000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
6,57000000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
7,57000000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
8,57000000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
9,60500000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
10,60500000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
11,60500000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
12,64000000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
13,64000000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
14,64000000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
15,67500000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
16,67500000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
17,67500000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
18,71000000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
19,71000000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
20,71000000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
21,74500000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
22,74500000,32,true,true,32,32,4,4,36,0.777778,true,true,104,0,true,true,true,true,true,736,946,32,32,8,4,true,true,true,true,true,true
23,74500000,128,true,true,32,32,4,16,132,0.848485,true,true,104,0,true,true,true,true,true,736,946,32,32,20,4,true,true,true,true,true,true
24,78000000,8,true,true,32,32,4,1,12,0.583333,true,true,104,0,true,true,true,true,true,736,946,32,32,5,4,true,true,true,true,true,true
