row_type,protocol,mode,claim_eligible,passed,seed,scale,depth,population,generation,parent_work,child_work,acquisition_work,incremental_bytes,break_even_uses,observable_equal,computationally_useful,economically_justified,structurally_retained,removed_arrow_firings,structural_depth,justified_depth,realized_depth,right_censored,over_retained,under_retained,collapse_point,generic_acquisition_work,compilation_acquisition_work,generic_bytes,compiled_bytes,anonymous_generic_runtime,same0_runtime,same1_runtime,supplied_runtime,same0_tax,same1_tax,improvement_vs_same0,premium_vs_supplied,activation_work,validation_work,ambiguity_work,grounding_work,fallback_distance,recovery_work,status,name,diagnostic
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S0,8,16,,,,,,,,,,,,0,0,0,false,0,0,compaction,860,988,26,80,96,54,42,36,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S1,32,64,,,,,,,,,,,,3,3,3,false,0,0,none,860,988,26,80,312,70,58,52,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S1,,,1,150,108,604,114,15,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S1,,,2,108,71,401,58,11,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S1,,,3,71,58,254,60,20,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,128,256,,,,,,,,,,,,5,5,5,false,0,0,none,860,988,26,80,1176,124,112,106,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,,,1,582,348,2332,114,10,true,true,true,true,64,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,,,2,348,215,1337,58,11,true,true,true,true,32,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,,,3,215,154,794,60,14,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,,,4,154,125,539,64,19,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S2,,,5,125,112,416,72,32,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,512,1024,,,,,,,,,,,,6,6,6,true,0,0,none,860,988,26,80,4632,335,323,317,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,1,2310,1308,9244,114,10,true,true,true,true,256,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,2,1308,791,5081,58,10,true,true,true,true,128,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,3,791,538,2954,60,12,true,true,true,true,64,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,4,538,413,1907,64,16,true,true,true,true,32,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,5,413,352,1388,72,23,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,S3,,,6,352,323,1133,88,40,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,128,64,,,,,,,,,,,,5,5,5,false,0,0,none,860,988,26,80,1176,124,112,106,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,,,1,582,348,2332,114,10,true,true,true,true,64,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,,,2,348,215,1337,58,11,true,true,true,true,32,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,,,3,215,154,794,60,14,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,,,4,154,125,539,64,19,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,depth-only,,,5,125,112,416,72,32,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,population-only,32,1024,,,,,,,,,,,,3,3,3,false,0,0,none,860,988,26,80,312,70,58,52,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,population-only,,,1,150,108,604,114,15,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,population-only,,,2,108,71,401,58,11,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,0,population-only,,,3,71,58,254,60,20,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S0,8,16,,,,,,,,,,,,0,0,0,false,0,0,compaction,860,988,26,80,96,54,42,36,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S1,32,64,,,,,,,,,,,,3,3,3,false,0,0,none,860,988,26,80,312,70,58,52,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S1,,,1,150,108,604,114,15,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S1,,,2,108,71,401,58,11,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S1,,,3,71,58,254,60,20,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,128,256,,,,,,,,,,,,5,5,5,false,0,0,none,860,988,26,80,1176,124,112,106,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,,,1,582,348,2332,114,10,true,true,true,true,64,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,,,2,348,215,1337,58,11,true,true,true,true,32,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,,,3,215,154,794,60,14,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,,,4,154,125,539,64,19,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S2,,,5,125,112,416,72,32,true,true,true,true,4,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
scale,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,512,1024,,,,,,,,,,,,6,6,6,true,0,0,none,860,988,26,80,4632,335,323,317,18,6,12,6,1,3,1,1,,,MEASURED,scale-law,compiled_uses=16;reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,1,2310,1308,9244,114,10,true,true,true,true,256,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,2,1308,791,5081,58,10,true,true,true,true,128,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,3,791,538,2954,60,12,true,true,true,true,64,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,4,538,413,1907,64,16,true,true,true,true,32,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,5,413,352,1388,72,23,true,true,true,true,16,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
edge,identity-desupply-ladder-v1/ffs-same1,definitive,true,true,1,S3,,,6,352,323,1133,88,40,true,true,true,true,8,,,,,,,,,,,,,,,,,6,,,,,,,,,PARENT_RELATIVE,promotion,compiled_acquisition_uses=3;generic_reopenings=0
