arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
B,5201,dense,unrelated-nearby-no-lawful-return,2009104365125632,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,1744939933384046746,3259809774406883252,true,false|true|true|true|true|true|true|true,true,false
B,5201,dense,lawful-return-in-dense-world,2009104366174208,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,16625244012875896258,14203273657099195028,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,other-candidate-return,2009104367222784,0,0,1,1,1,1,true,true,1,0,a1|b1,171,0,3,5,0,2880,16663502038111349856,316374958674850454,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,both-traverse-one-return,2009104368271360,1,0,4,1,2,1,true,true,1,1,a1|b1,319,1,5,9,0,2880,1856568801719147155,14576122999983563412,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,both-traverse-both-return,2009104369319936,1,1,4,4,2,2,true,true,1,1,a1|b1,370,2,6,10,0,2880,3746225308944878661,18075058634919060086,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,cross-and-distractors-no-return,2009104370368512,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,17328475880244328642,8261586912401956500,true,false|true|true|true|true|true|true|true,true,false
B,5201,dense,lawful-return-with-all-distractors,2009104371417088,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,7961459085010586166,11907503684728398708,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,return-without-candidate,2009104372465664,0,0,1,1,1,1,true,true,0,0,a1|b1,36,0,1,1,0,2880,8617757835027066647,5189373481377775926,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,late-lawful-return,2009104373514240,0,0,0,1,1,1,false,true,1,0,a2|b1,175,0,3,5,1,2880,7158478093018500072,8512271672469311543,true,true|true|true|true|true|true|true|true,true,true
B,5201,dense,adjacent-renewed-upstream,2009104374562816,0,0,1,1,1,1,true,true,2,0,a1|b1,270,0,4,8,0,2880,15316165934486725890,6525309702714791158,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,acquisition,2009104381902848,0,0,12,0,2,1,true,false,4,0,a1|b2,520,4,12,20,1,1088,4834365831428587446,17599600205626145019,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,probation,2009104382951424,0,0,0,0,2,1,false,false,1,0,a2|b2,107,1,3,5,2,1088,7256276591401740708,14605138616683648395,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,stable-return-specificity,2009104384000000,0,0,4,1,2,1,true,true,1,1,a1|b1,175,1,5,9,0,1088,15268578117329149890,13704581456799744257,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,forgetting,2009104385048576,0,0,0,0,2,1,false,false,4,0,a2|b2,538,4,12,20,2,1088,15314874662536083780,5484852487484365562,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,fresh-reproposal,2009104386097152,0,0,4,0,2,0,true,false,5,0,old2|fresh6,97,2,3,6,1,672,9680665463773920786,6419867297209042535,true,true|true|true|true|true|true|true|true,true,true
B,5201,px0,reacquisition,2009104387145728,0,0,11,0,2,0,true,false,15,0,old2|fresh6,342,8,10,16,1,672,2492000098569810165,17255847620609723962,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,support-a,2009104398680064,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,2231047065564459626,3171968068473507803,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,support-b,2009104399728640,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,9035652246788027882,9213125497822105623,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,no-support,2009104400777216,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,1088,7399538356473884023,5590371155091476871,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,participation-return-blocked,2009104401825792,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,11966703826433836029,1805960802692830222,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,return-without-participation,2009104402874368,0,0,1,1,1,1,true,true,0,0,a1|b1,43,0,2,2,0,1088,11390717288751751133,4807263752608511936,true,true|true|true|true|true|true|true|true,true,true
B,5201,px1,joint-participation,2009104403922944,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,4162026085355577196,2540632959662464311,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,forward-traversal-return,2009104415457280,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,18084742513925177622,3095241650169044867,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,reverse-traversal-return,2009104416505856,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,11621423400627655378,16281176473710544455,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,correlation-without-traversal,2009104417554432,0,0,0,0,1,1,false,false,0,0,a2|b2,382,0,12,12,2,1088,16087155294780191802,9829335818695928759,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,forward-return-blocked,2009104418603008,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,2038024268987872897,4809023412113137654,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,joint-traversal-return,2009104419651584,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,8411115719828016528,8627577456946575111,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,forward-with-wrong-way-observation,2009104420700160,1,0,6,0,2,1,true,false,2,0,a1|b2,454,2,12,16,1,1088,4778841773243685295,12810790691611101753,true,true|true|true|true|true|true|true|true,true,true
B,5201,px2,reverse-with-wrong-way-observation,2009104421748736,0,1,0,6,1,2,false,true,0,2,a2|b1,454,2,12,16,1,1088,14938137591356574197,972681657444958681,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,unrelated-nearby-no-lawful-return,2009106512609280,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,1818690639662676378,5220724958746441396,true,false|true|true|true|true|true|true|true,true,false
B,5209,dense,lawful-return-in-dense-world,2009106513657856,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,6559374990718305218,5291321241350685844,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,other-candidate-return,2009106514706432,0,0,1,1,1,1,true,true,1,0,a1|b1,171,0,3,5,0,2880,3796110754041816160,16497670364420630934,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,both-traverse-one-return,2009106515755008,1,0,4,1,2,1,true,true,1,1,a1|b1,319,1,5,9,0,2880,2163554121746708371,8677225852120142228,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,both-traverse-both-return,2009106516803584,1,1,4,4,2,2,true,true,1,1,a1|b1,370,2,6,10,0,2880,3117090151166032965,11095827379983295094,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,cross-and-distractors-no-return,2009106517852160,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,6564078816421000386,17122141614533602452,true,false|true|true|true|true|true|true|true,true,false
B,5209,dense,lawful-return-with-all-distractors,2009106518900736,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,3416777477896818230,12052098248837834356,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,return-without-candidate,2009106519949312,0,0,1,1,1,1,true,true,0,0,a1|b1,36,0,1,1,0,2880,4589939539542469143,9592057947742504758,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,late-lawful-return,2009106520997888,0,0,0,1,1,1,false,true,1,0,a2|b1,175,0,3,5,1,2880,6662391135611415528,4935680763998281271,true,true|true|true|true|true|true|true|true,true,true
B,5209,dense,adjacent-renewed-upstream,2009106522046464,0,0,1,1,1,1,true,true,2,0,a1|b1,270,0,4,8,0,2880,567719671947991554,11776174240915329782,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,acquisition,2009106529386496,0,0,12,0,2,1,true,false,4,0,a1|b2,520,4,12,20,1,1088,14695602518072100534,8847546519606184699,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,probation,2009106530435072,0,0,0,0,2,1,false,false,1,0,a2|b2,107,1,3,5,2,1088,10846239180955682468,18367248094799839371,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,stable-return-specificity,2009106531483648,0,0,4,1,2,1,true,true,1,1,a1|b1,175,1,5,9,0,1088,5396130920477332674,15622534070463356161,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,forgetting,2009106532532224,0,0,0,0,2,1,false,false,4,0,a2|b2,538,4,12,20,2,1088,15360021530267164228,3979073787255612666,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,fresh-reproposal,2009106533580800,0,0,4,0,2,0,true,false,5,0,old2|fresh6,97,2,3,6,1,672,2728388632498319890,9054406817701200743,true,true|true|true|true|true|true|true|true,true,true
B,5209,px0,reacquisition,2009106534629376,0,0,11,0,2,0,true,false,15,0,old2|fresh6,342,8,10,16,1,672,8793473044736165877,7485307791444846394,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,support-a,2009106546163712,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,1309056727328366698,8009822816784939227,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,support-b,2009106547212288,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,15133022656519879658,6781311664781356567,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,no-support,2009106548260864,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,1088,334846819959422071,9614555895688799879,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,participation-return-blocked,2009106549309440,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,18015754643776968189,8857490922608248078,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,return-without-participation,2009106550358016,0,0,1,1,1,1,true,true,0,0,a1|b1,43,0,2,2,0,1088,17697111495441922013,14788727937716687552,true,true|true|true|true|true|true|true|true,true,true
B,5209,px1,joint-participation,2009106551406592,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,532847887665775212,15519141984236874295,true,true|true|true|true|true|true|true|true,true,true
B,5209,px2,forward-traversal-return,2009106562940928,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,10968891624894571286,6951699973205368451,true,true|true|true|true|true|true|true|true,true,true
B,5209,px2,reverse-traversal-return,2009106563989504,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,4453339800893169106,4777648989245725255,true,true|true|true|true|true|true|true|true,true,true
