section,condition,total_cells,active_irrelevant,successful_seeds,total_seeds,correct,total,role_cells,program_arrows,active_touches,dormant_touches,local_encounters,created,released,used,peak_probationary,first_success_episode,competence_episode
P2a,forward-and-reverse,0,0,16,16,0,0,0,1,0,0,0,194,193,2,0,,
P2b,encoding-transfer,0,0,8,8,256,256,3,0,0,0,0,0,0,0,0,,
P2c,real,0,8,8,8,512,512,3.000,4.000,0,0,0,532966,532962,19423,152,Some(96.625),Some(11558.125)
P2c,shuffled,0,8,0,8,0,512,3.000,0.000,0,0,0,2305401,2305249,84118,152,Some(96.625),None
P2c,random,0,8,0,8,0,512,3.000,0.000,0,0,0,2301435,2301283,25177,152,Some(446.125),None
scaling,dormant,10,8,0,0,16,16,0,0,1216, 0,2432,0,0,0,0,,
scaling,dormant,100,8,0,0,16,16,0,0,1216, 0,2432,0,0,0,0,,
scaling,dormant,1000,8,0,0,16,16,0,0,1216, 0,2432,0,0,0,0,,
scaling,dormant,10000,8,0,0,16,16,0,0,1216, 0,2432,0,0,0,0,,
scaling,active,0,0,0,0,16,16,0,0,704,0,1408,985,901,0,0,,
scaling,active,0,10,0,0,16,16,0,0,1344,0,2688,3585,3421,0,0,,
scaling,active,0,100,0,0,16,16,0,0,7104,0,14208,26810,25926,0,0,,
scaling,active,0,1000,0,0,16,16,0,0,64704,0,129408,257219,249135,0,0,,
diagnostic,slots-1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,
diagnostic,slots-2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,,
diagnostic,slots-4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,,
diagnostic,slots-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,,
