arm,ordinal,tick,target_physical,impulse,fired
fresh-short-two-direct,0,348,150994954,1,false
fresh-short-two-direct,1,348,150994994,1,true
fresh-short-two-direct,2,348,150994954,1,true
fresh-short-two-direct,3,349,150994964,2,true
fresh-short-two-direct,4,349,150994964,1,false
fresh-short-two-direct,5,350,150994974,2,true
fresh-short-two-direct,6,350,150994984,1,false
fresh-short-two-direct,7,350,150995044,1,false
fresh-short-two-direct,8,352,150995045,1,true
fresh-short-two-direct,9,352,150995046,1,true
fresh-threshold-three-mirror,0,360,151257099,1,false
fresh-threshold-three-mirror,1,360,151257139,1,true
fresh-threshold-three-mirror,2,360,151257099,1,true
fresh-threshold-three-mirror,3,361,151257109,2,true
fresh-threshold-three-mirror,4,361,151257109,1,false
fresh-threshold-three-mirror,5,362,151257119,2,true
fresh-threshold-three-mirror,6,362,151257130,2,true
fresh-threshold-three-mirror,7,362,151257129,1,false
fresh-threshold-three-mirror,8,362,151257188,1,false
fresh-threshold-three-mirror,9,363,151257100,1,false
fresh-threshold-three-mirror,10,364,151257189,1,true
fresh-threshold-three-mirror,11,364,151257190,1,true
