arm,stage,ordinal,tick,target_physical,impulse,fired
fresh-short-two-direct,renewal-0,0,300,153092106,1,false
fresh-short-two-direct,renewal-0,1,300,153092107,1,false
fresh-short-two-direct,renewal-0,2,300,153092146,1,true
fresh-short-two-direct,renewal-0,3,300,153092147,1,true
fresh-short-two-direct,renewal-0,4,300,153092157,1,true
fresh-short-two-direct,renewal-0,5,300,153092106,1,true
fresh-short-two-direct,renewal-0,6,300,153092107,1,true
fresh-short-two-direct,renewal-0,7,301,153092116,1,false
fresh-short-two-direct,renewal-0,8,301,153092117,1,false
fresh-short-two-direct,renewal-0,9,301,153092116,1,true
fresh-short-two-direct,renewal-0,10,301,153092117,1,true
fresh-short-two-direct,renewal-0,11,302,153092126,1,false
fresh-short-two-direct,renewal-0,12,302,153092127,1,false
fresh-short-two-direct,renewal-0,13,302,153092136,1,false
fresh-short-two-direct,renewal-0,14,302,153092136,1,true
fresh-short-two-direct,renewal-0,15,302,153092137,1,false
fresh-short-two-direct,renewal-0,16,302,153092137,1,true
fresh-short-two-direct,renewal-0,17,303,153092106,1,false
fresh-short-two-direct,renewal-0,18,303,153092107,1,false
fresh-short-two-direct,renewal-1,0,308,153092106,1,false
fresh-short-two-direct,renewal-1,1,308,153092107,1,false
fresh-short-two-direct,renewal-1,2,308,153092146,1,true
fresh-short-two-direct,renewal-1,3,308,153092147,1,true
fresh-short-two-direct,renewal-1,4,308,153092157,1,true
fresh-short-two-direct,renewal-1,5,308,153092106,1,true
fresh-short-two-direct,renewal-1,6,308,153092107,1,true
fresh-short-two-direct,renewal-1,7,309,153092116,2,true
fresh-short-two-direct,renewal-1,8,309,153092117,2,true
fresh-short-two-direct,renewal-1,9,309,153092116,1,false
fresh-short-two-direct,renewal-1,10,309,153092117,1,false
fresh-short-two-direct,renewal-1,11,310,153092126,2,true
fresh-short-two-direct,renewal-1,12,310,153092127,2,true
fresh-short-two-direct,renewal-1,13,310,153092136,2,true
fresh-short-two-direct,renewal-1,14,310,153092136,1,false
fresh-short-two-direct,renewal-1,15,310,153092137,1,false
fresh-short-two-direct,renewal-1,16,310,153092196,1,false
fresh-short-two-direct,renewal-1,17,310,153092196,1,true
fresh-short-two-direct,renewal-1,18,310,153092137,1,true
fresh-short-two-direct,renewal-1,19,311,153092106,1,false
fresh-short-two-direct,renewal-1,20,311,153092107,1,false
fresh-short-two-direct,renewal-1,21,311,153092197,-4,false
fresh-short-two-direct,renewal-1,22,312,153092197,1,false
fresh-short-two-direct,renewal-1,23,312,153092197,1,false
fresh-short-two-direct,renewal-2,0,316,153092106,1,false
fresh-short-two-direct,renewal-2,1,316,153092107,1,false
fresh-short-two-direct,renewal-2,2,316,153092146,1,true
fresh-short-two-direct,renewal-2,3,316,153092147,1,true
fresh-short-two-direct,renewal-2,4,316,153092157,1,true
fresh-short-two-direct,renewal-2,5,316,153092106,1,true
fresh-short-two-direct,renewal-2,6,316,153092107,1,true
fresh-short-two-direct,renewal-2,7,317,153092116,2,true
fresh-short-two-direct,renewal-2,8,317,153092117,2,true
fresh-short-two-direct,renewal-2,9,317,153092116,1,false
fresh-short-two-direct,renewal-2,10,317,153092117,1,false
fresh-short-two-direct,renewal-2,11,318,153092126,2,true
fresh-short-two-direct,renewal-2,12,318,153092127,2,true
fresh-short-two-direct,renewal-2,13,318,153092136,2,true
