arm,ordinal,form,stable_device,stable_returns,incidental_returns,crossings,work
gate-00,0,0,0,1,1,0,549
gate-00,1,1,1,1,0,0,640
gate-00,2,2,2,1,0,0,645
gate-00,3,3,3,1,0,1,1032
gate-00,4,0,0,1,1,1,843
gate-00,5,1,1,1,0,0,732
gate-00,6,2,2,1,0,0,735
gate-00,7,3,3,1,0,1,1164
gate-00,8,0,0,1,1,1,947
gate-00,9,1,1,1,0,0,820
gate-00,10,2,2,1,0,0,823
gate-00,11,3,3,1,0,1,1292
gate-00,12,0,0,1,1,1,1051
gate-00,13,1,1,1,0,0,908
gate-00,14,2,2,1,0,0,911
gate-00,15,3,3,1,0,1,1420
gate-00,16,0,0,1,1,1,1155
gate-00,17,1,1,1,0,0,996
gate-00,18,2,2,1,0,0,999
gate-00,19,3,3,1,0,1,1548
gate-00,20,0,0,1,1,1,1259
gate-00,21,1,1,1,0,0,1084
gate-00,22,2,2,1,0,0,1087
gate-00,23,3,3,1,0,1,1676
gate-00,24,1,1,1,0,1,1127
gate-00,25,2,2,1,0,1,1148
gate-00,26,3,3,1,0,0,1834
gate-01,0,0,1,1,0,0,808
gate-01,1,1,2,1,1,1,844
gate-01,2,2,3,1,0,0,725
gate-01,3,3,0,1,0,0,720
gate-01,4,0,1,1,0,1,1216
gate-01,5,1,2,1,1,1,974
gate-01,6,2,3,1,0,1,816
gate-01,7,3,0,1,0,1,766
gate-01,8,0,1,1,0,1,1389
gate-01,9,1,2,1,1,1,1158
gate-01,10,2,3,1,0,0,989
gate-01,11,3,0,1,0,0,984
gate-01,12,0,1,1,0,1,1559
gate-01,13,1,2,1,1,1,1288
gate-01,14,2,3,1,0,0,1134
gate-01,15,3,0,1,0,0,1098
gate-01,16,0,1,1,0,1,1624
gate-01,17,1,2,1,0,1,1209
gate-01,18,2,3,1,0,1,1184
gate-01,19,3,0,1,0,1,1210
gate-01,20,0,1,1,0,1,1938
gate-01,21,1,2,1,1,1,1600
gate-01,22,2,3,1,0,0,1363
gate-01,23,3,0,1,0,0,1358
gate-01,24,0,1,1,0,1,2144
gate-01,25,1,2,1,1,1,1728
gate-01,26,2,3,1,0,1,1454
gate-01,27,3,0,1,0,1,1346
gate-01,28,0,1,1,0,1,2317
gate-01,29,2,3,1,0,1,1573
gate-01,30,3,0,1,0,1,1586
gate-02,0,0,2,1,0,0,415
gate-02,1,1,3,1,0,1,1107
gate-02,2,2,0,1,1,1,999
gate-02,3,3,1,1,0,0,785
gate-02,4,0,2,1,0,1,779
gate-02,5,1,3,1,0,1,1364
gate-02,6,2,0,1,1,1,1164
gate-02,7,3,1,1,0,0,1004
gate-02,8,0,2,1,0,1,938
gate-02,9,1,3,1,0,1,1583
gate-02,10,2,0,1,1,1,1346
gate-02,11,3,1,1,0,0,1123
gate-02,12,0,2,1,0,0,1159
gate-02,13,1,3,1,0,1,1722
gate-02,14,2,0,1,1,1,1513
gate-02,15,3,1,1,0,0,1275
gate-02,16,0,2,1,0,0,1272
gate-02,17,1,3,1,0,1,2082
gate-02,18,2,0,1,0,1,1589
gate-02,19,3,1,1,0,1,1405
gate-02,20,0,2,1,0,1,1436
gate-02,21,1,3,1,0,1,2324
gate-02,22,2,0,1,1,1,1987
gate-02,23,3,1,1,0,0,1621
gate-02,24,0,2,1,0,1,1615
gate-02,25,1,3,1,0,1,2580
gate-02,26,2,0,1,1,1,2152
gate-02,27,3,1,1,0,0,1840
gate-02,28,0,2,1,0,1,1774
gate-02,29,1,3,1,0,1,2799
gate-02,30,2,0,1,1,1,2334
gate-02,31,3,1,1,0,0,1959
gate-02,32,0,2,1,0,0,1995
gate-02,33,1,3,1,0,1,2862
gate-02,34,3,1,1,0,1,2020
gate-03,0,0,3,1,0,0,416
gate-03,1,1,0,1,0,1,614
gate-03,2,2,1,1,0,1,1192
gate-03,3,3,2,1,1,1,1049
gate-03,4,0,3,1,0,0,863
gate-03,5,1,0,1,0,0,885
gate-03,6,2,1,1,0,1,1489
gate-03,7,3,2,1,1,1,1302
gate-03,8,0,3,1,0,0,1098
gate-03,9,1,0,1,0,1,934
gate-03,10,2,1,1,0,1,1775
gate-03,11,3,2,1,1,1,1536
gate-03,12,0,3,1,0,0,1296
gate-03,13,1,0,1,0,1,1239
gate-03,14,2,1,1,0,1,2100
gate-03,15,3,2,1,1,1,1843
gate-03,16,0,3,1,0,1,1452
gate-03,17,1,0,1,0,1,1478
