arm,ordinal,form,stable_device,stable_returns,incidental_returns,crossings,work
micro-phase-2-direct,0,0,2,1,0,0,415
micro-phase-2-direct,1,1,0,1,0,1,1045
micro-phase-2-direct,2,2,3,1,1,1,872
micro-phase-2-direct,3,3,1,1,0,0,744
micro-phase-2-direct,4,0,2,1,0,0,746
micro-phase-2-direct,5,1,0,1,0,1,1211
micro-phase-2-direct,6,2,3,1,1,1,1002
micro-phase-2-direct,7,3,1,1,0,0,854
micro-phase-2-direct,8,0,2,1,0,0,856
micro-phase-2-direct,9,1,0,1,0,1,1371
micro-phase-2-direct,10,2,3,1,1,1,1132
micro-phase-2-direct,11,3,1,1,0,0,964
micro-phase-2-direct,12,0,2,1,0,0,966
micro-phase-2-direct,13,1,0,1,0,1,1531
micro-phase-2-direct,14,2,3,1,1,1,1262
micro-phase-2-direct,15,3,1,1,0,0,1074
micro-phase-2-direct,16,0,2,1,0,0,1076
micro-phase-2-direct,17,1,0,1,0,1,1691
micro-phase-2-direct,18,2,3,1,1,1,1392
micro-phase-2-direct,19,3,1,1,0,0,1184
micro-phase-2-direct,20,0,2,1,0,0,1186
micro-phase-2-direct,21,1,0,1,0,1,1851
micro-phase-2-direct,22,2,3,1,1,1,1522
micro-phase-2-direct,23,3,1,1,0,0,1294
micro-phase-2-direct,24,0,2,1,0,0,1296
micro-phase-2-direct,25,1,0,1,0,1,2011
micro-phase-2-direct,26,3,1,1,0,1,1350
micro-phase-3-mirror,0,0,3,1,0,0,416
micro-phase-3-mirror,1,1,1,1,0,1,647
micro-phase-3-mirror,2,2,0,1,0,1,1209
micro-phase-3-mirror,3,3,2,1,1,1,1068
micro-phase-3-mirror,4,0,3,1,0,0,900
micro-phase-3-mirror,5,1,1,1,0,1,841
micro-phase-3-mirror,6,2,0,1,0,1,1582
micro-phase-3-mirror,7,3,2,1,1,1,1312
micro-phase-3-mirror,8,0,3,1,0,0,1085
micro-phase-3-mirror,9,1,1,1,0,1,1079
micro-phase-3-mirror,10,2,0,1,0,1,1816
micro-phase-3-mirror,11,3,2,1,1,1,1609
micro-phase-3-mirror,12,0,3,1,0,0,1271
micro-phase-3-mirror,13,1,1,1,0,1,1259
micro-phase-3-mirror,14,2,0,1,0,1,2071
micro-phase-3-mirror,15,3,2,1,1,1,1803
micro-phase-3-mirror,16,0,3,1,0,0,1534
micro-phase-3-mirror,17,1,1,1,0,1,1475
micro-phase-3-mirror,18,2,0,1,0,1,2461
micro-phase-3-mirror,19,3,2,1,0,1,1984
micro-phase-3-mirror,20,0,3,1,0,1,1693
micro-phase-3-mirror,21,1,1,1,0,1,1753
micro-phase-3-mirror,22,2,0,1,0,1,2809
micro-phase-3-mirror,23,3,2,1,1,1,2368
micro-phase-3-mirror,24,0,3,1,0,0,2000
micro-phase-3-mirror,25,1,1,1,0,1,1941
micro-phase-3-mirror,26,2,0,1,0,1,3182
micro-phase-3-mirror,27,3,2,1,1,1,2612
micro-phase-3-mirror,28,0,3,1,0,0,2185
micro-phase-3-mirror,29,1,1,1,0,1,2179
micro-phase-3-mirror,30,2,0,1,0,1,3416
micro-phase-3-mirror,31,3,2,1,1,1,2909
micro-phase-3-mirror,32,0,3,1,0,0,2371
micro-phase-3-mirror,33,1,1,1,0,1,2359
micro-phase-3-mirror,34,2,0,1,0,1,3571
micro-phase-3-mirror,35,3,2,1,1,1,3103
micro-phase-3-mirror,36,0,3,1,0,0,2634
micro-phase-3-mirror,37,1,1,1,0,1,2575
micro-phase-3-mirror,38,2,0,1,0,1,4061
micro-phase-3-mirror,39,3,2,1,0,1,3184
micro-phase-3-mirror,40,0,3,1,0,1,2793
micro-phase-3-mirror,41,1,1,1,0,1,2853
micro-phase-3-mirror,42,2,0,1,0,1,4409
micro-route-1-direct,0,0,1,1,0,0,865
micro-route-1-direct,1,1,3,1,1,1,927
micro-route-1-direct,2,2,2,1,0,0,773
micro-route-1-direct,3,3,0,1,0,0,764
micro-route-1-direct,4,0,1,1,0,1,1347
micro-route-1-direct,5,1,3,1,1,1,1109
micro-route-1-direct,6,2,2,1,0,1,904
micro-route-1-direct,7,3,0,1,0,1,847
micro-route-1-direct,8,0,1,1,0,1,1580
micro-route-1-direct,9,1,3,1,1,1,1345
micro-route-1-direct,10,2,2,1,0,0,1125
micro-route-1-direct,11,3,0,1,0,0,1116
micro-route-1-direct,12,0,1,1,0,1,1814
micro-route-1-direct,13,1,3,1,1,1,1527
micro-route-1-direct,14,2,2,1,0,0,1314
micro-route-1-direct,15,3,0,1,0,0,1274
micro-route-1-direct,16,0,1,1,0,1,1929
micro-route-1-direct,17,1,3,1,0,1,1455
micro-route-1-direct,18,2,2,1,0,1,1404
micro-route-1-direct,19,3,0,1,0,1,1430
micro-route-1-direct,20,0,1,1,0,1,2321
micro-route-1-direct,21,1,3,1,1,1,1943
micro-route-1-direct,22,2,2,1,0,0,1631
micro-route-1-direct,23,3,0,1,0,0,1622
micro-route-1-direct,24,0,1,1,0,1,2595
micro-route-1-direct,25,1,3,1,1,1,2123
micro-route-1-direct,26,2,2,1,0,1,1762
micro-route-1-direct,27,3,0,1,0,1,1627
micro-route-1-direct,28,0,1,1,0,1,2828
micro-route-1-direct,29,2,2,1,0,1,1907
micro-route-1-direct,30,3,0,1,0,1,1916
micro-route-2-mirror,0,0,0,1,1,0,857
micro-route-2-mirror,1,1,2,1,0,0,819
micro-route-2-mirror,2,2,1,1,0,1,749
micro-route-2-mirror,3,3,3,1,0,1,1656
micro-route-2-mirror,4,0,0,1,1,1,1577
micro-route-2-mirror,5,1,2,1,0,0,1118
micro-route-2-mirror,6,2,1,1,0,1,1138
micro-route-2-mirror,7,3,3,1,0,1,2133
micro-route-2-mirror,8,0,0,1,1,1,1934
micro-route-2-mirror,9,1,2,1,0,0,1531
micro-route-2-mirror,10,2,1,1,0,1,1453
micro-route-2-mirror,11,3,3,1,0,1,2567
micro-route-2-mirror,12,0,0,1,1,1,2319
micro-route-2-mirror,13,1,2,1,0,0,1877
micro-route-2-mirror,14,2,1,1,0,1,1840
