arm,ordinal,form,stable_device,stable_returns,incidental_returns,crossings,work
stable-route-1-direct,0,0,0,1,1,0,549
stable-route-1-direct,1,1,1,1,0,0,640
stable-route-1-direct,2,2,2,1,0,0,680
stable-route-1-direct,3,3,3,1,0,1,981
stable-route-1-direct,4,0,0,1,1,1,834
stable-route-1-direct,5,1,1,1,0,0,730
stable-route-1-direct,6,2,2,1,0,0,733
stable-route-1-direct,7,3,3,1,0,1,1199
stable-route-1-direct,8,0,0,1,0,1,881
stable-route-1-direct,9,1,1,1,0,1,800
stable-route-1-direct,10,2,2,1,0,1,831
stable-route-1-direct,11,3,3,1,0,1,1351
stable-route-1-direct,12,0,0,1,1,1,1140
stable-route-1-direct,13,1,1,1,0,0,950
stable-route-1-direct,14,2,2,1,0,1,944
stable-route-1-direct,15,3,3,1,0,1,1511
stable-route-1-direct,16,0,0,1,1,1,1233
stable-route-1-direct,17,1,1,1,0,0,1097
stable-route-1-direct,18,2,2,1,0,1,1037
stable-route-1-direct,19,3,3,1,0,1,1634
stable-route-1-direct,20,0,0,1,1,1,1337
stable-route-1-direct,21,1,1,1,0,0,1150
stable-route-1-direct,22,2,2,1,0,0,1192
stable-route-1-direct,23,3,3,1,0,1,1671
stable-route-1-direct,24,0,0,1,1,1,1432
stable-route-1-direct,25,1,1,1,0,0,1236
stable-route-1-direct,26,2,2,1,0,0,1239
stable-route-1-direct,27,3,3,1,0,1,1935
stable-route-1-direct,28,0,0,1,0,1,1433
stable-route-1-direct,29,1,1,1,0,1,1306
stable-route-1-direct,30,2,2,1,0,1,1337
stable-route-1-direct,31,3,3,1,0,1,2087
stable-route-1-direct,32,1,1,1,0,1,1450
stable-route-1-direct,33,2,2,1,0,1,1432
stable-route-1-direct,34,3,3,1,0,1,2231
stable-route-0-mirrored,0,0,0,1,1,0,549
stable-route-0-mirrored,1,1,1,1,0,0,640
stable-route-0-mirrored,2,2,2,1,0,0,680
stable-route-0-mirrored,3,3,3,1,0,1,981
stable-route-0-mirrored,4,0,0,1,1,1,834
stable-route-0-mirrored,5,1,1,1,0,0,730
stable-route-0-mirrored,6,2,2,1,0,0,733
stable-route-0-mirrored,7,3,3,1,0,1,1199
stable-route-0-mirrored,8,0,0,1,0,1,881
stable-route-0-mirrored,9,1,1,1,0,1,800
stable-route-0-mirrored,10,2,2,1,0,1,831
stable-route-0-mirrored,11,3,3,1,0,1,1351
stable-route-0-mirrored,12,0,0,1,1,1,1140
stable-route-0-mirrored,13,1,1,1,0,0,950
stable-route-0-mirrored,14,2,2,1,0,1,944
stable-route-0-mirrored,15,3,3,1,0,1,1511
stable-route-0-mirrored,16,0,0,1,1,1,1233
stable-route-0-mirrored,17,1,1,1,0,0,1097
stable-route-0-mirrored,18,2,2,1,0,1,1039
stable-route-0-mirrored,19,3,3,1,0,1,1634
stable-route-0-mirrored,20,0,0,1,1,1,1337
stable-route-0-mirrored,21,1,1,1,0,0,1150
stable-route-0-mirrored,22,2,2,1,0,0,1192
stable-route-0-mirrored,23,3,3,1,0,1,1671
stable-route-0-mirrored,24,0,0,1,1,1,1432
stable-route-0-mirrored,25,1,1,1,0,0,1236
stable-route-0-mirrored,26,2,2,1,0,0,1239
stable-route-0-mirrored,27,3,3,1,0,1,1935
stable-route-0-mirrored,28,0,0,1,0,1,1433
stable-route-0-mirrored,29,1,1,1,0,1,1306
stable-route-0-mirrored,30,2,2,1,0,1,1337
stable-route-0-mirrored,31,3,3,1,0,1,2087
stable-route-0-mirrored,32,1,1,1,0,1,1450
stable-route-0-mirrored,33,2,2,1,0,1,1432
stable-route-0-mirrored,34,3,3,1,0,1,2231
