scenario,transfer,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,passed
support-a,false,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,8101792028230626950,true
support-a,true,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,15987890441379019568,true
support-b,false,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,12999777609609409418,true
support-b,true,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,9953422142798042796,true
no-support,false,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,3959791462020433659,true
no-support,true,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,7057253394550307269,true
blocked-return,false,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,7226273520711122837,true
blocked-return,true,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,2058804670036443947,true
return-without-effect,false,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,5983066911499191962,true
return-without-effect,true,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,8278338346617672064,true
joint,false,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,11109001288431199048,true
joint,true,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,3050826772235590542,true
