seed,scenario,mirror,mature,scheduled,source,raw_impulse,primitive_trace,ab,mature_crossings,mature_impulse,x_outlet,x_local,x_hub_input,x_hub_return,x_trace_arrivals,x_trace_impulse,x_trace,xc_x,xc_c,xc,dc_d,dc_c,dc,work,bytes,fingerprint,permanent,quiescent,replay,passed
3101,a-alone,false,2,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,18254854918274081911,17168112012346989779,true,true,true
3101,b-alone,false,2,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,10340364616297191781,16101203743338599521,true,true,true
3101,a4-alone,false,2,1|0|0|0,1|0|0|0,4|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,10835700395069960622,14733302263568761974,true,true,true
3101,a-repeated,false,2,2|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2720,15373096180645627163,1037667384934099294,true,true,true
3101,ab-mature-1,false,1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,7560281310504042627,10031944040625581942,true,true,true
3101,ab-mature-2,false,2,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,2,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,1616530847836750696,10934564399252919545,true,true,true
3101,ab-mature-4,false,4,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,4,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,3628869005891112800,11999350153658288077,true,true,true
3101,x-plus-c-overlap,false,2,1|1|1|0,1|1|1|0,1|1|1|0,1|1|1|0,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,0,643,2720,9892508556060780401,5062978213369335241,true,true,false
3101,x-then-c-gapped,false,2,1|1|1|0,1|1|1|0,1|1|1|0,1|1|1|0,1,1,2,1,1,1,1,2,2,1,1,1,0,0,1,0,612,2720,14626278927461533110,11753053009518758317,true,true,false
3101,d-plus-c-primitive-baseline,false,2,0|0|1|1,0|0|1|1,0|0|1|1,0|0|1|1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,335,2720,12051273791896716606,3322604233001424785,true,true,false
3109,a-alone,true,2,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,11175427838094097703,18206945631605524579,true,true,true
3109,b-alone,true,2,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,8157359501146207781,14441889888000628289,true,true,true
3109,a4-alone,true,2,1|0|0|0,1|0|0|0,4|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2720,15523951175350046238,9135978467303819974,true,true,true
3109,a-repeated,true,2,2|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2720,8001874117254561979,81962417561259214,true,true,true
3109,ab-mature-1,true,1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,3145999146170126611,13497879023989000182,true,true,true
3109,ab-mature-2,true,2,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,2,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,17949878478128287896,8820582134272166889,true,true,true
3109,ab-mature-4,true,4,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1,1,4,1,1,1,1,2,2,1,1,0,0,0,0,0,439,2720,7222882903910461408,6237928197569693965,true,true,true
3109,x-plus-c-overlap,true,2,1|1|1|0,1|1|1|0,1|1|1|0,1|1|1|0,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,0,643,2720,7146587744674135841,12485721280500339913,true,true,false
3109,x-then-c-gapped,true,2,1|1|1|0,1|1|1|0,1|1|1|0,1|1|1|0,1,1,2,1,1,1,1,2,2,1,1,1,0,0,1,0,612,2720,2213651345186381814,6714771503918458333,true,true,false
3109,d-plus-c-primitive-baseline,true,2,0|0|1|1,0|0|1|1,0|0|1|1,0|0|1|1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,335,2720,4899511307666841838,14816807498676347505,true,true,false
