seed,namespace,reverse,reflect,strong_a,repeated_a,gapped_ab,modulation_without_participation,unsupported_updates,unsupported_candidate_crossings,unsupported_after_gap,initial_candidate_count,initial_proposals,initial_primitive_trace,initial_opportunity,initial_p,initial_candidate_crossings,initial_candidate_impulse,initial_effect,return_relay,downstream_path,modulatory_transmitter,modulatory_crossing,initial_after_first,initial_one_exposure_gap,initial_after_train,initial_after_gap,pre_reversal_heldout,pre_reversal_heldout_proposals,old_ids,old_generations,old_after_forgetting,old_live_after_forgetting,proposals_during_forgetting,reversed_proposals,reversed_primitive_trace,reversed_opportunity,reversed_p,reversed_candidate_crossings,reversed_candidate_impulse,reversed_effect,reversed_return_relay,reversed_downstream_path,reversed_modulatory_transmitter,reversed_modulatory_crossing,reversed_after_first,reversed_one_exposure_gap,reversed_after_train,reversed_after_gap,new_ids,new_generations,fresh_identity,old_still_dead,historical_counts,final_live_counts,post_reversal_heldout,post_reversal_heldout_proposals,total_proposals,deallocations,return_updates,work,bytes,fingerprint,permanent,quiescent,claims,replay,passed
93001,399436253495296,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,4153920393255967655,17351743098238944912,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93002,399440548462592,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,1113982033008008657,3574780828360405406,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93003,399444843429888,true,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,13403215259098663971,14697249183562018420,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93004,399449138397184,false,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,10406586723065987941,5062848810905496306,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93005,399453433364480,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,1041687157854004799,7104019339298000600,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93006,399457728331776,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,3325429684317241233,7364398402341566830,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93007,399462023299072,true,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,13309696614982108491,3367611514302890524,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93008,399466318266368,false,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,7382800699816306261,10186850869916306594,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93009,399470613233664,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,7767979210433745111,1398403687361795104,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
93010,399474908200960,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~global_prop=1~effect_to_p=1~joint_count=0~joint_cross=0~joint_r=0~updates=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,5727568208402687393,2398095990421677390,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
