seed,namespace,reverse,reflect,initial_candidates,phase_primitive_trace,phase_opportunity,phase_p,phase_candidate,phase_candidate_impulse,phase_output,phase_return_relay,phase_output_trace_arrivals,phase_output_trace_impulse,phase_output_trace,phase_modulatory_transmitter,phase_modulatory_crossing,phase_updates,phase_proposals,after_first,after_train,one_exposure_death,final_resistance,candidate_ids,candidate_generations,ab_reuse,c_alone,xc_gapped,xc_reuse,d_alone,yd_gapped,full_reuse,work,bytes,fingerprint,permanent,quiescent,claims,replay,passed
94003,403739810725888,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,2149519264440586686,8746489247829459079,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94007,403756990595072,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,2964632799169393170,505418120076571883,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94011,403774170464256,false,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,2308295200709919544,421589794873148713,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94015,403791350333440,true,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,16585436338374687460,4073366745589744917,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94021,403817120137216,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,6469040567043797688,6931939189344425769,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94025,403834300006400,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,1759173679380838284,285840876746864109,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94029,403851479875584,false,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,16817563093678590158,1703029916308035559,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94033,403868659744768,true,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,11955161132329544442,9666775783992279859,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94039,403894429548544,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,1572105261507428914,17871283356068728011,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
94043,403911609417728,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,1261187816091667974,16120380868010289055,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
