seed,stratum,scenario,sweep,parameter,namespace,primitive_fires,primitive_trace_fires,opportunity_fires,opportunity_to_source,source_events,source_fires,candidate_crossings,output_fires,source_trace_fires,output_trace_fires,global_to_attribution,attribution_fires,echo_crossings,historical_candidates,live_candidates,candidate_resistance,candidate_liveness,return_updates,proposals,v0,v1,v2,v3,v4,validity,work,bytes,fingerprint,permanent,quiescent,replay,passed
3501,normal,return-tick-0,lawful-return,0,15036680568832,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,0:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1353,5792,11243902945616906879,7124550473705014327,true,true,true
3501,normal,return-tick-1,lawful-return,1,15036680634368,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,1:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1359,5792,809370730200693035,3597925476844912041,true,true,true
3501,normal,return-tick-2,lawful-return,2,15036680699904,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,2:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1354,5792,18202281708034339131,11418765935854399579,true,true,true
3501,normal,return-tick-3,lawful-return,3,15036680765440,0~0,1~1,1,1:1,1:1:false|1:1:true|4:1:false,1,1:1,2,2,3,3:1,3,3:1,1,1,4,true,3,1,true,true,true,true,true,5,1419,5792,14416436405643410783,2467516726046368901,true,true,true
3501,normal,return-tick-4,lawful-return,4,15036680830976,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,4:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1348,5792,13852962239470890223,5043505792012555903,true,true,true
3501,normal,return-tick-5,lawful-return,5,15036680896512,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,5:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1354,5792,3758300669578085015,7685546640028164275,true,true,true
3501,normal,return-tick-6,lawful-return,6,15036680962048,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,6:1,,,1,0,0,false,0,1,true,true,true,true,true,5,1366,5792,5326780430909257676,16614829949443311018,true,true,true
3501,normal,recurrence-offset-1,renewed-input,1,15036681027584,0|1~0|1,1|2~1|2,1|2,1:1|2:1,1:1:false|1:1:true|2:1:false|2:1:true|5:1:false,1|2,1:1|2:2,2|3,2|3,3|4,,4,4:1,1,1,7,true,29,1,true,false,false,true,true,3,2856,5792,2333905820072752700,13492910920244730461,true,true,false
3501,normal,recurrence-offset-2,renewed-input,2,15036681093120,0|2~0|2,1|3~1|3,1|3,1:1|3:1,1:1:false|1:1:true|3:1:false|3:1:true,1|3,1:1|3:2,2|4,2|4,3|5,,,,1,1,4,true,26,1,true,true,true,true,true,5,2728,5792,10033078468515828533,10081874940696105702,true,true,true
3501,normal,recurrence-offset-3,renewed-input,3,15036681158656,0|3~0|3,1|4~1|4,1|4,1:1|4:1,1:1:false|1:1:true|4:1:false|4:1:true,1|4,1:1|4:2,2|5,2|5,3|6,,,,1,1,4,true,26,1,true,true,true,true,true,5,2700,5792,4795840405134245774,5124423286600759848,true,true,true
3501,normal,recurrence-offset-4,renewed-input,4,15036681224192,0|4~0|4,1|5~1|5,1|5,1:1|5:1,1:1:false|1:1:true|5:1:false|5:1:true,1|5,1:1|5:2,2|6,2|6,3|7,,,,1,1,4,true,26,1,true,true,true,true,true,5,2688,5792,8991863859437324103,4268038912221074714,true,true,true
3501,normal,recurrence-offset-5,renewed-input,5,15036681289728,0|5~0|5,1|6~1|6,1|6,1:1|6:1,1:1:false|1:1:true|6:1:false|6:1:true,1|6,1:1|6:1,2|7,2|7,3|8,,,,2,1,0|1,false|true,0,2,true,true,true,true,true,5,2687,5856,18033581856030707122,18046879716602568048,true,true,true
3501,normal,recurrence-offset-6,renewed-input,6,15036681355264,0|6~0|6,1|7~1|7,1|7,1:1|7:1,1:1:false|1:1:true|7:1:false|7:1:true,1|7,1:1|7:1,2|8,2|8,3|9,,,,2,1,0|1,false|true,0,2,true,true,true,true,true,5,2687,5856,5035127700086681527,16238416955379434334,true,true,true
3501,normal,collision-return-3-recurrence-3,same-tick-collision,3,15036681420800,0|3~0|3,1|4~1|4,1|4,1:1|4:1,1:1:false|1:1:true|4:1:false|4:1:true|4:1:false,1|4,1:1|4:2,2|5,2|5,3|6,3:1,3,3:1,1,1,7,true,30,1,true,true,true,true,true,5,2939,5792,14828082900608452146,5194773306491966976,true,true,true
3509,mirrored,return-tick-0,lawful-return,0,15071040307200,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,0:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1353,5792,13762581204634459773,13056121578421090189,true,true,true
3509,mirrored,return-tick-1,lawful-return,1,15071040372736,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,1:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1359,5792,3654714821529599761,17198715178531974187,true,true,true
3509,mirrored,return-tick-2,lawful-return,2,15071040438272,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,2:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1354,5792,10991084860278733505,17885650146409486409,true,true,true
3509,mirrored,return-tick-3,lawful-return,3,15071040503808,0~0,1~1,1,1:1,1:1:false|1:1:true|4:1:false,1,1:1,2,2,3,3:1,3,3:1,1,1,4,true,3,1,true,true,true,true,true,5,1419,5792,5602265721223696709,8549132961589594867,true,true,true
3509,mirrored,return-tick-4,lawful-return,4,15071040569344,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,4:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1348,5792,4057478366010800869,1863674828497356253,true,true,true
3509,mirrored,return-tick-5,lawful-return,5,15071040634880,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,5:1,,,1,1,1,true,0,1,true,true,true,true,true,5,1354,5792,16092857972036587049,1229847416829407373,true,true,true
3509,mirrored,return-tick-6,lawful-return,6,15071040700416,0~0,1~1,1,1:1,1:1:false|1:1:true,1,1:1,2,2,3,6:1,,,1,0,0,false,0,1,true,true,true,true,true,5,1366,5792,13535569360334699882,6487194334714337672,true,true,true
3509,mirrored,recurrence-offset-1,renewed-input,1,15071040765952,0|1~0|1,1|2~1|2,1|2,1:1|2:1,1:1:false|1:1:true|2:1:false|2:1:true|5:1:false,1|2,1:1|2:2,2|3,2|3,3|4,,4,4:1,1,1,7,true,29,1,true,false,false,true,true,3,2856,5792,1590501166882442742,6355004670126125907,true,true,false
3509,mirrored,recurrence-offset-2,renewed-input,2,15071040831488,0|2~0|2,1|3~1|3,1|3,1:1|3:1,1:1:false|1:1:true|3:1:false|3:1:true,1|3,1:1|3:2,2|4,2|4,3|5,,,,1,1,4,true,26,1,true,true,true,true,true,5,2728,5792,10326472423091050043,8412411265877311748,true,true,true
3509,mirrored,recurrence-offset-3,renewed-input,3,15071040897024,0|3~0|3,1|4~1|4,1|4,1:1|4:1,1:1:false|1:1:true|4:1:false|4:1:true,1|4,1:1|4:2,2|5,2|5,3|6,,,,1,1,4,true,26,1,true,true,true,true,true,5,2700,5792,4641135913265952544,5149154626863009090,true,true,true
3509,mirrored,recurrence-offset-4,renewed-input,4,15071040962560,0|4~0|4,1|5~1|5,1|5,1:1|5:1,1:1:false|1:1:true|5:1:false|5:1:true,1|5,1:1|5:2,2|6,2|6,3|7,,,,1,1,4,true,26,1,true,true,true,true,true,5,2688,5792,15035483446435075705,14256880094962162368,true,true,true
3509,mirrored,recurrence-offset-5,renewed-input,5,15071041028096,0|5~0|5,1|6~1|6,1|6,1:1|6:1,1:1:false|1:1:true|6:1:false|6:1:true,1|6,1:1|6:1,2|7,2|7,3|8,,,,2,1,0|1,false|true,0,2,true,true,true,true,true,5,2687,5856,2761160848434245248,15197791547295578202,true,true,true
