root,load,namespace,return_tick,shape,reflect,reverse_arrivals,returned_side,candidate_resistance,candidate_coupling,updates,modulatory_deliveries,drive_deliveries,distractor_crossings,loop_work,total_work,max_bytes,reuse_stable,fingerprint,permanent,modulation_learning,modulation_without_participation,ordinary_drive_while_eligible,blocked_downstream,missing_downstream,immediate_modulation,late_modulation,stable_and_varying_return,physical_side_reversal,multiple_lawful_loops,pressure_persistence,deallocation_reacquisition,px0,px1,px2,px3,px4,px5,quiescent,replay,claims,passed
661001,8,2838977778286592,0,direct,false,false,0,4,2,1,1,19,8,460,2319,1616,true,11050801038139989074,8573970533171666888,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661001,32,2838977778286592,1,relayed,false,false,0,4,2,1,1,68,32,4474,9957,5568,true,1283194903673538151,9528387588980073021,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661001,128,2838977778286592,2,direct,false,false,0,4,2,1,1,259,128,59020,113559,20816,true,881118783443156743,15816840921723426076,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661002,8,2838982073253888,1,direct,false,false,1,4,2,1,1,19,8,460,2307,1616,true,260571877148398816,9920144465062546706,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661002,32,2838982073253888,2,relayed,false,false,1,4,2,1,1,68,32,4474,9921,5568,true,15261132713103933114,6146952059920938716,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661002,128,2838982073253888,3,direct,false,false,1,4,2,1,1,259,128,59020,113427,20816,true,4254453092811875075,14678754020174933704,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661003,8,2838986368221184,2,direct,false,true,0,4,2,1,1,19,8,460,2315,1616,true,12287905836668384534,7201177479388326290,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661003,32,2838986368221184,3,relayed,false,true,0,4,2,1,1,68,32,4474,9953,5568,true,7613040111502517773,77210348380040515,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661003,128,2838986368221184,4,direct,false,true,0,4,2,1,1,259,128,58994,113529,20816,true,15304612369250568711,8426617862930482682,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
661004,8,2838990663188480,3,direct,false,true,1,4,2,1,1,19,8,460,2311,1616,true,7496940737188185990,5305824732951452074,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
