root,reverse,reflect,origin,construction_tick,pressure_origin,first_arrival_tick,batches,paired_held,selective_held,retained,partial,adjacent_first,adjacent_second,duplicated,resisted,direct,duplicate_direct,open,fork,ring,aged,formation_updates,formation_modulation,age_deallocations,max_work,max_bytes,batch_outputs,batch_work,batch_bytes,all_quiet,outward_only,replay,clauses,passed
3100001,false,false,0,0,0,0,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100002,false,false,130,130,130,130,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100003,false,false,260,260,260,260,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100004,false,false,390,390,390,390,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100005,true,false,0,0,0,0,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100006,true,false,130,130,130,130,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100007,true,false,260,260,260,260,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100008,true,false,390,390,390,390,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100009,false,true,0,0,0,0,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3100010,false,true,130,130,130,130,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
