kind,owner,name,line
struct,module,CellId,14
struct,module,ArrowId,17
struct,module,CellSpec,20
enum,module,TransmissionMode,29
struct,module,ArrowSpec,35
struct,module,SpikeInput,46
struct,module,Cell,55
struct,module,Arrow,69
struct,module,Spike,84
struct,module,Crossing,96
struct,module,Work,106
method,Work,Work::total,116
struct,module,RunResult,122
struct,module,PlasticSubstrate,130
method,PlasticSubstrate,PlasticSubstrate::new,140
method,PlasticSubstrate,PlasticSubstrate::add_cell,144
method,PlasticSubstrate,PlasticSubstrate::add_arrow,168
method,PlasticSubstrate,PlasticSubstrate::enter,190
method,PlasticSubstrate,PlasticSubstrate::advance_time,209
method,PlasticSubstrate,PlasticSubstrate::propagate,221
method,PlasticSubstrate,PlasticSubstrate::apply_modulatory_return,327
method,PlasticSubstrate,PlasticSubstrate::elapse_to,345
method,PlasticSubstrate,PlasticSubstrate::propose_local_arrows,381
method,PlasticSubstrate,PlasticSubstrate::decay_cell,421
method,PlasticSubstrate,PlasticSubstrate::require_cell,435
method,PlasticSubstrate,PlasticSubstrate::spike_order,442
method,PlasticSubstrate,PlasticSubstrate::resident_bytes,461
function,module,pressure_arrow,467
