root,reverse,reflect,shift,pair_updates,pair_impulses,formation_updates,completed_outward,duplicate_outward,incomplete_outward,blocked_outward,stale_outward,stale_proposals,stale_before,stale_after,max_work,max_bytes,quiescent,replay,clauses,passed
1075001,false,false,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075002,false,false,137,0,0|0,3,0,0,0,0,0,1,5616,5680,12366,5936,true,true,true|true|false|false|false|false|false|true|false|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075003,false,false,274,1,2|0,7,0,0,0,0,0,1,5488,5552,14451,5808,true,true,true|true|false|true|false|false|false|true|true|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075004,false,false,411,2,2|2,12,1,1,0,0,0,1,5488,5552,14762,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075005,true,false,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075006,true,false,137,0,0|0,3,0,0,0,0,0,1,5616,5680,12366,5936,true,true,true|true|false|false|false|false|false|true|false|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075007,true,false,274,1,2|0,7,0,0,0,0,0,1,5488,5552,14451,5808,true,true,true|true|false|true|false|false|false|true|true|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075008,true,false,411,2,2|2,12,1,1,0,0,0,1,5488,5552,14762,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075009,false,true,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075010,false,true,137,0,0|0,3,0,0,0,0,0,1,5616,5680,12366,5936,true,true,true|true|false|false|false|false|false|true|false|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075011,false,true,274,1,2|0,7,0,0,0,0,0,1,5488,5552,14451,5808,true,true,true|true|false|true|false|false|false|true|true|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075012,false,true,411,2,2|2,12,1,1,0,0,0,1,5488,5552,14762,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075013,true,true,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1075014,true,true,137,0,0|0,3,0,0,0,0,0,1,5616,5680,12366,5936,true,true,true|true|false|false|false|false|false|true|false|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075015,true,true,274,1,2|0,7,0,0,0,0,0,1,5488,5552,14451,5808,true,true,true|true|false|true|false|false|false|true|true|false|true|false|true|true|false|false|false|true|true|true|true|true|true|false,false
1075016,true,true,411,2,2|2,12,1,1,0,0,0,1,5488,5552,14762,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
