row_type,protocol,mode,claim_eligible,passed,arm,seed_index,depth,correct,total,runtime_total,rg0a_total,compiled_arrow_evaluations,compiled_arrow_firings,topology_validation_comparisons,compiled_binding_reads,compiled_installation_comparisons,temporary_arrow_installations,compiled_invalidations,generic_resumptions,reflected_arrow_evaluations,reflected_arrow_firings,binding_reads,binding_deliveries,direct_arrow_evaluations,direct_arrow_firings,lower_effects_match,bindings_erased,temporary_routes_erased,successful_episodes,compiled_arrows,subthreshold_arrows,persistent_bytes,persistent_fingerprint,acquisition_work,generic_slope_numerator,generic_slope_denominator,compiled_slope_numerator,compiled_slope_denominator,gate,gate_status
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,0,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,11085667881257797754,1148,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,1,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,15030872733322584429,1220,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,2,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,963316320699899649,1244,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,3,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,17603655968628697712,1268,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,4,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,12300119000422761345,1196,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,5,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,1231052099814077299,1148,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,6,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,8893636478155091429,1100,515212800,77281920,0,77281920,,
acquisition,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,,7,,,,,,,,,,,,,,,,,,,,,,,3,4,0,160,13714356098677046797,1148,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,concrete-reference,0,5,16,16,7488,7488,0,0,0,0,0,0,0,0,0,0,0,0,272,272,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,generic-grounded,0,5,16,16,10704,10704,0,0,0,0,0,0,0,0,912,272,544,272,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,compiled-grounded,0,5,16,16,13312,9248,272,272,3616,128,256,64,0,0,0,0,0,0,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,compiled-changed-bindings,0,5,16,16,14129,10002,272,272,3616,128,319,64,0,0,0,0,0,0,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,invalidated-transition,0,5,16,16,10790,10704,0,0,66,0,0,0,4,16,912,272,544,272,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,subthreshold-evidence,0,5,16,16,10720,10704,0,0,0,0,0,0,0,16,912,272,544,272,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,shuffled-consolidation-evidence,0,5,16,16,10779,10704,0,0,55,0,0,0,4,16,912,272,544,272,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,compiled-no-bindings,0,5,0,16,5568,1920,16,0,3616,32,0,0,0,0,0,0,0,0,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,concrete-reference,0,8,16,16,12096,12096,0,0,0,0,0,0,0,0,0,0,0,0,416,416,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,generic-grounded,0,8,16,16,16128,16128,0,0,0,0,0,0,0,0,1440,416,832,416,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,compiled-grounded,0,8,16,16,17920,13856,416,416,3616,128,256,64,0,0,0,0,0,0,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,compiled-changed-bindings,0,8,16,16,19300,15168,416,416,3616,128,324,64,0,0,0,0,0,0,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,invalidated-transition,0,8,16,16,16144,16128,0,0,0,0,0,0,0,16,1440,416,832,416,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,subthreshold-evidence,0,8,16,16,16144,16128,0,0,0,0,0,0,0,16,1440,416,832,416,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
runtime,compiled-grounded-recurrence-rc0a-v1,definitive,true,true,shuffled-consolidation-evidence,0,8,16,16,16144,16128,0,0,0,0,0,0,0,16,1440,416,832,416,0,0,true,true,true,,,,,,,515212800,77281920,0,77281920,,
