row_type,protocol,mode,claim_eligible,rc0b_a,rc0b_b,arm,seed,depth,correct,total,trace_matches,endpoint_matches,motif_firings,eliminated_relays,eliminated_routes,work_less_than_full,total_work,interruption_reentry_work
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,0,5,16,16,16,16,0,0,0,true,7488,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,0,5,16,16,16,16,0,0,0,true,13312,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,0,5,16,16,16,16,256,256,256,true,12368,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,0,5,16,16,16,16,256,256,256,true,12824,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,0,5,16,16,16,16,256,256,256,true,12368,84576
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,0,5,16,16,16,16,0,0,0,true,13680,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,0,5,16,16,0,16,256,256,256,true,12368,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,0,5,16,16,16,16,0,0,0,true,11872,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,0,5,16,16,16,16,0,0,0,true,13328,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,0,5,16,16,16,16,0,0,0,true,13360,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,0,5,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,0,8,16,16,16,16,0,0,0,true,12096,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,0,8,16,16,16,16,0,0,0,true,17920,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,0,8,16,16,16,16,400,400,400,true,15968,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,0,8,16,16,16,16,400,400,400,true,16825,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,0,8,16,16,16,16,400,400,400,true,15968,157968
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,0,8,16,16,16,16,0,0,0,true,18336,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,0,8,16,16,0,16,400,400,400,true,15968,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,0,8,16,16,16,16,0,0,0,true,17296,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,0,8,16,16,16,16,0,0,0,true,17936,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,0,8,16,16,16,16,0,0,0,true,17968,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,0,8,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,0,16,16,16,16,16,0,0,0,true,27200,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,0,16,16,16,16,16,0,0,0,true,33024,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,0,16,16,16,16,16,784,784,784,true,28384,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,0,16,16,16,16,16,784,784,784,true,29224,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,0,16,16,16,16,16,784,784,784,true,28384,502928
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,0,16,16,16,16,16,0,0,0,true,33568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,0,16,16,16,0,16,784,784,784,true,28384,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,0,16,16,16,16,16,0,0,0,true,34576,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,0,16,16,16,16,16,0,0,0,true,33040,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,0,16,16,16,16,16,0,0,0,true,33072,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,0,16,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,0,32,16,16,16,16,0,0,0,true,69696,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,0,32,16,16,16,16,0,0,0,true,75520,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,0,32,16,16,16,16,1552,1552,1552,true,65504,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,0,32,16,16,16,16,1552,1552,1552,true,67762,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,0,32,16,16,16,16,1552,1552,1552,true,65504,2175888
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,0,32,16,16,16,16,0,0,0,true,76320,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,0,32,16,16,0,16,1552,1552,1552,true,65504,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,0,32,16,16,16,16,0,0,0,true,81424,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,0,32,16,16,16,16,0,0,0,true,75536,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,0,32,16,16,16,16,0,0,0,true,75568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,0,32,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,0,64,16,16,16,16,0,0,0,true,203840,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,0,64,16,16,16,16,0,0,0,true,209664,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,0,64,16,16,16,16,3088,3088,3088,true,188896,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,0,64,16,16,16,16,3088,3088,3088,true,192648,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,0,64,16,16,16,16,3088,3088,3088,true,188896,12206480
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,0,64,16,16,16,16,0,0,0,true,210976,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,0,64,16,16,0,16,3088,3088,3088,true,188896,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,0,64,16,16,16,16,0,0,0,true,224272,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,0,64,16,16,16,16,0,0,0,true,209680,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,0,64,16,16,16,16,0,0,0,true,209712,0
