row_type,protocol,mode,claim_eligible,passed,workload,seed,depth,view,price_micros,uses_per_cycle,acquisition_work,installation_work,retained_bytes,maintenance_per_cycle,concrete_per_cycle,motif_per_cycle,gain_micros,break_even_cycles,break_even_invocations,horizon_cycles,horizon_invocations,delta_cost_micros,gate,gate_status
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,full-stack-from-blank,0,1,10743845,0,6916,0,468,773,-305000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,full-stack-from-blank,0,1,10743845,0,6916,0,756,998,-242000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,full-stack-from-blank,0,1,10743845,0,6916,0,1700,1774,-74000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,full-stack-from-blank,0,1,10743845,0,6916,0,4356,4094,262000000,41008,41008,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,full-stack-from-blank,0,1,10743845,0,6916,0,12740,11806,934000000,11504,11504,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,full-stack-from-blank,0,1,10743845,0,6916,0,41796,39518,2278000000,4717,4717,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,full-stack-from-blank,0,6,10743845,0,6916,0,61816,58963,2853000000,3766,22596,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,full-stack-from-blank,1,1,10743845,0,6916,0,468,773,-305006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,full-stack-from-blank,1,1,10743845,0,6916,0,756,998,-242006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,full-stack-from-blank,1,1,10743845,0,6916,0,1700,1774,-74006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,full-stack-from-blank,1,1,10743845,0,6916,0,4356,4094,261993084,41009,41009,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,full-stack-from-blank,1,1,10743845,0,6916,0,12740,11806,933993084,11504,11504,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,full-stack-from-blank,1,1,10743845,0,6916,0,41796,39518,2277993084,4717,4717,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,full-stack-from-blank,1,6,10743845,0,6916,0,61816,58963,2852958504,3766,22596,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,full-stack-from-blank,10,1,10743845,0,6916,0,468,773,-305069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,full-stack-from-blank,10,1,10743845,0,6916,0,756,998,-242069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,full-stack-from-blank,10,1,10743845,0,6916,0,1700,1774,-74069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,full-stack-from-blank,10,1,10743845,0,6916,0,4356,4094,261930840,41018,41018,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,full-stack-from-blank,10,1,10743845,0,6916,0,12740,11806,933930840,11504,11504,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,full-stack-from-blank,10,1,10743845,0,6916,0,41796,39518,2277930840,4717,4717,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,full-stack-from-blank,10,6,10743845,0,6916,0,61816,58963,2852585040,3767,22602,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,full-stack-from-blank,100,1,10743845,0,6916,0,468,773,-305691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,full-stack-from-blank,100,1,10743845,0,6916,0,756,998,-242691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,full-stack-from-blank,100,1,10743845,0,6916,0,1700,1774,-74691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,full-stack-from-blank,100,1,10743845,0,6916,0,4356,4094,261308400,41116,41116,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,full-stack-from-blank,100,1,10743845,0,6916,0,12740,11806,933308400,11512,11512,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,full-stack-from-blank,100,1,10743845,0,6916,0,41796,39518,2277308400,4718,4718,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,full-stack-from-blank,100,6,10743845,0,6916,0,61816,58963,2848850400,3772,22632,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,full-stack-from-blank,1000,1,10743845,0,6916,0,468,773,-311916000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,full-stack-from-blank,1000,1,10743845,0,6916,0,756,998,-248916000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,full-stack-from-blank,1000,1,10743845,0,6916,0,1700,1774,-80916000,,,,,,,
