row_type,protocol,mode,claim_eligible,passed,arm,seed_index,depth,correct,total,explicit_answers,queues_empty,activity_limit_hits,role_transfer_correct,role_transfer_total,false_bindings,ambiguous_bindings,fresh_lower_identities,fresh_activity_sources,expected_reflected_firings,used_reflected_arrows,bindings_erased,immutable_state_unchanged,permanent_fingerprint_unchanged,runtime_total,invocations,state_installations,provenance_events,provenance_relations,role_activations,reflected_arrow_evaluations,reflected_arrow_firings,binding_deliveries,direct_arrow_evaluations,direct_arrow_firings,direct_executor_calls,pre_resolved_routes,fallback_calls,oracle_calls,recognition_comparisons,binding_writes,binding_reads,failed_dereferences,cell_location_comparisons,lower_cells,spikes_enqueued,spikes_dequeued,queue_checks,relation_scans,identity_comparisons,current_updates,finishes,first_roles,first_success,competence,parity,acquisition_work,permanent_bytes,learned_roles,correct_arrows,gate,gate_status,workspaces_created,workspaces_destroyed,maximum_live_workspaces_per_cell,parallel_cells
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,581,9654,true,10740059,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,197,3874,true,4452016,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,117,19500,true,21480745,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2481,14838,true,16321757,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,145,13260,true,15321640,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,117,20842,true,23786489,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57,16803,true,18869627,6608,10,4,,,,,,
acquisition,reflected-grounding-rg0a-v1,definitive,true,true,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,329,2388,true,2676006,6608,10,4,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,concrete,0,5,16,16,true,true,0,0,0,0,0,true,true,true,0,true,true,true,7488,16,16,0,0,0,0,0,0,272,272,16,0,0,0,0,0,0,0,2064,560,560,560,560,1248,1248,80,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,grounded-reflected,0,5,16,16,true,true,0,160,160,0,0,true,true,true,4,true,true,true,10704,16,16,208,208,160,912,272,272,0,0,0,0,0,0,880,320,544,0,2064,560,560,560,560,1248,1248,80,16,,,,,,,,,,,,,,
