record,name_or_problems,entries_or_cases,training_work,neutral_training_work,exploration,held_out_work,neutral_work,guided_work,oracle_choices,false_guides,missed_guides
checkpoint,0,0,0,0,0,23283240,0,0,280,0,80
checkpoint,6,6,381298,388777,6,23283240,0,0,280,0,80
checkpoint,12,6,1053330,853910,12,22833060,0,0,260,100,0
checkpoint,24,6,1952679,1476304,24,22824960,0,0,280,60,20
checkpoint,48,6,3903156,3181730,48,22824960,0,0,280,60,20
checkpoint,96,6,7652331,6131944,96,23290560,0,0,260,40,60
checkpoint,192,6,13645060,12493010,132,23283240,0,0,280,0,80
checkpoint,384,6,25710086,24754504,221,23283240,0,0,280,0,80
checkpoint,768,6,50466288,49738130,221,22817640,0,0,300,20,40
checkpoint,1440,6,93058166,93112800,221,22817640,0,0,300,20,40
checkpoint,2880,6,184328726,186225600,221,22817640,0,0,300,20,40
context,reachable-depth-1,60,0,0,0,0,2820,6180,0,0,0
context,reachable-depth-2,60,0,0,0,0,11280,17460,0,0,0
context,reachable-depth-3,60,0,0,0,0,36660,44760,20,0,0
context,reachable-depth-4,60,0,0,0,0,112800,120120,20,0,0
context,reachable-depth-8,60,0,0,0,0,9249600,8784000,40,1,0
context,unreachable-budget-8,60,0,0,0,0,13865040,26260080,0,0,0
summary,learned,360,184328726,186225600,221,22817640,23278200,35232600,300,20,40
