dependency,scope,organism_visible,used_for,status
fresh activity occurrence,temporary,yes,anonymous local membership,allowed
local temporal precedence,temporary,yes,role-relative lag,allowed
physical directional propagation,temporary,yes,connected return path,allowed
selected live A1 route,temporary,yes through ordinary execution,physical input
E0 temporary event relation,temporary,yes,upstream action formation,upstream dependency
frozen DS1 choice index,temporary,opaque only,select existing route,upstream dependency
evaluator normalized effect,evaluator only,no,post-hoc frozen-inventory check,control only
truth filler identity,evaluator only,no,none,forbidden
stable occurrence identity,persistent,no,none,forbidden
success/failure/correct/wrong/reward,semantic,no,none,forbidden
outcome comparison,semantic,no,none,forbidden
DS1 apply_consequence,downstream,no,none,blocked
boundary-role reconstruction,downstream,no,none,blocked
economic/pass/fail oracle,evaluator only,no,none,forbidden
