case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,cell_deallocations,physical_work,trace_len,crossings,final_tick,naturally_quiescent,body_hash,markers
1,participation_plus_local_modulation,7300000,0,reference,true,true,true,,1,1,6,9,0,42,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
1,participation_plus_local_modulation,7300000,0,production,true,true,true,,1,1,6,9,0,42,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
2,repeated_use_without_modulation,7300000,0,reference,true,true,true,,0,1,11,21,0,10,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
2,repeated_use_without_modulation,7300000,0,production,true,true,true,,0,1,11,21,0,10,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
3,unqualified_and_wrong_cell_modulation,7300000,0,reference,true,true,true,,0,0,4,7,0,2,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
3,unqualified_and_wrong_cell_modulation,7300000,0,production,true,true,true,,0,0,4,7,0,2,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
4,late_modulation_after_relaxation,7300000,0,reference,true,true,true,,0,0,4,7,0,1001,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
4,late_modulation_after_relaxation,7300000,0,production,true,true,true,,0,0,4,7,0,1001,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
5,two_participating_cells_local_consequence,7300000,0,reference,true,true,true,,1,0,6,10,0,2,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
5,two_participating_cells_local_consequence,7300000,0,production,true,true,true,,1,0,6,10,0,2,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
6,repeated_support_and_eventual_decay,7300000,0,reference,true,true,true,,2,1,11,17,0,75,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
6,repeated_support_and_eventual_decay,7300000,0,production,true,true,true,,2,1,11,17,0,75,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
7,participation_plus_local_modulation,7300000,1,reference,true,true,true,,1,1,6,9,0,43,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
