case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
1,5500000,0,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,0,09f4df535ed9489a2e0855b420ad192680e558ca7a445f5157d3d32001439966,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,b35c4f1ab7b6eff25035038c0a05bac9e074fb1679f76eba2e0c80930f9558d0,true,true,true,true,true
1,5500000,0,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,0,09f4df535ed9489a2e0855b420ad192680e558ca7a445f5157d3d32001439966,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,b35c4f1ab7b6eff25035038c0a05bac9e074fb1679f76eba2e0c80930f9558d0,true,true,true,true,true
2,5500000,0,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,7,8e9e87bb96843b9f0ab4eb77bfb22e4b59ba85a90c278d4143be159b13d70fcf,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,ea31863d4a03b6d9dfe3e3d67512c0093acdade1c9daecfa09c1955ce20263ab,true,true,true,true,true
2,5500000,0,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,7,8e9e87bb96843b9f0ab4eb77bfb22e4b59ba85a90c278d4143be159b13d70fcf,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,da3091bfd0f917847217b04577ed8d6119aef57f6807cb0eab527f77bbc5463f,true,true,true,true,true
3,5500000,0,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,0,8637c1f39f47d36d81b4c08bc23aa15dc64abb79408109f483846da011320027,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,217aadbbce489d6d27dbee1f2e11e9febf6cd9ed0ec07e702e68f3918b938b6e,true,true,true,true,true
3,5500000,0,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,0,8637c1f39f47d36d81b4c08bc23aa15dc64abb79408109f483846da011320027,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,217aadbbce489d6d27dbee1f2e11e9febf6cd9ed0ec07e702e68f3918b938b6e,true,true,true,true,true
4,5500000,0,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1026,919681325bc1def6fadcdcba3fd5198c26a8bb220d01d4c841096bbd0ea87e58,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,5ed8bb457ac3efc1ff327eddd9a3fe4eb007cfc7263dce91c0173a322526fea6,true,true,true,true,true
4,5500000,0,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1026,919681325bc1def6fadcdcba3fd5198c26a8bb220d01d4c841096bbd0ea87e58,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,6fc30592045df2d8a7e6b376a67184c2ed83adb9bb78e33a46d6fc576f44e2ef,true,true,true,true,true
5,5500000,0,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,22,57bae0c8e911b140386c27d8c9145a69eb6f625f638e14052eff1d21ff11492d,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,57e5720a9e14689cdcb1452ed26f3d25a93113d69c2e4be9cc06497824b39dbc,true,true,true,true,true
5,5500000,0,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,22,57bae0c8e911b140386c27d8c9145a69eb6f625f638e14052eff1d21ff11492d,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,acc88ad0281e235339cb9cbdb084a4c8c36718b3dd262b15064884588c44be06,true,true,true,true,true
