case,family,root,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,physical_work,legacy_total,final_tick,trace_hash,body_hash,checkpoint_hash,signature
1,live_junction_roundtrip,8900000,reference,true,true,true,,true,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2043f7b8c989e7b77045ebf99d3657c575fd553cb67499a09421c667ce5e8582,236f768bef7806350955837606712bdce721f65e9ca475c244e8b9bc288b5846,before=(true; 1; 1);after=(true; 1; 1),
1,live_junction_roundtrip,8900000,production,true,true,true,,true,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2043f7b8c989e7b77045ebf99d3657c575fd553cb67499a09421c667ce5e8582,236f768bef7806350955837606712bdce721f65e9ca475c244e8b9bc288b5846,before=(true; 1; 1);after=(true; 1; 1),
2,dead_nonzero_dormant_resistance,8900000,reference,true,true,true,,true,1,3,1,1065ad616b1d5b21dd02e8c878d6e89dadb4159114cb3ab560e46081b4b59bc9,c39ddd336251defda2df7bfb68ad13ab108fe7de21eb1c074081f4bb7904dfd8,60530d7d34cf485c84df95d0c7ecddf5516a48db529922cefd3a30d8ff002be3,before=(false; 1; 2);after=(false; 1; 2),
2,dead_nonzero_dormant_resistance,8900000,production,true,true,true,,true,1,3,1,1065ad616b1d5b21dd02e8c878d6e89dadb4159114cb3ab560e46081b4b59bc9,c39ddd336251defda2df7bfb68ad13ab108fe7de21eb1c074081f4bb7904dfd8,0ffc3d472b8ffed4df0bbc21e0159181a660716c90e0c8aff4592677beb8e365,before=(false; 1; 2);after=(false; 1; 2),
3,dead_slot_generation_safe_reuse,8900000,reference,true,true,true,,true,0,0,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,82bed7e998c050bc9ae0a6d0cc56f04488aa8de22b22d1b89e777170bc091fe9,b87581748e3664dbb4280193d7f1264e6bbb1cd9109e9a4d7abce6566b041192,slot=2->2;generation=1->2,
3,dead_slot_generation_safe_reuse,8900000,production,true,true,true,,true,0,0,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,82bed7e998c050bc9ae0a6d0cc56f04488aa8de22b22d1b89e777170bc091fe9,bdf3ffaa3706f38c7865dd547d24b4d78b3df09d4bd205b5882e29315e2968b1,slot=2->2;generation=1->2,
4,incoming_stale_arrow_inert,8900000,reference,true,true,true,,true,1,10,11,480e38b9c732a3a9f769adb2cec8860e4842d4da6653ccb1c29ff8f207e680fa,ecb14db8b5a69f5d087a5590028041898382491d91fcd3e724d6222a4d2a7ac7,4fb2de9db4f58433cef3b23342bd367d8d3d9f32e4821e427c1860da17b9e3ab,slot=3->3;generation=1->2,
4,incoming_stale_arrow_inert,8900000,production,true,true,true,,true,1,10,11,480e38b9c732a3a9f769adb2cec8860e4842d4da6653ccb1c29ff8f207e680fa,ecb14db8b5a69f5d087a5590028041898382491d91fcd3e724d6222a4d2a7ac7,61ecc49809a04abf78ab09009a1ad9d5ac0ac7b0d82c694abf79869cd842c35c,slot=3->3;generation=1->2,
5,outgoing_stale_arrow_inert,8900000,reference,true,true,true,,true,1,10,11,f1cbe824fa0abbf1bcdfe6eba7919b8c92fb5d1d3c0ab053a2c50d61fc387b13,f03157511e462d550aac6ec344043a545588c1133838a92b66127b9615b02908,3d16a850c7a4553d7abbf4277aaf89cb9f6e53e5ccd1d8c97537af0614eb6987,slot=3->3;generation=1->2,
5,outgoing_stale_arrow_inert,8900000,production,true,true,true,,true,1,10,11,f1cbe824fa0abbf1bcdfe6eba7919b8c92fb5d1d3c0ab053a2c50d61fc387b13,f03157511e462d550aac6ec344043a545588c1133838a92b66127b9615b02908,464d3e8b6d73a002f90a02b68666c0ff233b2b5fc133a0ba00cee1f38017fcad,slot=3->3;generation=1->2,
