profile,gate,capability,status,experiences,physical_work,live_cells,live_arrows,proposals,deallocations,new_physics,reason
CORE-A,E0,propagate_activity,PASS,1,2,3,3,0,0,false,target fires exactly once
CORE-A,E1,form_local_relation,PASS,1,11,5,6,4,0,false,new source-target relation exists
CORE-A,E2,retain_supported_relation,PASS,2,20,6,7,4,0,false,qualified consequence increases candidate durability
CORE-A,E3,remove_unsupported_structure,PASS,1,17,3,2,4,4,false,unsupported relation and orphan contacts disappear
CORE-A,E4,positive_efficacy,FAIL,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-A,E5,negative_efficacy,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E6,competing_possibility_selection,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E7,build_contact_compartment,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E8,spatial_credit_specificity,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E9,delayed_consequence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E10,multi_hop_closure,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E11,stable_recurrence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E12,learned_recurrence_stabilization,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E13,four_context_relations,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-A,E14,frozen_arc_a2,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-B,E0,propagate_activity,PASS,1,2,3,3,0,0,false,target fires exactly once
CORE-B,E1,form_local_relation,PASS,1,11,5,6,4,0,false,new source-target relation exists
CORE-B,E2,retain_supported_relation,PASS,2,20,6,7,4,0,false,qualified consequence increases candidate durability
CORE-B,E3,remove_unsupported_structure,PASS,1,17,3,2,4,4,false,unsupported relation and orphan contacts disappear
CORE-B,E4,positive_efficacy,PASS,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-B,E5,negative_efficacy,PASS,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-B,E6,competing_possibility_selection,PASS,3,9,7,10,0,0,false,only the locally supported compartment matures
CORE-B,E7,build_contact_compartment,PASS,1,11,5,6,4,0,false,variation creates separate ordinary contact compartments
CORE-B,E8,spatial_credit_specificity,PASS,2,9,7,10,0,0,false,only the locally supported compartment matures
CORE-B,E9,delayed_consequence,PASS,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-B,E10,multi_hop_closure,PASS,10,165,19,51,0,0,false,one local closure rule composes through depths 1/2/4/8/16
CORE-B,E11,stable_recurrence,FAIL,1,3003,5,4,0,6,false,ordinary inhibitory topology preserves intended traversal and settles recurrence
CORE-B,E12,learned_recurrence_stabilization,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-B,E13,four_context_relations,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-B,E14,frozen_arc_a2,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E0,propagate_activity,PASS,1,2,3,3,0,0,false,target fires exactly once
CORE-C,E1,form_local_relation,PASS,1,5,3,4,2,0,false,new source-target relation exists
CORE-C,E2,retain_supported_relation,PASS,2,12,4,5,2,0,false,qualified consequence increases candidate durability
CORE-C,E3,remove_unsupported_structure,PASS,1,7,3,2,2,2,false,unsupported relation and orphan contacts disappear
CORE-C,E4,positive_efficacy,PASS,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-C,E5,negative_efficacy,PASS,2,7,5,6,0,0,false,supported efficacy and durability mature
CORE-C,E6,competing_possibility_selection,PASS,3,9,7,10,0,0,false,only the locally supported compartment matures
CORE-C,E7,build_contact_compartment,FAIL,1,5,3,4,2,0,false,variation creates separate ordinary contact compartments
CORE-C,E8,spatial_credit_specificity,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E9,delayed_consequence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E10,multi_hop_closure,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E11,stable_recurrence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E12,learned_recurrence_stabilization,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E13,four_context_relations,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-C,E14,frozen_arc_a2,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E0,propagate_activity,PASS,1,15,3,2,6,7,false,target fires exactly once
CORE-D,E1,form_local_relation,FAIL,1,11,3,2,4,4,false,new source-target relation exists
CORE-D,E2,retain_supported_relation,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E3,remove_unsupported_structure,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E4,positive_efficacy,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E5,negative_efficacy,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E6,competing_possibility_selection,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E7,build_contact_compartment,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E8,spatial_credit_specificity,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E9,delayed_consequence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E10,multi_hop_closure,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E11,stable_recurrence,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E12,learned_recurrence_stabilization,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E13,four_context_relations,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
CORE-D,E14,frozen_arc_a2,NOT_REACHED,0,0,0,0,0,0,false,earlier capability failed
