profile,mechanics,kind,step,route,exists_before,exists_after,traversed,participation_after_traversal,participation_before_consequence,modulation_at_contact,coupling_before,coupling_after,resistance_before,resistance_after,qlp_traversals,inhibitor_reexecutes,rb0_boundary_reached,fires_a,fires_b,settled,ceiling_reached,quiescent,physical_work
CORE1-A,reference,probe,0,0,true,true,false,0,0,false,-8589934592,-8589934592,42949672960000,42949672960000,0,false,false,0,0,false,false,true,1
CORE1-A,reference,probe,0,1,true,true,false,0,0,false,-8589934592,-8589934592,42949672960000,42949672960000,0,false,false,0,0,false,false,true,1
CORE1-A,reference,training,1,0,true,true,true,4294967296,1979772000,true,-8589934592,-10569706592,42949243463271,42950028818516,0,false,false,0,0,false,false,true,11
CORE1-A,reference,training,1,1,true,true,true,4294967296,1979772000,true,-8589934592,-10569706592,42949243463271,42950028818516,0,false,false,0,0,false,false,true,11
CORE1-A,reference,probe,1,0,true,true,false,1979772000,0,false,-10569706592,-10569706592,42950028818516,42950028818516,0,false,false,0,0,false,false,true,1
CORE1-A,reference,probe,1,1,true,true,false,1979772000,0,false,-10569706592,-10569706592,42950028818516,42950028818516,0,false,false,0,0,false,false,true,1
CORE1-A,reference,training,2,0,true,true,true,6151003546,2835314858,true,-10569706592,-13405021450,42949599321786,42952951305605,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,2,1,true,true,true,6151003546,2835314858,true,-10569706592,-13405021450,42949599321786,42952951305605,0,false,true,0,0,false,false,true,11
CORE1-A,reference,probe,2,0,true,true,false,2835314858,0,false,-13405021450,-13405021450,42952951305605,42952951305605,0,false,true,0,0,false,false,true,1
CORE1-A,reference,probe,2,1,true,true,false,2835314858,0,false,-13405021450,-13405021450,42952951305605,42952951305605,0,false,true,0,0,false,false,true,1
CORE1-A,reference,training,3,0,true,true,true,6953074975,3205030957,true,-13405021450,-16610052407,42952521808875,42956982940991,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,3,1,true,true,true,6953074975,3205030957,true,-13405021450,-16610052407,42952521808875,42956982940991,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,4,0,true,true,true,7299683818,3364800855,true,-16610052407,-19974853262,42956553444261,42961493886071,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,4,1,true,true,true,7299683818,3364800855,true,-16610052407,-19974853262,42956553444261,42961493886071,0,false,true,0,0,false,false,true,11
CORE1-A,reference,probe,4,0,true,true,false,3364800855,0,false,-19974853262,-19974853262,42961493886071,42961493886071,0,false,true,0,0,false,false,true,1
CORE1-A,reference,probe,4,1,true,true,false,3364800855,0,false,-19974853262,-19974853262,42961493886071,42961493886071,0,false,true,0,0,false,false,true,1
CORE1-A,reference,training,5,0,true,true,true,7449468097,3433844154,true,-19974853262,-23408697416,42961064389342,42966211961048,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,5,1,true,true,true,7449468097,3433844154,true,-19974853262,-23408697416,42961064389342,42966211961048,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,6,0,true,true,true,7514196190,3463680673,true,-23408697416,-26872378089,42965782464319,42971019545583,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,6,1,true,true,true,7514196190,3463680673,true,-23408697416,-26872378089,42965782464319,42971019545583,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,7,0,true,true,true,7542167926,3476574289,true,-26872378089,-30348952378,42970590048853,42975865810965,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,7,1,true,true,true,7542167926,3476574289,true,-26872378089,-30348952378,42970590048853,42975865810965,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,8,0,true,true,true,7554255691,3482146164,true,-30348952378,-33831098542,42975436314235,42980728791972,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,8,1,true,true,true,7554255691,3482146164,true,-30348952378,-33831098542,42975436314235,42980728791972,0,false,true,0,0,false,false,true,11
CORE1-A,reference,probe,8,0,true,true,false,3482146164,0,false,-33831098542,-33831098542,42980728791972,42980728791972,0,false,true,0,0,false,false,true,1
CORE1-A,reference,probe,8,1,true,true,false,3482146164,0,false,-33831098542,-33831098542,42980728791972,42980728791972,0,false,true,0,0,false,false,true,1
CORE1-A,reference,training,9,0,true,true,true,7559479324,3484554006,true,-33831098542,-37315652548,42980299295242,42985598996505,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,9,1,true,true,true,7559479324,3484554006,true,-33831098542,-37315652548,42980299295242,42985598996505,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,10,0,true,true,true,7561736676,3485594535,true,-37315652548,-40801247083,42985169499776,42990472322625,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,10,1,true,true,true,7561736676,3485594535,true,-37315652548,-40801247083,42985169499776,42990472322625,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,11,0,true,true,true,7562712172,3486044192,true,-40801247083,-44287291275,42990042825896,42995346997717,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,11,1,true,true,true,7562712172,3486044192,true,-40801247083,-44287291275,42990042825896,42995346997717,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,12,0,true,true,true,7563133726,3486238509,true,-44287291275,-47773529784,42994917500987,43000222255759,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,12,1,true,true,true,7563133726,3486238509,true,-44287291275,-47773529784,42994917500987,43000222255759,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,13,0,true,true,true,7563315898,3486322480,true,-47773529784,-51259852264,42999792759029,43005097765714,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,13,1,true,true,true,7563315898,3486322480,true,-47773529784,-51259852264,42999792759029,43005097765714,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,14,0,true,true,true,7563394621,3486358768,true,-51259852264,-54746211032,43004668268984,43009973384533,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,14,1,true,true,true,7563394621,3486358768,true,-51259852264,-54746211032,43004668268984,43009973384533,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,15,0,true,true,true,7563428641,3486374449,true,-54746211032,-58232585481,43009543887804,43014849050395,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,15,1,true,true,true,7563428641,3486374449,true,-54746211032,-58232585481,43009543887804,43014849050395,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,16,0,true,true,true,7563443341,3486381225,true,-58232585481,-61718966706,43014419553666,43019724736586,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,16,1,true,true,true,7563443341,3486381225,true,-58232585481,-61718966706,43014419553666,43019724736586,0,false,true,0,0,false,false,true,11
CORE1-A,reference,probe,16,0,true,true,false,3486381225,0,false,-61718966706,-61718966706,43019724736586,43019724736586,0,false,true,0,0,false,false,true,1
CORE1-A,reference,probe,16,1,true,true,false,3486381225,0,false,-61718966706,-61718966706,43019724736586,43019724736586,0,false,true,0,0,false,false,true,1
CORE1-A,reference,training,17,0,true,true,true,7563449694,3486384154,true,-61718966706,-65205350860,43019295239856,43024600431563,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,17,1,true,true,true,7563449694,3486384154,true,-61718966706,-65205350860,43019295239856,43024600431563,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,18,0,true,true,true,7563452440,3486385420,true,-65205350860,-68691736280,43024170934833,43029476130338,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,18,1,true,true,true,7563452440,3486385420,true,-65205350860,-68691736280,43024170934833,43029476130338,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,19,0,true,true,true,7563453627,3486385967,true,-68691736280,-72178122247,43029046633608,43034351830754,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,19,1,true,true,true,7563453627,3486385967,true,-68691736280,-72178122247,43029046633608,43034351830754,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,20,0,true,true,true,7563454140,3486386205,true,-72178122247,-75664508452,43033922334025,43039227531884,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,20,1,true,true,true,7563454140,3486386205,true,-72178122247,-75664508452,43033922334025,43039227531884,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,21,0,true,true,true,7563454363,3486386306,true,-75664508452,-79150894758,43038798035155,43044103233318,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,21,1,true,true,true,7563454363,3486386306,true,-75664508452,-79150894758,43038798035155,43044103233318,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,22,0,true,true,true,7563454457,3486386349,true,-79150894758,-82637281107,43043673736588,43048978934880,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,22,1,true,true,true,7563454457,3486386349,true,-79150894758,-82637281107,43043673736588,43048978934880,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,23,0,true,true,true,7563454498,3486386368,true,-82637281107,-86123667475,43048549438150,43053854636499,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,23,1,true,true,true,7563454498,3486386368,true,-82637281107,-86123667475,43048549438150,43053854636499,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,24,0,true,true,true,7563454516,3486386376,true,-86123667475,-89610053851,43053425139769,43058730338142,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,24,1,true,true,true,7563454516,3486386376,true,-86123667475,-89610053851,43053425139769,43058730338142,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,25,0,true,true,true,7563454523,3486386379,true,-89610053851,-93096440230,43058300841413,43063606039794,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,25,1,true,true,true,7563454523,3486386379,true,-89610053851,-93096440230,43058300841413,43063606039794,0,false,true,0,0,false,false,true,11
CORE1-A,reference,training,26,0,true,true,true,7563454526,3486386381,true,-93096440230,-96582826611,43063176543065,43068481741453,0,false,true,0,0,false,false,true,11
