profile,mechanics,context,intended,prime_action,negative_early_action,positive_early_action,consequence_admitted,modulatory_deliveries,plasticity_updates,probe_action,quiescent,physical_work,pass,reason,after_histories_material,after_consequence_material,after_probe_material
CORE1-A,reference,779,1,none,none,1,true,1,0,none,true,4392,false,resolved action does not close through ordinary consequence,outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:268864952730:3110400000,outgoing:4294967296:228921756877:7693865|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,reference,34,4,none,none,4,true,1,0,none,true,4382,false,resolved action does not close through ordinary consequence,outgoing:4294967296:258986527949:3774873600,outgoing:4294967296:257698037760:3110400000,outgoing:4294967296:227633266688:33947320
CORE1-A,reference,980,2,none,none,2,true,1,0,none,true,4352,false,resolved action does not close through ordinary consequence,outgoing:4294967296:247819612980:3774873600,outgoing:4294967296:246531122791:3110400000,outgoing:4294967296:226344776500:149784271
CORE1-A,reference,430,3,none,none,3,true,1,0,none,true,4376,false,resolved action does not close through ordinary consequence,outgoing:4294967296:236652698010:3774873600,outgoing:4294967296:235364207821:3110400000,outgoing:4294967296:225056286311:660886488
CORE1-A,replay,779,1,none,none,1,true,1,0,none,true,4392,false,resolved action does not close through ordinary consequence,outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:268864952730:3110400000,outgoing:4294967296:228921756877:7693865|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,replay,34,4,none,none,4,true,1,0,none,true,4382,false,resolved action does not close through ordinary consequence,outgoing:4294967296:258986527949:3774873600,outgoing:4294967296:257698037760:3110400000,outgoing:4294967296:227633266688:33947320
CORE1-A,replay,980,2,none,none,2,true,1,0,none,true,4352,false,resolved action does not close through ordinary consequence,outgoing:4294967296:247819612980:3774873600,outgoing:4294967296:246531122791:3110400000,outgoing:4294967296:226344776500:149784271
CORE1-A,replay,430,3,none,none,3,true,1,0,none,true,4376,false,resolved action does not close through ordinary consequence,outgoing:4294967296:236652698010:3774873600,outgoing:4294967296:235364207821:3110400000,outgoing:4294967296:225056286311:660886488
CORE1-A,production,779,1,none,none,1,true,1,0,none,true,4392,false,resolved action does not close through ordinary consequence,outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:268864952730:3110400000,outgoing:4294967296:228921756877:7693865|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,production,34,4,none,none,4,true,1,0,none,true,4382,false,resolved action does not close through ordinary consequence,outgoing:4294967296:258986527949:3774873600,outgoing:4294967296:257698037760:3110400000,outgoing:4294967296:227633266688:33947320
CORE1-A,production,980,2,none,none,2,true,1,0,none,true,4352,false,resolved action does not close through ordinary consequence,outgoing:4294967296:247819612980:3774873600,outgoing:4294967296:246531122791:3110400000,outgoing:4294967296:226344776500:149784271
CORE1-A,production,430,3,none,none,3,true,1,0,none,true,4376,false,resolved action does not close through ordinary consequence,outgoing:4294967296:236652698010:3774873600,outgoing:4294967296:235364207821:3110400000,outgoing:4294967296:225056286311:660886488
CORE1-B,reference,779,1,none,none,1,true,1,2,none,true,4362,false,supported route does not re-execute on a fresh context,outgoing:4294967296:270153442919:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:268864952730:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:228921756877:7693865
CORE1-B,reference,34,4,none,none,4,true,1,2,none,true,4358,false,supported route does not re-execute on a fresh context,outgoing:4294967296:258986527949:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:257698037760:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:227633266688:33947320
CORE1-B,reference,980,2,none,none,2,true,1,2,none,true,4362,false,supported route does not re-execute on a fresh context,outgoing:4294967296:247819612980:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:246531122791:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:226344776500:149784271
CORE1-B,reference,430,3,none,none,3,true,1,2,none,true,4372,false,supported route does not re-execute on a fresh context,outgoing:4294967296:236652698010:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:235364207821:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:225056286311:660886488
CORE1-B,replay,779,1,none,none,1,true,1,2,none,true,4362,false,supported route does not re-execute on a fresh context,outgoing:4294967296:270153442919:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:268864952730:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:228921756877:7693865
CORE1-B,replay,34,4,none,none,4,true,1,2,none,true,4358,false,supported route does not re-execute on a fresh context,outgoing:4294967296:258986527949:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:257698037760:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:227633266688:33947320
CORE1-B,replay,980,2,none,none,2,true,1,2,none,true,4362,false,supported route does not re-execute on a fresh context,outgoing:4294967296:247819612980:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:246531122791:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:226344776500:149784271
CORE1-B,replay,430,3,none,none,3,true,1,2,none,true,4372,false,supported route does not re-execute on a fresh context,outgoing:4294967296:236652698010:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:235364207821:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:225056286311:660886488
CORE1-B,production,779,1,none,none,1,true,1,2,none,true,4362,false,supported route does not re-execute on a fresh context,outgoing:4294967296:270153442919:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:268864952730:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:228921756877:7693865
CORE1-B,production,34,4,none,none,4,true,1,2,none,true,4358,false,supported route does not re-execute on a fresh context,outgoing:4294967296:258986527949:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,outgoing:4294967296:257698037760:3110400000,direct:4294967296:3006477108:3538944000|direct:-4294967296:3006477108:3538944000|outgoing:4294967296:3006477108:3538944000|outgoing:-4294967296:3006477108:3538944000|outgoing:4294967296:227633266688:33947320
