profile,mechanics,context,intended,prime_action,negative_early_action,positive_early_action,reinforcement_action,consequence_admitted,modulatory_deliveries,plasticity_updates,probe_action,quiescent,physical_work,pass,reason,after_histories_material,after_consequence_material,after_probe_material
CORE1-A,reference,779,1,none,none,1,none,true,4,3,none,true,4292,false,context 779 action 1 route is absent before fixed reinforcement: transient history requires live positive and negative contact alternatives; positive=false negative=false contacts=0,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:273159920026:4294967296|outgoing:8069840896:281478063719:3774873600,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600
CORE1-A,replay,779,1,none,none,1,none,true,4,3,none,true,4292,false,context 779 action 1 route is absent before fixed reinforcement: transient history requires live positive and negative contact alternatives; positive=false negative=false contacts=0,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:273159920026:4294967296|outgoing:8069840896:281478063719:3774873600,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600
CORE1-A,production,779,1,none,none,1,none,true,4,3,none,true,4292,false,context 779 action 1 route is absent before fixed reinforcement: transient history requires live positive and negative contact alternatives; positive=false negative=false contacts=0,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600,outgoing:4294967296:273159920026:4294967296|outgoing:8069840896:281478063719:3774873600,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600
CORE1-B,reference,779,1,none,none,1,1,true,12,40,1,true,8536,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:298856450871:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:-20799899296:48226305812:5518716000|outgoing:11372855296:24240141108:3538944000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,outgoing:4294967296:228062763418:4306626637|outgoing:14588711963:255937520312:10247467|outgoing:36555236587:52542644725:3551668041|outgoing:-24347532206:15919531582:3547632910|stem:61453283424:127236785236:3329688788|stem:61453283424:127236785236:3329688788
CORE1-B,reference,34,4,none,none,4,4,true,12,40,4,true,8538,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:258127534490:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:286830542442:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:11372855296:24240141108:3538944000|outgoing:-20799899296:48226305812:5518716000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,direct:24250696348:29802416084:3342344526|direct:-24250696348:29802416084:3342344526|outgoing:24250696348:29802416084:3342344526|outgoing:-24250696348:29802416084:3342344526|outgoing:4294967296:238370684928:4349840910|outgoing:14626693258:254333477278:48228762|outgoing:36602397077:62992047705:3598828531|outgoing:-24379736861:26324067057:3579837565|stem:61497496383:137677345623:3373901747|stem:61497496383:137677345623:3373901747
CORE1-B,reference,980,2,none,none,2,2,true,12,40,2,true,8546,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:246101626061:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:274804634013:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:11372855296:24240141108:3538944000|outgoing:-20799899296:48226305812:5518716000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,direct:24432936860:40657059131:3433464782|direct:-24432936860:40657059131:3433464782|outgoing:24432936860:40657059131:3433464782|outgoing:-24432936860:40657059131:3433464782|outgoing:4294967296:248678606439:4553224810|outgoing:14805448638:253151756500:226984142|outgoing:36824353480:73965838424:3820784934|outgoing:15035217731:12893398473:3662362435|outgoing:-24531305033:37086693083:3731405737|stem:61705580511:148609519517:3581985875|stem:61705580511:148609519517:3581985875
CORE1-B,reference,430,3,none,none,3,3,true,12,40,3,true,8546,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:234075717632:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:262778725584:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:11372855296:24240141108:3538944000|outgoing:-20799899296:48226305812:5518716000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,direct:25290634666:53538074059:3862313685|direct:-25290634666:53538074059:3862313685|outgoing:25290634666:53538074059:3862313685|outgoing:-25290634666:53538074059:3862313685|outgoing:4294967296:258986527949:5510431969|outgoing:15646743992:253957655644:1068279496|outgoing:37868970365:87407610590:4865401819|outgoing:15492656560:24573636471:4119801264|outgoing:-25244646352:49534638551:4444747056|stem:62684908841:161855426018:4561314205|stem:62684908841:161855426018:4561314205
CORE1-B,replay,779,1,none,none,1,1,true,12,40,1,true,8536,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:270153442919:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:298856450871:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:-20799899296:48226305812:5518716000|outgoing:11372855296:24240141108:3538944000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,outgoing:4294967296:228062763418:4306626637|outgoing:14588711963:255937520312:10247467|outgoing:36555236587:52542644725:3551668041|outgoing:-24347532206:15919531582:3547632910|stem:61453283424:127236785236:3329688788|stem:61453283424:127236785236:3329688788
CORE1-B,replay,34,4,none,none,4,4,true,12,40,4,true,8538,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:258127534490:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:286830542442:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:11372855296:24240141108:3538944000|outgoing:-20799899296:48226305812:5518716000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,direct:24250696348:29802416084:3342344526|direct:-24250696348:29802416084:3342344526|outgoing:24250696348:29802416084:3342344526|outgoing:-24250696348:29802416084:3342344526|outgoing:4294967296:238370684928:4349840910|outgoing:14626693258:254333477278:48228762|outgoing:36602397077:62992047705:3598828531|outgoing:-24379736861:26324067057:3579837565|stem:61497496383:137677345623:3373901747|stem:61497496383:137677345623:3373901747
CORE1-B,replay,980,2,none,none,2,2,true,12,40,2,true,8546,true,complete history-resolved E13 chain closes,outgoing:4294967296:273159920026:0|outgoing:4294967296:246101626061:3774873600|outgoing:4294967296:858993460:6272694000|outgoing:-4294967296:858993460:2733750000|stem:4294967296:858993460:5880650625|stem:4294967296:858993460:5880650625,direct:17566007296:42390100378:3317760000|direct:-17566007296:42390100378:3317760000|outgoing:17566007296:42390100378:3317760000|outgoing:-17566007296:42390100378:3317760000|outgoing:4294967296:271012436378:7405367296|outgoing:14578464496:274804634013:6508623600|outgoing:33003568546:84837313562:8081606625|outgoing:11372855296:24240141108:3538944000|outgoing:-20799899296:48226305812:5518716000|stem:58123594636:160197391832:7576506210|stem:58123594636:160197391832:7576506210,direct:24432936860:40657059131:3433464782|direct:-24432936860:40657059131:3433464782|outgoing:24432936860:40657059131:3433464782|outgoing:-24432936860:40657059131:3433464782|outgoing:4294967296:248678606439:4553224810|outgoing:14805448638:253151756500:226984142|outgoing:36824353480:73965838424:3820784934|outgoing:15035217731:12893398473:3662362435|outgoing:-24531305033:37086693083:3731405737|stem:61705580511:148609519517:3581985875|stem:61705580511:148609519517:3581985875
