family,depth,resistance,delay,noise_pairs,full_closure,action_crossings,desired_live_before,qlp_live_before,participating_before,desired_supported,backward_supported_depth,desired_qlp_traversals,noise_supported,physical_work,deallocations,final_tick,pending,quiescent,replay_exact,mechanics_exact,body_hash,trace_hash
depth,1,8,4,0,true,1|1,2|2,2|2,2|2,2|2,2|2,2|2,0|0,30,0,9,0,true,true,true,c6000758da5c5aa31ab822ad567e5f4f9ede37ecf4fe55fed5fa2051efc5e26f,7ba19a91ad3e0125bc21d1d77f78278040d17ba728e572506cffd08d01eaddce
depth,2,8,4,0,true,1|1,3|3,3|3,3|3,3|3,3|3,3|3,0|0,40,0,9,0,true,true,true,2ae035c02e64ef472955dc57dc8ce5d8744ce67b9cf72e6bb17bbfefad934792,d1b2ac1c65054b79ac7cca20ce1a59e4517330e10f52241cd12cb641c38b90f8
depth,4,8,4,0,true,1|1,5|5,5|5,5|5,5|5,5|5,5|5,0|0,60,0,9,0,true,true,true,bd28bd4e26edb4afd52e892a1d0d2ed88c829bd069c18e87d0de44b8dd57eda6,e378119e178ba132bec97ce3fbc615da1ecbeb1191ce429a7f63e38eef69180f
depth,8,8,4,0,true,1|1,9|9,9|9,9|9,9|9,9|9,9|9,0|0,100,0,9,0,true,true,true,7669556eb38e292cb03c6f202737540cec78f47bc9f9f22e4184c5f31de988c9,07c0cba5191b1f5ebf753ff20acb8dc8ba32a61aaebfbdabdc7bf61e16b37847
depth,16,8,4,0,true,1|1,17|17,17|17,17|17,17|17,17|17,17|17,0|0,180,0,9,0,true,true,true,4d4e32311b9287caa3c407d0058fd6b6babb46fd20ebbe7341dd1d9d424c21e4,4198f08263e2e581f6729ff69e308b681f0c440a6f274096fc739b883846922b
depth,32,8,4,0,true,1|1,33|33,33|33,33|33,33|33,33|33,33|33,0|0,340,0,9,0,true,true,true,95945a3e1815a336640dbd3d6c6e6b1b38602bc24eb559e557ffe04e4b9241be,809fd6558699b6ea75c8e172c28cba5727ad252fb77f57c6c65a3c1b21ca8517
depth,64,8,4,0,true,1|1,65|65,65|65,65|65,65|65,65|65,65|65,0|0,660,0,9,0,true,true,true,c41b353e3ba5cdd5ba5cd092df2dd7a43774feea38cf505afc7ccdb25a9e3499,f88941b6fc8fc6f8d68d55f5225d47af9d97f933f4a79bd5f39b3016b268892d
depth,128,8,4,0,true,1|1,129|129,129|129,129|129,129|129,129|129,129|129,0|0,1300,0,9,0,true,true,true,1daed376de71fea470eb7c946d44eef638c61a88c6d56ec20129e92c1ab7ceb3,98e3fe7e61d4c46fe81cb5a29bae0577f5c8130e1f642085a407e93249d7047c
lifetime,8,1,12,0,false,1|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,18,0,25,0,true,true,true,b44086f4fab8f34b72295ad32356b2e877ca120dc5736f1710c4c3ce58c3b44a,c299c9e2f11baef74da630b13727becb5d817979707f634f653f04388eecda2e
lifetime,8,2,12,0,false,1|1,9|9,9|0,9|9,9|1,9|1,9|0,0|0,65,0,25,0,true,true,true,7d6b7467c3b48f997a7327be10a5b4721c072512f77ae8c9b09974a4a7a21d2e,deda0f7c125e31c5d0d739d95c529ffd3f629e987e3a8f9011c826a58049a033
