profile,mechanics,index,context,intended_action,motor,context_activity,direct_positive,direct_negative,contact_positive,contact_negative,topology_exists,candidate_traversed,motor_crossing,outward_crossings,world_changed,support_admitted,modulatory_deliveries,participation_at_consequence,material_changed,plasticity_updates,fresh_action,fresh_participation,quiescent,physical_work,class,reason
CORE1-A,reference,0,779,1,0,true,0,0,2,1,true,true,none,0,true,false,0,15163200000,true,0,none,16061379021,true,140,B,candidate action topology traverses but does not produce motor output
CORE1-A,reference,1,34,4,3,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,70,B,candidate action topology traverses but does not produce motor output
CORE1-A,reference,2,980,2,1,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,88,B,candidate action topology traverses but does not produce motor output
CORE1-A,reference,3,430,3,2,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,16061379021,true,178,B,candidate action topology traverses but does not produce motor output
CORE1-A,replay,0,779,1,0,true,0,0,2,1,true,true,none,0,true,false,0,15163200000,true,0,none,16061379021,true,140,B,candidate action topology traverses but does not produce motor output
CORE1-A,replay,1,34,4,3,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,70,B,candidate action topology traverses but does not produce motor output
CORE1-A,replay,2,980,2,1,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,88,B,candidate action topology traverses but does not produce motor output
CORE1-A,replay,3,430,3,2,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,16061379021,true,178,B,candidate action topology traverses but does not produce motor output
CORE1-A,production,0,779,1,0,true,0,0,2,1,true,true,none,0,true,false,0,15163200000,true,0,none,16061379021,true,140,B,candidate action topology traverses but does not produce motor output
CORE1-A,production,1,34,4,3,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,70,B,candidate action topology traverses but does not produce motor output
CORE1-A,production,2,980,2,1,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,1433743821,true,88,B,candidate action topology traverses but does not produce motor output
CORE1-A,production,3,430,3,2,true,0,0,1,0,true,true,none,0,true,false,0,3110400000,true,0,none,16061379021,true,178,B,candidate action topology traverses but does not produce motor output
CORE1-B,reference,0,779,1,0,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,reference,1,34,4,3,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,reference,2,980,2,1,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,104,B,candidate action topology traverses but does not produce motor output
CORE1-B,reference,3,430,3,2,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,110,B,candidate action topology traverses but does not produce motor output
CORE1-B,replay,0,779,1,0,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,replay,1,34,4,3,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,replay,2,980,2,1,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,104,B,candidate action topology traverses but does not produce motor output
CORE1-B,replay,3,430,3,2,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,110,B,candidate action topology traverses but does not produce motor output
CORE1-B,production,0,779,1,0,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,production,1,34,4,3,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
CORE1-B,production,2,980,2,1,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,104,B,candidate action topology traverses but does not produce motor output
CORE1-B,production,3,430,3,2,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,110,B,candidate action topology traverses but does not produce motor output
CORE1-C,reference,0,779,1,0,true,1,1,2,1,true,true,none,0,true,false,0,14774400000,true,0,none,15589519821,true,96,B,candidate action topology traverses but does not produce motor output
