seed,mechanics,order,useful,explored,preference,h_actions,c_actions,random_choices,random_actions,consequences_admitted,consequence_modulation,consequence_updates,outgoing_coupling,stem_coupling,outgoing_resistance,stem_resistance,quiescent,physical_work,replay_exact,mechanics_exact
0,reference,1|2|3|4,1,1|2|3|4,1,1|1|1,none|none|1,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
0,replay,1|2|3|4,1,1|2|3|4,1,1|1|1,none|none|1,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
0,production,1|2|3|4,1,1|2|3|4,1,1|1|1,none|none|1,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
1,reference,2|3|4|1,2,2|3|4|1,2,2|2|2,none|none|2,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
1,replay,2|3|4|1,2,2|3|4|1,2,2|2|2,none|none|2,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
1,production,2|3|4|1,2,2|3|4|1,2,2|2|2,none|none|2,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
2,reference,3|4|1|2,4,3|4|1|2,4,4|4|4,none|none|4,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
2,replay,3|4|1|2,4,3|4|1|2,4,4|4|4,none|none|4,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
2,production,3|4|1|2,4,3|4|1|2,4,4|4|4,none|none|4,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
3,reference,4|1|2|3,1,4|1|2|3,1,1|1|1,none|none|1,2|3|4,2|3|4,true|true,6|6,15|25,4294967296|16840355296|33003568546,4294967296|27817569796|58123594636,858993460|38495157460|84837313562,858993460|71426800960|160197391832,true,8591,true,true
