seed,mechanics,arm,order,useful,first_action,ticks_to_first_action,attempted_1,attempted_2,participated_1,participated_2,temporary_state_1,temporary_state_2,attempts_to_useful,consequence_admitted,consequence_modulation,consequence_updates,final_action,outgoing_coupling,stem_coupling,outgoing_resistance,stem_resistance,physical_work,quiescent,zero_silent,replay_exact,mechanics_exact,learned_useful
0,reference,V_variation,1|2|3|4,1,1,4,1|2|3|4,2|3|4|1,1|2|3|4,1,,,1|4,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
0,reference,R_refractory,1|2|3|4,1,1,4,1,2,1,,1|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,reference,D_depression,1|2|3|4,1,1,4,1,2,1,,268435456|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,reference,T_trace,1|2|3|4,1,1,4,1,2,1,,4294967296|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,replay,V_variation,1|2|3|4,1,1,4,1|2|3|4,2|3|4|1,1|2|3|4,1,,,1|4,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
0,replay,R_refractory,1|2|3|4,1,1,4,1,2,1,,1|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,replay,D_depression,1|2|3|4,1,1,4,1,2,1,,268435456|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,replay,T_trace,1|2|3|4,1,1,4,1,2,1,,4294967296|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,production,V_variation,1|2|3|4,1,1,4,1|2|3|4,2|3|4|1,1|2|3|4,1,,,1|4,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
0,production,R_refractory,1|2|3|4,1,1,4,1,2,1,,1|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,production,D_depression,1|2|3|4,1,1,4,1,2,1,,268435456|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
0,production,T_trace,1|2|3|4,1,1,4,1,2,1,,4294967296|0|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,reference,V_variation,2|3|4|1,2,2,4,2|3|4|1,4|1|2|3,2|3|4|1,2,,,1|3,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
1,reference,R_refractory,2|3|4|1,2,2,4,2,4,2,,0|1|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,reference,D_depression,2|3|4|1,2,2,4,2,4,2,,0|268435456|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,reference,T_trace,2|3|4|1,2,2,4,2,4,2,,0|4294967296|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,replay,V_variation,2|3|4|1,2,2,4,2|3|4|1,4|1|2|3,2|3|4|1,2,,,1|3,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
1,replay,R_refractory,2|3|4|1,2,2,4,2,4,2,,0|1|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,replay,D_depression,2|3|4|1,2,2,4,2,4,2,,0|268435456|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,replay,T_trace,2|3|4|1,2,2,4,2,4,2,,0|4294967296|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,production,V_variation,2|3|4|1,2,2,4,2|3|4|1,4|1|2|3,2|3|4|1,2,,,1|3,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
1,production,R_refractory,2|3|4|1,2,2,4,2,4,2,,0|1|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,production,D_depression,2|3|4|1,2,2,4,2,4,2,,0|268435456|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
1,production,T_trace,2|3|4|1,2,2,4,2,4,2,,0|4294967296|0|0,0|0|0|0,1|0,true|false,0|0,0|0,none,4294967296,4294967296,429496730,429496730,4144,true,true,true,true,false
2,reference,V_variation,3|4|1|2,4,3,4,3|4|1|2,2|3|4|1,3|4|1|2,4,,,2|3,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
2,reference,R_refractory,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|1|0,0|1|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,reference,D_depression,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|235929600|0,0|235929600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,reference,T_trace,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|3774873600|0,0|3774873600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,replay,V_variation,3|4|1|2,4,3,4,3|4|1|2,2|3|4|1,3|4|1|2,4,,,2|3,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
2,replay,R_refractory,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|1|0,0|1|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,replay,D_depression,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|235929600|0,0|235929600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,replay,T_trace,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|3774873600|0,0|3774873600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,production,V_variation,3|4|1|2,4,3,4,3|4|1|2,2|3|4|1,3|4|1|2,4,,,2|3,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
2,production,R_refractory,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|1|0,0|1|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,production,D_depression,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|235929600|0,0|235929600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
2,production,T_trace,3|4|1|2,4,3,4,3|4,2|3,3,2,0|0|3774873600|0,0|3774873600|0|0,0|0,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,98,true,true,true,true,false
3,reference,V_variation,4|1|2|3,1,4,4,4|1|2|3,4|1|2|3,4|1|2|3,1,,,2|2,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,true,true,true
