arm,route_count,pass,sequence
V_variation,1,true,0
V_variation,2,true,0|1
V_variation,4,true,0|1|2|3
V_variation,8,true,0|1|2|3|4|5|6|7
V_variation,16,true,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
R_refractory,1,true,0
R_refractory,2,true,0|1
R_refractory,4,true,0|1|2|3
R_refractory,8,true,0|1|2|3|4|5|6|7
R_refractory,16,true,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
D_depression,1,true,0
D_depression,2,true,0|1
D_depression,4,true,0|1|2|3
D_depression,8,true,0|1|2|3|4|5|6|7
D_depression,16,true,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
T_trace,1,true,0
T_trace,2,true,0|1
T_trace,4,true,0|1|2|3
T_trace,8,true,0|1|2|3|4|5|6|7
T_trace,16,true,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
