seed,mechanics,order,useful,attempts_1,attempts_2,modulatory_1,modulatory_2,updates_1,updates_2,final_action,work,quiescent,controls,replay_exact,mechanics_exact,passed
0,reference,1|2|3|4,1,1,1,8,10,16,29,Some(1),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
0,replay,1|2|3|4,1,1,1,8,10,16,29,Some(1),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
0,production,1|2|3|4,1,1,1,8,10,16,29,Some(1),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
1,reference,2|3|4|1,2,2,2,8,10,16,29,Some(2),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
1,replay,2|3|4|1,2,2,2,8,10,16,29,Some(2),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
1,production,2|3|4|1,2,2,2,8,10,16,29,Some(2),8554,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
2,reference,3|4|1|2,4,3|4,4,8,10,16,29,Some(4),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
2,replay,3|4|1|2,4,3|4,4,8,10,16,29,Some(4),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
2,production,3|4|1|2,4,3|4,4,8,10,16,29,Some(4),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
3,reference,4|1|2|3,1,4|1,1,8,10,16,29,Some(1),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
3,replay,4|1|2|3,1,4|1,1,8,10,16,29,Some(1),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
3,production,4|1|2|3,1,4|1,1,8,10,16,29,Some(1),8660,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
4,reference,4|3|2|1,2,4|3|2,2,8,10,16,29,Some(2),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
4,replay,4|3|2|1,2,4|3|2,2,8,10,16,29,Some(2),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
4,production,4|3|2|1,2,4|3|2,2,8,10,16,29,Some(2),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
5,reference,1|4|3|2,3,1|4|3,3,8,10,16,29,Some(3),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
5,replay,1|4|3|2,3,1|4|3,3,8,10,16,29,Some(3),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
5,production,1|4|3|2,3,1|4|3,3,8,10,16,29,Some(3),8770,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
6,reference,2|1|4|3,3,2|1|4|3,3,8,10,16,29,Some(3),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
6,replay,2|1|4|3,3,2|1|4|3,3,8,10,16,29,Some(3),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
6,production,2|1|4|3,3,2|1|4|3,3,8,10,16,29,Some(3),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
7,reference,3|2|1|4,4,3|2|1|4,4,8,10,16,29,Some(4),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
7,replay,3|2|1|4,4,3|2|1|4,4,8,10,16,29,Some(4),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
7,production,3|2|1|4,4,3|2|1|4,4,8,10,16,29,Some(4),8880,true,1|1|1|1|1|1|1|1|1|1|1,true,true,true
