case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,cell_updates,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
1,gate_a_sign_symmetry,7500000,0,reference,true,true,true,,2,4,0,0,0,0,11,14,2,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
1,gate_a_sign_symmetry,7500000,0,production,true,true,true,,2,4,0,0,0,0,11,14,2,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
2,gate_b_no_consequence,7500000,0,reference,true,true,true,,2,4,0,0,2,4,17,20,10,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
2,gate_b_no_consequence,7500000,0,production,true,true,true,,2,4,0,0,2,4,17,20,10,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
3,gate_c_bounded_creation,7500000,0,reference,true,true,true,,2,4,0,0,2,4,35,50,10,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
3,gate_c_bounded_creation,7500000,0,production,true,true,true,,2,4,0,0,2,4,35,50,10,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
4,gate_d_orphan_cleanup_reuse,7500000,0,reference,true,true,true,,2,4,0,0,2,4,17,20,10,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
4,gate_d_orphan_cleanup_reuse,7500000,0,production,true,true,true,,2,4,0,0,2,4,17,20,10,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
5,gate_e_positive_consequence,7500000,0,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,10,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
5,gate_e_positive_consequence,7500000,0,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,10,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
6,gate_a_sign_symmetry,7500000,1,reference,true,true,true,,2,4,0,0,0,0,11,14,3,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
6,gate_a_sign_symmetry,7500000,1,production,true,true,true,,2,4,0,0,0,0,11,14,3,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
7,gate_b_no_consequence,7500000,1,reference,true,true,true,,2,4,0,0,2,4,17,20,11,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
7,gate_b_no_consequence,7500000,1,production,true,true,true,,2,4,0,0,2,4,17,20,11,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
8,gate_c_bounded_creation,7500000,1,reference,true,true,true,,2,4,0,0,2,4,35,50,11,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
8,gate_c_bounded_creation,7500000,1,production,true,true,true,,2,4,0,0,2,4,35,50,11,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
9,gate_d_orphan_cleanup_reuse,7500000,1,reference,true,true,true,,2,4,0,0,2,4,17,20,11,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
9,gate_d_orphan_cleanup_reuse,7500000,1,production,true,true,true,,2,4,0,0,2,4,17,20,11,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
10,gate_e_positive_consequence,7500000,1,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,11,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
10,gate_e_positive_consequence,7500000,1,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,11,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
11,gate_a_sign_symmetry,7500000,2,reference,true,true,true,,2,4,0,0,0,0,11,14,4,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
11,gate_a_sign_symmetry,7500000,2,production,true,true,true,,2,4,0,0,0,0,11,14,4,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
12,gate_b_no_consequence,7500000,2,reference,true,true,true,,2,4,0,0,2,4,17,20,12,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
12,gate_b_no_consequence,7500000,2,production,true,true,true,,2,4,0,0,2,4,17,20,12,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
13,gate_c_bounded_creation,7500000,2,reference,true,true,true,,2,4,0,0,2,4,35,50,12,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
13,gate_c_bounded_creation,7500000,2,production,true,true,true,,2,4,0,0,2,4,35,50,12,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
