case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
1,v2_anchor_only_control,7500000,0,reference,true,true,true,,0,0,0,0,0,0,0,10,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
1,v2_anchor_only_control,7500000,0,production,true,true,true,,0,0,0,0,0,0,0,10,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
2,gate_e_positive_consequence,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
2,gate_e_positive_consequence,7500000,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
3,v2_anchor_identity_slot_permutation,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,c53a5f2a599b8bfff71c127406ccb2ea9117f281803d300715bcd06132f21805,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
3,v2_anchor_identity_slot_permutation,7500000,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,c53a5f2a599b8bfff71c127406ccb2ea9117f281803d300715bcd06132f21805,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
4,v2_anchor_only_control,7500000,1,reference,true,true,true,,0,0,0,0,0,0,0,11,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
4,v2_anchor_only_control,7500000,1,production,true,true,true,,0,0,0,0,0,0,0,11,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
5,gate_e_positive_consequence,7500000,1,reference,true,true,true,,2,4,2,1,2,21,27,13,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
5,gate_e_positive_consequence,7500000,1,production,true,true,true,,2,4,2,1,2,21,27,13,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
6,v2_anchor_identity_slot_permutation,7500000,1,reference,true,true,true,,2,4,2,1,2,21,27,13,true,c53a5f2a599b8bfff71c127406ccb2ea9117f281803d300715bcd06132f21805,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
