case,model,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
1,cc0_model,useful_two_link_relation,7700000,0,reference,true,true,true,,1,1,0,1,9,13,10,true,a9296ab8e3d22bfe14782947e3d5d207251fcc4e059f45ccc68088ccb2d75cb4,model=independent_cell_persistence;cell=Some(4);incoming=Some(1);outgoing=Some(4);live10=(Some(true); false; true);fires=1->1
1,cc0_model,useful_two_link_relation,7700000,0,production,true,true,true,,1,1,0,1,9,13,10,true,a9296ab8e3d22bfe14782947e3d5d207251fcc4e059f45ccc68088ccb2d75cb4,model=independent_cell_persistence;cell=Some(4);incoming=Some(1);outgoing=Some(4);live10=(Some(true); false; true);fires=1->1
2,cc0_model,unsupported_relation,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,708b874a82d42369be5a91abc7aec8b2f6b4bbce77574c6e0f1c8d01116b4491,state=(Some(false); false; false; Some(10))
2,cc0_model,unsupported_relation,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,708b874a82d42369be5a91abc7aec8b2f6b4bbce77574c6e0f1c8d01116b4491,state=(Some(false); false; false; Some(10))
3,cc0_model,one_incident_arrow_survives,7700000,0,reference,true,true,true,,0,0,1,1,2,2,10,true,c2138ad53cf937ec8c4b1eefebb0aedc079d3faca6dbd8ec1d55a5195ece5708,state=(Some(false); true; false)
3,cc0_model,one_incident_arrow_survives,7700000,0,production,true,true,true,,0,0,1,1,2,2,10,true,c2138ad53cf937ec8c4b1eefebb0aedc079d3faca6dbd8ec1d55a5195ece5708,state=(Some(false); true; false)
4,cc0_model,all_incident_arrows_gone,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,708b874a82d42369be5a91abc7aec8b2f6b4bbce77574c6e0f1c8d01116b4491,death=Some(10)
4,cc0_model,all_incident_arrows_gone,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,708b874a82d42369be5a91abc7aec8b2f6b4bbce77574c6e0f1c8d01116b4491,death=Some(10)
5,cc0_model,generation_safe_reuse,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,32297bd5a6eaa111f4d3bd9fc2c0ec68a3b3f9d61328423a944b12eb13181168,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
5,cc0_model,generation_safe_reuse,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,32297bd5a6eaa111f4d3bd9fc2c0ec68a3b3f9d61328423a944b12eb13181168,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
6,cc0_model,two_participating_incoming,7700000,0,reference,true,true,true,,1,1,0,0,9,13,3,true,64580e6b7df6c82f8c0a78b386f0fa422f4e70f26fa0b1b8b6f12e278168b520,state=(Some(1); Some(1); Some(4); Some(4))
