case_id,sections,profile,topology,phase,excitation_q32,excitation,inhibition_q32,inhibition,threshold,delay_ab,delay_ba,class,excite_a_fires,excite_b_fires,inhibitor_a_fires,inhibitor_b_fires,positive_incidences,relay_incidences,negative_incidences,first_firings,continuation_firings,period_firings,period_ticks,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,pending,naturally_quiescent,first_ceiling,continuation_ceiling,initial_couplings,final_couplings,initial_resistances,final_resistances,trace_hash,continuation_trace_hash,body_hash,replay_exact,mechanics_exact,integrity_pass
1,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,0,0,1,1,1,periodic,48,48,48,48,191,96,0,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|0|4294967296|0,4294967296|4294967296|4294967296|0|4294967296|0,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336,134a1e4473359557a1b853cd220a0a969f29600cd5e2d4481746014f81328b43,faf5e8cb239829b1fb8964d3d100265d9f85ea3f3b23faeac47d05699fd5449f,8deddba12776e667ed0ea13f3a3ea1d8ff5dd4ede3de5b2d7a7af39fa0e33fb8,true,true,true
1,threshold_section,core_b,cycle,core0_phase,4294967296,1,0,0,1,1,1,periodic,48,48,48,48,191,96,0,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|0|4294967296|0,4294967296|4294967296|4294967296|0|4294967296|0,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688,134a1e4473359557a1b853cd220a0a969f29600cd5e2d4481746014f81328b43,faf5e8cb239829b1fb8964d3d100265d9f85ea3f3b23faeac47d05699fd5449f,8deddba12776e667ed0ea13f3a3ea1d8ff5dd4ede3de5b2d7a7af39fa0e33fb8,true,true,true
2,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,0,0,2,1,1,quiescent,1,0,1,0,2,1,0,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|0|4294967296|0,4294967296|4294967296|4294967296|0|4294967296|0,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,536eec6258183e4a2187de30c4164b58da2891f88983f48d68aecde97fa1652f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c4447e0bff8d186313d698e28707a568ea933664976104b5da981052348be869,true,true,true
2,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,0,0,2,1,1,quiescent,1,0,1,0,2,1,0,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|0|4294967296|0,4294967296|4294967296|4294967296|0|4294967296|0,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,536eec6258183e4a2187de30c4164b58da2891f88983f48d68aecde97fa1652f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c4447e0bff8d186313d698e28707a568ea933664976104b5da981052348be869,true,true,true
3,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,4294967296,1,1,1,1,periodic,48,48,48,48,95,96,96,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336,b4c5722d6d42c4a950a6fd28a2a38ea39b3b9a164b0694a2902aa003e4c178fa,52295f3282e691a0934d6bc8c57b0f1ff789b86c0d7cba1b5431ee7de20d52f9,d9e1a0f634573107100a7b6c24817893926df794f2cb107789cb7b6c38852e97,true,true,true
3,threshold_section,core_b,cycle,core0_phase,4294967296,1,4294967296,1,1,1,1,periodic,48,48,48,48,95,96,96,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688,b4c5722d6d42c4a950a6fd28a2a38ea39b3b9a164b0694a2902aa003e4c178fa,52295f3282e691a0934d6bc8c57b0f1ff789b86c0d7cba1b5431ee7de20d52f9,d9e1a0f634573107100a7b6c24817893926df794f2cb107789cb7b6c38852e97,true,true,true
4,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,4294967296,1,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,6eec55304667c4a0d57109410c241fb27817bb7c31fd4dd798b97b6f28e3cc96,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,edf9e7677476230dd189d7f014066bf0b87d18541194a389c6e053652fc36fca,true,true,true
4,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,4294967296,1,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296|4294967296|4294967296|-4294967296|4294967296|-4294967296,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,6eec55304667c4a0d57109410c241fb27817bb7c31fd4dd798b97b6f28e3cc96,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,edf9e7677476230dd189d7f014066bf0b87d18541194a389c6e053652fc36fca,true,true,true
5,threshold_section,core_b,cycle,core0_phase,4294967296,1,6442450944,1.5,1,1,1,periodic,48,48,48,48,95,96,96,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|-6442450944|4294967296|-6442450944,4294967296|4294967296|4294967296|-6442450944|4294967296|-6442450944,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688,cd49dd094aa401c7d758bb9b1d33e62847b1b528d7cace12a3208984693eb6a1,dd58239994ee72de6bdefde3a7f175df18518d887603dcd5bdb6274eb6b8dd9e,6ffef8a7072761799b2867adc127476c3cd7169f9a275d4a560b753d07fdcb36,true,true,true
6,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,6442450944,1.5,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-6442450944|4294967296|-6442450944,4294967296|4294967296|4294967296|-6442450944|4294967296|-6442450944,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,0af7eec118253e40c3f346079f5fab21e479e41f5b7c169ccc0109cd1c7e8832,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2c80806ad80ab0d7eec54080bbd40dfc17f29273e26daa259813331035a293eb,true,true,true
