case_id,topology,phase,excitation,inhibition,threshold,delay_ab,delay_ba,rs1_class,core_b_class,first_divergence
1,cycle,core0_phase,1,0,1,1,1,periodic,periodic,none
2,cycle,core0_phase,1,0,2,1,1,quiescent,quiescent,none
3,cycle,core0_phase,1,1,1,1,1,periodic,periodic,none
4,cycle,core0_phase,1,1,2,1,1,quiescent,quiescent,none
7,cycle,core0_phase,1,2,1,1,1,periodic,periodic,none
8,cycle,core0_phase,1,2,2,1,1,quiescent,quiescent,none
11,cycle,core0_phase,1,3,1,1,1,quiescent,quiescent,none
12,cycle,core0_phase,1,3,2,1,1,quiescent,quiescent,none
13,cycle,core0_phase,1,4,1,1,1,quiescent,quiescent,none
14,cycle,core0_phase,1,4,2,1,1,quiescent,quiescent,none
15,cycle,core0_phase,1,8,1,1,1,quiescent,quiescent,none
16,cycle,core0_phase,1,8,2,1,1,quiescent,quiescent,none
17,cycle,core0_phase,1,16,1,1,1,quiescent,quiescent,none
18,cycle,core0_phase,1,16,2,1,1,quiescent,quiescent,none
28,cycle,core0_phase,2,0,2,1,1,periodic,periodic,none
29,cycle,core0_phase,2,1,2,1,1,periodic,periodic,none
31,cycle,core0_phase,2,2,2,0,1,quiescent,quiescent,none
32,cycle,core0_phase,2,2,2,1,1,periodic,periodic,none
33,cycle,core0_phase,2,2,2,2,2,periodic,periodic,none
34,cycle,core0_phase,2,2,2,3,3,periodic,periodic,none
39,cycle,core0_phase,2,3,2,0,1,quiescent,quiescent,none
40,cycle,core0_phase,2,3,2,1,1,quiescent,quiescent,none
41,cycle,core0_phase,2,3,2,2,2,periodic,periodic,none
42,cycle,core0_phase,2,3,2,3,3,periodic,periodic,none
43,cycle,core0_phase,2,4,2,0,1,quiescent,quiescent,none
44,cycle,core0_phase,2,4,2,1,1,quiescent,quiescent,none
45,cycle,core0_phase,2,4,2,2,2,periodic,periodic,none
46,cycle,core0_phase,2,4,2,3,3,periodic,periodic,none
47,cycle,core0_phase,2,8,2,1,1,quiescent,quiescent,none
48,cycle,core0_phase,2,16,2,0,1,quiescent,quiescent,none
49,cycle,core0_phase,2,16,2,1,1,quiescent,quiescent,none
50,cycle,core0_phase,2,16,2,2,2,quiescent,quiescent,none
51,cycle,core0_phase,2,16,2,3,3,quiescent,quiescent,none
61,cycle,core0_phase,3,0,2,1,1,periodic,periodic,none
62,cycle,core0_phase,3,0,3,1,1,periodic,periodic,none
63,cycle,core0_phase,3,1,2,1,1,periodic,periodic,none
64,cycle,core0_phase,3,1,3,1,1,periodic,periodic,none
67,cycle,core0_phase,3,2,2,1,1,periodic,periodic,none
68,cycle,core0_phase,3,2,3,1,1,periodic,periodic,none
71,cycle,core0_phase,3,3,2,1,1,periodic,periodic,none
72,cycle,core0_phase,3,3,3,1,1,quiescent,quiescent,none
73,cycle,core0_phase,3,4,2,1,1,quiescent,quiescent,none
74,cycle,core0_phase,3,4,3,1,1,quiescent,quiescent,none
75,cycle,core0_phase,3,8,2,1,1,quiescent,quiescent,none
76,cycle,core0_phase,3,8,3,1,1,quiescent,quiescent,none
77,cycle,core0_phase,3,16,2,1,1,quiescent,quiescent,none
78,cycle,core0_phase,3,16,3,1,1,quiescent,quiescent,none
79,cycle,rs1_phase,1,0,1,1,1,periodic,periodic,none
80,cycle,rs1_phase,1,0,2,1,1,quiescent,quiescent,none
81,cycle,rs1_phase,1,1,1,1,1,periodic,periodic,none
82,cycle,rs1_phase,1,1,2,1,1,quiescent,quiescent,none
85,cycle,rs1_phase,1,2,1,1,1,periodic,periodic,none
86,cycle,rs1_phase,1,2,2,1,1,quiescent,quiescent,none
89,cycle,rs1_phase,1,3,1,1,1,quiescent,quiescent,none
90,cycle,rs1_phase,1,3,2,1,1,quiescent,quiescent,none
91,cycle,rs1_phase,1,4,1,1,1,quiescent,quiescent,none
92,cycle,rs1_phase,1,4,2,1,1,quiescent,quiescent,none
93,cycle,rs1_phase,1,8,1,1,1,quiescent,quiescent,none
94,cycle,rs1_phase,1,8,2,1,1,quiescent,quiescent,none
95,cycle,rs1_phase,1,16,1,1,1,quiescent,quiescent,none
96,cycle,rs1_phase,1,16,2,1,1,quiescent,quiescent,none
106,cycle,rs1_phase,2,0,2,1,1,periodic,periodic,none
107,cycle,rs1_phase,2,1,2,1,1,periodic,periodic,none
109,cycle,rs1_phase,2,2,2,0,1,quiescent,quiescent,none
110,cycle,rs1_phase,2,2,2,1,1,periodic,periodic,none
111,cycle,rs1_phase,2,2,2,2,2,periodic,periodic,none
112,cycle,rs1_phase,2,2,2,3,3,periodic,periodic,none
117,cycle,rs1_phase,2,3,2,0,1,quiescent,quiescent,none
118,cycle,rs1_phase,2,3,2,1,1,quiescent,quiescent,none
119,cycle,rs1_phase,2,3,2,2,2,periodic,periodic,none
