case_id,root,absolute_phase,family,mechanics,class,period_firings,period_ticks,first_firings,continuation_firings,excitatory_fire_counts,inhibitor_firings,excitatory_traversals,relay_traversals,negative_traversals,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,states,naturally_quiescent,ceiling_reached,continuation_ceiling_reached,unbounded_match,trace_hash,continuation_trace_hash,body_hash,live_hash,replay_equal,mechanics_equal,predicate_pass,case_pass
1,5900000,0,baseline_reciprocal,reference,periodic,2,2,256,32,144|144,0,287,0,0,256,32,288,287,1/999972/2;1/999972/2,false,true,true,true,c99e0c1e8d4da85c4d6e0612015044f995994026f703afcccbda2e07c21a445c,0ad54b2cb6797dffea2d9c1b41beb9270e92d08c1536c5860d68f463e592c055,12bed1e681ee1efcdf3f28f807462b9117985b094ad2ef7ca29883c8e064047f,b6c7729999f1111fc7873f32712ef0ce0e7bf2165b95b47359fcee3d838d538d,true,true,true,true
1,5900000,0,baseline_reciprocal,production,periodic,2,2,256,32,144|144,0,287,0,0,256,32,288,287,1/999972/2;1/999972/2,false,true,true,true,c99e0c1e8d4da85c4d6e0612015044f995994026f703afcccbda2e07c21a445c,0ad54b2cb6797dffea2d9c1b41beb9270e92d08c1536c5860d68f463e592c055,12bed1e681ee1efcdf3f28f807462b9117985b094ad2ef7ca29883c8e064047f,371e3e78917da6d725290974461b12ea4a0d1f2b1d62c444d2a5fc5efbabdf03,true,true,true,true
2,5900000,0,main_local_h16_alternating_phase,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,2,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,e99d54572949dceb186c20f21fbe2a23d4205f3ee305b5b658b2896c90a8ba71,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,08fb914ad8220b82f0488c47391c9482368889ff428ef5b074ae6d77cd38c2d9,718e8bfc10e00a826f9da75c29b84eafc4e0938e19dd892fbdabc50abc4059f2,true,true,true,true
2,5900000,0,main_local_h16_alternating_phase,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,2,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,e99d54572949dceb186c20f21fbe2a23d4205f3ee305b5b658b2896c90a8ba71,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,08fb914ad8220b82f0488c47391c9482368889ff428ef5b074ae6d77cd38c2d9,fef3523726068925b6441c56503762c0872dc5f6d1bd56473ff5821bf59c6271,true,true,true,true
3,5900000,0,chain_8_delay_1_h16,reference,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,7,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,4d1d88ad45ae397ce4444a35178cb15b89a582d7d6aec0c3c1d5d0d7b0e51b05,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,50b9ac2bea37acb992cc8ddedd0a2cb2dbd6b6a29853d30e62b63de64f3c86ea,1f57361a59105b99c014f5a2cbfdcba5fcf90fc3a3710770e643c83451b38b51,true,true,true,true
3,5900000,0,chain_8_delay_1_h16,production,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,7,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,4d1d88ad45ae397ce4444a35178cb15b89a582d7d6aec0c3c1d5d0d7b0e51b05,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,50b9ac2bea37acb992cc8ddedd0a2cb2dbd6b6a29853d30e62b63de64f3c86ea,2dc8124dfdf9f228e2995ab771e20bc11fcc38fb75a146e546f3112ecc9c4e74,true,true,true,true
4,5900000,0,chain_8_delay_0_h16,reference,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,0,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,b1f5d9b85fe42d98a2696f1875b97131fbd30a3b9e49b46ce168bd6f938da230,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a9e74bfa6357a66f3dd5f906a9ccf133775aab0121b32bb3f160ab55e0ff9837,53a5fa08d3bee63bba08977b2aca29112135d765feb850dc9833f044ce349351,true,true,true,true
4,5900000,0,chain_8_delay_0_h16,production,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,0,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,b1f5d9b85fe42d98a2696f1875b97131fbd30a3b9e49b46ce168bd6f938da230,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a9e74bfa6357a66f3dd5f906a9ccf133775aab0121b32bb3f160ab55e0ff9837,53a5fa08d3bee63bba08977b2aca29112135d765feb850dc9833f044ce349351,true,true,true,true
5,5900000,0,wrong_path_h16,reference,periodic,2,2,86,10,48|48,96,95,96,96,256,32,288,95,1/999991/2;1/999991/2;1/999991/1;1/999991/-16;1/999991/1;1/999991/-16,false,true,true,true,16e867df46ad7bde63a6b0baa4696766349c651ca9a294e0f69223aecbfcf1ae,969ae85b503d05466feeb5f4aff91aea5791872866f58b7fbfe47aa50e6cd027,a43552bdeda222f72262f16f3aae48bd25731b53636478b38a60d542fa998d0d,7e16a8aa33087e38804b84636929f75f385599f24d6c27b4a5f97c9536341a73,true,true,true,true
5,5900000,0,wrong_path_h16,production,periodic,2,2,86,10,48|48,96,95,96,96,256,32,288,95,1/999991/2;1/999991/2;1/999991/1;1/999991/-16;1/999991/1;1/999991/-16,false,true,true,true,16e867df46ad7bde63a6b0baa4696766349c651ca9a294e0f69223aecbfcf1ae,969ae85b503d05466feeb5f4aff91aea5791872866f58b7fbfe47aa50e6cd027,a43552bdeda222f72262f16f3aae48bd25731b53636478b38a60d542fa998d0d,2aafff729e83cef5abacf01e64bbda9c518b0419ad50be27e52a79747dbb8bdb,true,true,true,true
