case,family,root,phase,mechanics,replay_equal,cross_equal,renaming_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,normalized_trace_len,final_tick,normalized_trace_hash,raw_trace_hash,normalized_body_hash,raw_body_hash,live_hash,pending_continuation_hash,admitted_continuation_hash,markers
1,learned_negative_stabilizes,8100000,0,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,69a1844967baf496199e63597b65b4199d2f408238929b3d46a513203bef6b2b,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,bf95f00eac8569b0ed375bf182914cef60886e900aa042224491c26dabe651af,c58c8e6e3f9800f55538a6e6e5c20a0db56fac5cefb89aefe8c0f1d9e89eba60,9ec000c7e1d44ee776a468ad7eeaee462998b69e8c3d02f28a13e9bb84a90cb6,554eb546e42d30b36e3b6b8cfd28e121270a2190d47d857cdf1a1c7c922e2d63,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
1,learned_negative_stabilizes,8100000,0,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,69a1844967baf496199e63597b65b4199d2f408238929b3d46a513203bef6b2b,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,bf95f00eac8569b0ed375bf182914cef60886e900aa042224491c26dabe651af,6541bb28fc4a074cc5afda2d2dbdbd290b59f761b4a697892c5a0f5bae2c416c,9ec000c7e1d44ee776a468ad7eeaee462998b69e8c3d02f28a13e9bb84a90cb6,554eb546e42d30b36e3b6b8cfd28e121270a2190d47d857cdf1a1c7c922e2d63,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
2,no_modulation_no_selection,8100000,0,reference,true,true,true,false,uninhibited_recurrence_persists,false,false,92,0,8,4,8,4,45,51,fb99d58bdc4a7872ad0960c5d5a061875bceb6e4ab840b1a5612a35b24e21e2a,e76fafb2715577eaee944bb38e4c439dbdf31de20a1dbc9b7990bf4f77e78432,28e980a2af28a4845f75e28b5b73e8d9e878ebbb60b6d446efdec1249e0563cc,9c455ae357e2ceb2a0ab89eecb949f45711abccbbfda9b11e7e03279a829df25,5b422ef39f5d9742980c251ee6d8697a50432e09bee46c8200c5e23e46c3db71,f2d7bf8634d7722d3c759614ee1e01ff2f67933b8ac4b960c24f4bde65e3fa1f,266dae5a1e93b45e90249b076613c207e1bae1376e9472cde3022ee8f7525719,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=false
2,no_modulation_no_selection,8100000,0,production,true,true,true,false,uninhibited_recurrence_persists,false,false,92,0,8,4,8,4,45,51,fb99d58bdc4a7872ad0960c5d5a061875bceb6e4ab840b1a5612a35b24e21e2a,e76fafb2715577eaee944bb38e4c439dbdf31de20a1dbc9b7990bf4f77e78432,28e980a2af28a4845f75e28b5b73e8d9e878ebbb60b6d446efdec1249e0563cc,9c455ae357e2ceb2a0ab89eecb949f45711abccbbfda9b11e7e03279a829df25,d43579d204b9afdfb571f85e4cebae3b7d8f2ebdcbf713e38fc3cf135bf4623e,f2d7bf8634d7722d3c759614ee1e01ff2f67933b8ac4b960c24f4bde65e3fa1f,266dae5a1e93b45e90249b076613c207e1bae1376e9472cde3022ee8f7525719,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=false
3,candidate_identity_sign_order_permutation,8100000,0,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,e6d1befbb892ba8c5592a4fcb904af3eaf585dfa68a1c43253ff4f7a1c563505,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,0c23f90f2c37a2e5f715b32deb0388334458ac85e5d7ddec491fb42fd1cdf781,1406033e6424d2508e36711c3532b971604272c1288c49f0471197e263f3a652,9ec000c7e1d44ee776a468ad7eeaee462998b69e8c3d02f28a13e9bb84a90cb6,554eb546e42d30b36e3b6b8cfd28e121270a2190d47d857cdf1a1c7c922e2d63,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
3,candidate_identity_sign_order_permutation,8100000,0,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,e6d1befbb892ba8c5592a4fcb904af3eaf585dfa68a1c43253ff4f7a1c563505,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,0c23f90f2c37a2e5f715b32deb0388334458ac85e5d7ddec491fb42fd1cdf781,a3b13b959b1c5f6f3847c642460e5dc508a6e0de0e9f4c92ee70e0cbf6c4888b,9ec000c7e1d44ee776a468ad7eeaee462998b69e8c3d02f28a13e9bb84a90cb6,554eb546e42d30b36e3b6b8cfd28e121270a2190d47d857cdf1a1c7c922e2d63,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
4,inhibitory_location_permutation,8100000,0,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,69a1844967baf496199e63597b65b4199d2f408238929b3d46a513203bef6b2b,4878bd4e2485209e051b2d840f70ef04262afa2005a27850af856c745d67fe65,61979003dba20d495ac6b373875aaf18088b61215f4ef771734c07c86bcb96cb,20b7e468da7f0887519887d145c56a022c2bc2625a4c82b54634e0ea3d7b1bcc,e2a69018cee8c391e1a2897b9f73dace697f63c84cbfc4922faa7b1dd2e7264f,a51e2d82de6ab92bcd0c83ca93b52c864b08d4c85a697226854281b39c7df6ea,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
4,inhibitory_location_permutation,8100000,0,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,a8cc897f35965d28d63e41d8cff2fd57fe7144b5333b5d8e8b01b78e0a0984e8,69a1844967baf496199e63597b65b4199d2f408238929b3d46a513203bef6b2b,4878bd4e2485209e051b2d840f70ef04262afa2005a27850af856c745d67fe65,61979003dba20d495ac6b373875aaf18088b61215f4ef771734c07c86bcb96cb,8b449374e97bc30365174223a93a98fea28469781800f864739af84590c0330b,e2a69018cee8c391e1a2897b9f73dace697f63c84cbfc4922faa7b1dd2e7264f,a51e2d82de6ab92bcd0c83ca93b52c864b08d4c85a697226854281b39c7df6ea,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
5,irrelevant_negative_not_retained,8100000,0,reference,true,true,true,true,,true,false,72,2,20,10,6,3,10,14,089105c987b0b72c76927744f048d4211f11eeebfd124e1fcfd61f59b1999451,ed2c5846b3f68f7ca57c435bb9f08dfb53e6a46dd21a00ce7a2079e28afba98f,1bf39bd9ee7963252f0cade8c89ef649b3d4e6462c0ceef2858a159e8c82a13c,41e1922c3cb361b2033ddf473cd034cd05dcd7cc52fe045617fb20a6890688db,ef0654bb375c936f23ea91112fd2d596998b755a4dea3617b1d2f1140d79db10,ed3b9f7848f0acbb4307753434e95b01d239d24c9b465b6bb626a7c4ffcc7a8a,7913ecd6f5d6285b51c0c9bb0f780d2549c8953fc9e07d83bea2c6869f1a7173,useful_live=true;others_gone=true;fires=1/1
5,irrelevant_negative_not_retained,8100000,0,production,true,true,true,true,,true,false,72,2,20,10,6,3,10,14,089105c987b0b72c76927744f048d4211f11eeebfd124e1fcfd61f59b1999451,ef1af609c40c67e2e2dbbbd6bac513816bf6bc0d47d6932f8be14508e95d7951,1bf39bd9ee7963252f0cade8c89ef649b3d4e6462c0ceef2858a159e8c82a13c,41e1922c3cb361b2033ddf473cd034cd05dcd7cc52fe045617fb20a6890688db,cdc4879a33671ec23a2adcc9849a3366dea18dc186ff49f4e0894dffcf19614b,ed3b9f7848f0acbb4307753434e95b01d239d24c9b465b6bb626a7c4ffcc7a8a,7913ecd6f5d6285b51c0c9bb0f780d2549c8953fc9e07d83bea2c6869f1a7173,useful_live=true;others_gone=true;fires=1/1
6,useful_positive_selection_control,8100000,0,reference,true,true,true,false,positive_relation_reexecutes,true,false,21,2,4,2,2,1,7,12,83bcbe59c7fa6b762045930fe5dc960a5dbd7e6130daaed3be565da01f90967a,826b90301255aeca32e4d4ca716c55e056f06d44699f7d7c30a6378d2b303765,126b33b01ff68418561c5387c414a25b5062b294079cce057fb87a78506a0073,c70344d84696005679ff8610446d4b2d5c2c728800fd2a5e5928f8770214de13,e6680639a5b00f985e0a7705fd492398804204ee43a889eb35ffec8ee195b38b,44eabbcdff005415dc8b3893810f612acf4a2313b95ff9feaeccf1d0e7938ca5,f04fc12a78b294764f8ca3393f20aa86e707c83acd66c0ba68cc9c2de4bf4afc,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=0->0;anchors=[Some(500); Some(500)]
6,useful_positive_selection_control,8100000,0,production,true,true,true,false,positive_relation_reexecutes,true,false,21,2,4,2,2,1,7,12,83bcbe59c7fa6b762045930fe5dc960a5dbd7e6130daaed3be565da01f90967a,826b90301255aeca32e4d4ca716c55e056f06d44699f7d7c30a6378d2b303765,126b33b01ff68418561c5387c414a25b5062b294079cce057fb87a78506a0073,c70344d84696005679ff8610446d4b2d5c2c728800fd2a5e5928f8770214de13,80654e04f5ea28f4c0bed331746774684738cbac0bdc507b5456990497713b1a,44eabbcdff005415dc8b3893810f612acf4a2313b95ff9feaeccf1d0e7938ca5,f04fc12a78b294764f8ca3393f20aa86e707c83acd66c0ba68cc9c2de4bf4afc,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=0->0;anchors=[Some(500); Some(500)]
7,learned_negative_disconnected,8100000,0,reference,true,true,true,true,,false,true,128,2,20,10,18,9,24,26,568d5316bd7d39fda3fefa68f010de04b38abe6c1160ba5539d1bc177891fd75,491f82b16d795808a4332d436bae10231d253dfa2a5ee3d3d684aeb8a8c184a1,ec80c8cc82b23cc5f44b9069d804d8da9e577b0b4573f5fd860335bfbccae663,da7801972eeae459c0a8a849b614cd7b85cc0a0a7338c0e060b0a141caa4c7b6,ee27df1289056f2a17e3416f0feecfd921fbe447b3e1565621c3f56e6190c1f8,efa9251adc387c4501bb404fc9865e56f78e32101e43ebfa625a14ade270f5f3,379c1f0284406b1a8602ff475a03c75b534848786b59a6365d68a9a51d7d4496,disconnected=true;ceiling=true
7,learned_negative_disconnected,8100000,0,production,true,true,true,true,,false,true,128,2,20,10,18,9,24,26,568d5316bd7d39fda3fefa68f010de04b38abe6c1160ba5539d1bc177891fd75,491f82b16d795808a4332d436bae10231d253dfa2a5ee3d3d684aeb8a8c184a1,ec80c8cc82b23cc5f44b9069d804d8da9e577b0b4573f5fd860335bfbccae663,da7801972eeae459c0a8a849b614cd7b85cc0a0a7338c0e060b0a141caa4c7b6,a59344f1cbc18b88c6162a1a584070d63142996bc342c00afef2e5d76a811406,efa9251adc387c4501bb404fc9865e56f78e32101e43ebfa625a14ade270f5f3,379c1f0284406b1a8602ff475a03c75b534848786b59a6365d68a9a51d7d4496,disconnected=true;ceiling=true
8,learned_negative_not_traversed,8100000,0,reference,true,true,true,true,,false,true,112,2,16,8,14,7,26,31,17e64d2f078e9ae837340d1a26de4b84164d94e4eeae886fbd3eeef8b2173be4,eaabbdefcffb75c7c54f77fe6a417d2406dfb155c431932f5e8bb1dc27e9dd0a,567aea037038958c175d6a0bf72f38167ddcd9ce25da9462f353dbd6e23249db,e18ccd772783993ea9155f1569a0700beaea73613fb15c9ae6a8d0639d3b7049,fd861e3475f1a1cc8f771927c8a5e88eddabd7da42abba3a39082602d2d00512,f1c323fd427591b81526de2a0f28383b3fb7d89b0d85519e25a1bef28b5758a2,b0eca05435d313168b234fc500237a42b53ed378f1f6c741efe982400a0d6146,contact_fires=0
8,learned_negative_not_traversed,8100000,0,production,true,true,true,true,,false,true,112,2,16,8,14,7,26,31,17e64d2f078e9ae837340d1a26de4b84164d94e4eeae886fbd3eeef8b2173be4,eaabbdefcffb75c7c54f77fe6a417d2406dfb155c431932f5e8bb1dc27e9dd0a,567aea037038958c175d6a0bf72f38167ddcd9ce25da9462f353dbd6e23249db,e18ccd772783993ea9155f1569a0700beaea73613fb15c9ae6a8d0639d3b7049,bbe32e0e00f7e270cc90664da03178bcff51268f408578723332bfdbad30c6c4,f1c323fd427591b81526de2a0f28383b3fb7d89b0d85519e25a1bef28b5758a2,b0eca05435d313168b234fc500237a42b53ed378f1f6c741efe982400a0d6146,contact_fires=0
9,fresh_recurrence_packing,8100000,0,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,37185e7d7b7c55547297c8392805ce2f5ac2f536bc278d3401323574d5565c74,455aea2a61c3ca2f9d4fa736d4b4f7c54b60e869d7c5cdc1b05c2bb444b5e81e,cfbc39f72e9adc269b472697dab26781f313c4949480568ce93c937c3ab86190,e92ecdabbb4d04cf08e1bc48ea4a2732fac6669dec097a5ac6ba47d69fba06ef,0b005bc53b982d4c5b0a6045a10799cec53a6d232994feb731098d2fa937acd5,c8bb43f5bf038936e2f3a22f04964a404ee1843196d081a0b8685038cdd1650d,e3a57e01b15c6d5df7e56e9d326f7ee809e4ea4cf9c698e858a6ff3d136590c4,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
9,fresh_recurrence_packing,8100000,0,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,14,37185e7d7b7c55547297c8392805ce2f5ac2f536bc278d3401323574d5565c74,455aea2a61c3ca2f9d4fa736d4b4f7c54b60e869d7c5cdc1b05c2bb444b5e81e,cfbc39f72e9adc269b472697dab26781f313c4949480568ce93c937c3ab86190,e92ecdabbb4d04cf08e1bc48ea4a2732fac6669dec097a5ac6ba47d69fba06ef,833d20ddc80b456d88b9f5d754a9949da95cf1930461c4a1514bc74cdd02cb5a,c8bb43f5bf038936e2f3a22f04964a404ee1843196d081a0b8685038cdd1650d,e3a57e01b15c6d5df7e56e9d326f7ee809e4ea4cf9c698e858a6ff3d136590c4,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
10,learned_negative_stabilizes,8100000,1,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,c27bbe1e84f2a862da58270bfab9e93c724d653819c8b8743cd5896098354540,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,bf95f00eac8569b0ed375bf182914cef60886e900aa042224491c26dabe651af,79d101d2b8da752590588c88c6e946350ad4191662d9fbba58a452faa16dd3d8,022cfe84a25bff63561c3d1d28b90eeaf212d2c5b5ec062324a45aff64e16038,f508bdf560e70fb0ab7387d594db9a7d8f858a9c1312dc61ccc140ee45e6db71,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
