case,family,root,phase,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,trace_len,final_tick,body_hash,live_hash,markers
1,learned_negative_stabilizes,8100000,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,7ec7321720612011be2cf37b3ec0a469389d19ae3b6eeac1a75b5bc1e196abb7,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
1,learned_negative_stabilizes,8100000,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,ced4c21eedd6912865e8da7fff411305a74919c785075d4322ff91e1479cc990,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
2,no_modulation_no_selection,8100000,0,reference,true,false,true,,false,true,91,0,8,4,8,4,141,51,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,f6b19e0bcb5a09630d3f246af4a71643cc980709b268b3608a3f844dd3152363,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
2,no_modulation_no_selection,8100000,0,production,true,false,true,,false,true,91,0,8,4,8,4,141,51,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,cb45831fbe35afd7d7171c91ab7e7f1fca66b6996dd17aad670db45d03fd7d3b,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
3,candidate_identity_sign_order_permutation,8100000,0,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,14,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,2394d064a8989606074196e3ada3a87a8170a84251f942848dd28316b7463671,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
3,candidate_identity_sign_order_permutation,8100000,0,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,14,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,33950e0bc59b92cb70b9ed55100ddd0b2fb28bb82399b34b8249bf94f0f7fd22,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
4,inhibitory_location_permutation,8100000,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,1a6ce3544605fa92755cda49e8c19eff6858493c2e11289db5cbaea193f38314,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
4,inhibitory_location_permutation,8100000,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,76f6e05290fcdd1652f4a1a24409ea5892cfd8fa46faa876a84596192ccf9438,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
5,irrelevant_negative_not_retained,8100000,0,reference,true,false,true,,true,false,72,2,20,10,6,3,89,14,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,1eceece195b70d79aa495dc378c1a42d788cdac73c65dfca75d597c9f7e32692,useful_live=true;others_gone=true;fires=1/1
5,irrelevant_negative_not_retained,8100000,0,production,true,false,true,,true,false,72,2,20,10,6,3,89,14,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,227812fda9812e274fa9a1908940abb19c6f5f5d752b0ff8d9d25e94a30dd41e,useful_live=true;others_gone=true;fires=1/1
6,useful_positive_selection_control,8100000,0,reference,true,false,true,,true,false,21,2,4,2,2,1,27,12,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,c8f5a59b9063a0f441435c3cb8de80f1b203473cdf12ddae5050befd2c1b9b1d,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
