family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
same_junction_plus2_minus1,identity,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,identity,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_input,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_input,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_cell_insertion,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_cell_insertion,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_arrow_insertion,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_arrow_insertion,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_physical_names,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,reverse_physical_names,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,random_physical_names,reference,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
same_junction_plus2_minus1,random_physical_names,production,true,true,true,true,10,0,true,0,0,611ac5deed880d41da1f02e96310a95a51a641310464cb1b6b3442274ccee6de,true
threshold_plus1_plus1,identity,reference,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,identity,production,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_input,reference,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_input,production,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_cell_insertion,reference,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_cell_insertion,production,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_arrow_insertion,reference,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_arrow_insertion,production,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_physical_names,reference,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
threshold_plus1_plus1,reverse_physical_names,production,true,true,true,true,11,0,true,0,0,470d6cf01497017677a73cf4ccbeda375d1f9425ef33d519bd7e4d0c6e771d30,true
