case,family,root,permutation,mechanics,replay_equal,mechanics_equal,permutation_equal,predicates_pass,failed,quiescent,ceiling,drive_deliveries,modulatory_deliveries,resistance_updates,coupling_updates,qlp_traversals,maximum_wave,physical_work,final_tick,trace_hash,body_hash,continuation_hash
1,multiple_signed_drive_one_junction,9100000,identity,reference,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
1,multiple_signed_drive_one_junction,9100000,identity,production,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
2,multiple_signed_drive_one_junction,9100000,rename_physical,reference,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
2,multiple_signed_drive_one_junction,9100000,rename_physical,production,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
3,multiple_signed_drive_one_junction,9100000,reverse_cells,reference,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
3,multiple_signed_drive_one_junction,9100000,reverse_cells,production,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
4,multiple_signed_drive_one_junction,9100000,reverse_arrows,reference,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
4,multiple_signed_drive_one_junction,9100000,reverse_arrows,production,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
5,multiple_signed_drive_one_junction,9100000,reverse_inputs,reference,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
5,multiple_signed_drive_one_junction,9100000,reverse_inputs,production,true,true,true,true,,true,false,2,0,0,0,0,0,2,0,e2460cff99cfc2757e05f7986192744524a16bed528e78e5cc1e5ff47d4532a7,8d56e5a7f4161da82ccf1ba000bd563adf5a511f748d6eb19bcf016b56b5d1dc,e37c39188f89b184590b2d9acef4b8ed97c3d6442774488447f8e4023f884811
6,multiple_modulatory_one_junction,9100000,identity,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
6,multiple_modulatory_one_junction,9100000,identity,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
7,multiple_modulatory_one_junction,9100000,rename_physical,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
7,multiple_modulatory_one_junction,9100000,rename_physical,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
8,multiple_modulatory_one_junction,9100000,reverse_cells,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
8,multiple_modulatory_one_junction,9100000,reverse_cells,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
9,multiple_modulatory_one_junction,9100000,reverse_arrows,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
