case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,raw_trace_hash,body_hash,quiescent,normalized_trace_hash
1,1300000,0,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,0,0,e08e2a24e2010eee763b8b0e217f4b78814b2415ba8fb77d8bbc55e5717f81e2,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,0c6e4e2d7bcfd86993c5d87b639917f523402dabf757edb65c6e02ec48d0c53e
1,1300000,0,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,0,0,e08e2a24e2010eee763b8b0e217f4b78814b2415ba8fb77d8bbc55e5717f81e2,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,0c6e4e2d7bcfd86993c5d87b639917f523402dabf757edb65c6e02ec48d0c53e
2,1300000,0,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,4a0424bcc81f5324c7b1543f04c1f70e05b7ddc1394e6214827fa23d266be355,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,d57d43f35184310efb9da380e9c52cebd284d98e7e68d25e2954266c50c0cec4
2,1300000,0,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,4a0424bcc81f5324c7b1543f04c1f70e05b7ddc1394e6214827fa23d266be355,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,d57d43f35184310efb9da380e9c52cebd284d98e7e68d25e2954266c50c0cec4
3,1300000,0,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,0,0,e6126b32ae899a4560b3b426abe9c0c8e981dfffd024493f4f073a539caa62e5,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,8b3b7ec2154e0526a2ceffe1141d141ef52371597f6a69d673661de56b2cf691
3,1300000,0,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,0,0,e6126b32ae899a4560b3b426abe9c0c8e981dfffd024493f4f073a539caa62e5,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,8b3b7ec2154e0526a2ceffe1141d141ef52371597f6a69d673661de56b2cf691
4,1300000,0,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,0,0,5027e45c5022db32f18d7f1bb8a03274af1b826f61f2ac3fb36816c6d241aa76,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,92258b789ba6357d0796cc5a7b4bb3bd24b61e9449706f6030683dedda4c37d3
4,1300000,0,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,0,0,5027e45c5022db32f18d7f1bb8a03274af1b826f61f2ac3fb36816c6d241aa76,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,92258b789ba6357d0796cc5a7b4bb3bd24b61e9449706f6030683dedda4c37d3
5,1300000,0,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,1,1,59b25a5b57523a558025f97a58eadb37e21c26606295917e1de436adca5b84ba,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,da33bfdd2f32ae1c22992b291449237b53089027fb2364868438c63135e2e00c
5,1300000,0,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,1,1,59b25a5b57523a558025f97a58eadb37e21c26606295917e1de436adca5b84ba,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,da33bfdd2f32ae1c22992b291449237b53089027fb2364868438c63135e2e00c
6,1300000,0,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,5,5,c237b7b04d3a1b16b66707fd7d475f021db863198e4020a45382411599bbb8aa,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,94ee019ca340abd6f2f348b4c53b6936928a973f5f2c27b2eb65cfef5deb2939
6,1300000,0,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,5,5,c237b7b04d3a1b16b66707fd7d475f021db863198e4020a45382411599bbb8aa,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,94ee019ca340abd6f2f348b4c53b6936928a973f5f2c27b2eb65cfef5deb2939
7,1300000,0,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,1,1,2437c004ed0869a216cb1b5a75252e76262915890b862d426a78066b3fab005a,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,58e1d3404923b247e8a8053920b2f78b5f9054b1c799040b1a2cbf4b03d72e16
7,1300000,0,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,1,1,2437c004ed0869a216cb1b5a75252e76262915890b862d426a78066b3fab005a,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,58e1d3404923b247e8a8053920b2f78b5f9054b1c799040b1a2cbf4b03d72e16
8,1300000,0,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,4a0424bcc81f5324c7b1543f04c1f70e05b7ddc1394e6214827fa23d266be355,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,d57d43f35184310efb9da380e9c52cebd284d98e7e68d25e2954266c50c0cec4
8,1300000,0,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,4a0424bcc81f5324c7b1543f04c1f70e05b7ddc1394e6214827fa23d266be355,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,d57d43f35184310efb9da380e9c52cebd284d98e7e68d25e2954266c50c0cec4
9,1300000,0,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,da5c22a5e59bf05fc9a0e6a26c0ab06f8fec0d54e285b3523869be95ecaf9a70,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,8b3b7ec2154e0526a2ceffe1141d141ef52371597f6a69d673661de56b2cf691
9,1300000,0,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,da5c22a5e59bf05fc9a0e6a26c0ab06f8fec0d54e285b3523869be95ecaf9a70,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,8b3b7ec2154e0526a2ceffe1141d141ef52371597f6a69d673661de56b2cf691
10,1300000,0,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,cdcf047ccb94a5b3cc9e91460071696d5612cb2352993134bc6d7d3f518e6320,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,00108b9e2d3677b01b6d429814ad1eed2edaa66978a339e29e68270aa2ee217e
10,1300000,0,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,cdcf047ccb94a5b3cc9e91460071696d5612cb2352993134bc6d7d3f518e6320,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,00108b9e2d3677b01b6d429814ad1eed2edaa66978a339e29e68270aa2ee217e
11,1300000,0,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,0,0,edda0f81a90f690c928319939797f2dbc17c3cb09fc6027b7c714d62dc3c722c,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,283ee8d4c41b40dbc0646eeb0cdfdcd0ae042f450a176f525a760e6a2c62d081
11,1300000,0,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,0,0,edda0f81a90f690c928319939797f2dbc17c3cb09fc6027b7c714d62dc3c722c,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,283ee8d4c41b40dbc0646eeb0cdfdcd0ae042f450a176f525a760e6a2c62d081
12,1300000,1,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,1,1,f3cee1ff12fb6dbd0d27d7d2a6fd5f4fbc5246de270dd9c4dfded34f511521ba,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,6ed39caa69dca8afd54615b71e96ca54dcf149649aa1c66e853062c7e2d5ce4e
12,1300000,1,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,1,1,f3cee1ff12fb6dbd0d27d7d2a6fd5f4fbc5246de270dd9c4dfded34f511521ba,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,6ed39caa69dca8afd54615b71e96ca54dcf149649aa1c66e853062c7e2d5ce4e
13,1300000,1,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,ea08513394817448a8c5c515d5d6e150a31ed2141cb2b77f7077a318fa0db74d
13,1300000,1,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,ea08513394817448a8c5c515d5d6e150a31ed2141cb2b77f7077a318fa0db74d
14,1300000,1,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,1,1,d21a50a4e565286d1c27a731963fdf3fbad645b258ac0275bc342299ad396217,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,144a94e84cd4a03cd64092eddd91a90f3dc31b8c455f83baf6f8b1e6930136e1
14,1300000,1,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,1,1,d21a50a4e565286d1c27a731963fdf3fbad645b258ac0275bc342299ad396217,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,144a94e84cd4a03cd64092eddd91a90f3dc31b8c455f83baf6f8b1e6930136e1
15,1300000,1,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,a84e9948bc9a5734c8bcb61af68e22abf12126b3f2b0166159ac845735990e32
15,1300000,1,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,a84e9948bc9a5734c8bcb61af68e22abf12126b3f2b0166159ac845735990e32
