case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
1,1500000,0,0,reference,4294967296,4294967296,4294967296,0,8,0,0,218565a66996b12a4f7aa4bc10699ae5bba9baac2b6fb14fac062024fb55c5cb,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
1,1500000,0,0,production,4294967296,4294967296,4294967296,0,8,0,0,218565a66996b12a4f7aa4bc10699ae5bba9baac2b6fb14fac062024fb55c5cb,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
2,1500000,0,1,reference,4026531840,4026531840,4026531840,0,8,1,1,00dd5e077a70860eebbde694fb3ed03c8630628bd5359c4570574e0995683712,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
2,1500000,0,1,production,4026531840,4026531840,4026531840,0,8,1,1,00dd5e077a70860eebbde694fb3ed03c8630628bd5359c4570574e0995683712,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
3,1500000,0,2,reference,3774873600,3774873600,3774873600,0,8,2,2,7eae2f52a0636eb8c2d7ee331ce7f7996c3a9d9a1dd75f0cec2702290c907bd2,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
3,1500000,0,2,production,3774873600,3774873600,3774873600,0,8,2,2,7eae2f52a0636eb8c2d7ee331ce7f7996c3a9d9a1dd75f0cec2702290c907bd2,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
4,1500000,0,3,reference,3538944000,3538944000,3538944000,0,8,3,3,ae19bd18dcb6227063c5c4f586aa495cd3d46fc32c8549a9fab1475d30ded30c,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
4,1500000,0,3,production,3538944000,3538944000,3538944000,0,8,3,3,ae19bd18dcb6227063c5c4f586aa495cd3d46fc32c8549a9fab1475d30ded30c,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
5,1500000,0,4,reference,3317760000,3317760000,3317760000,0,8,4,4,228a2e1e0cf5b75337117aa8fd52af474b18859f0545c2293e2c80b5ae6cd12a,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
5,1500000,0,4,production,3317760000,3317760000,3317760000,0,8,4,4,228a2e1e0cf5b75337117aa8fd52af474b18859f0545c2293e2c80b5ae6cd12a,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
