case_id,root,initial_phase,control,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
1,1500000,0,prompt_a,reference,4294967296,4294967296,4294967296,0,8,0,0,218565a66996b12a4f7aa4bc10699ae5bba9baac2b6fb14fac062024fb55c5cb,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
1,1500000,0,prompt_a,production,4294967296,4294967296,4294967296,0,8,0,0,218565a66996b12a4f7aa4bc10699ae5bba9baac2b6fb14fac062024fb55c5cb,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
2,1500000,0,return_b,reference,4294967296,4294967296,0,4294967296,8,0,0,d856a6e7c620ea74754cabf87212266b248581213d87b6b825b8e4a960579fc6,de4bc7a58af2b7c4b95156a4965f1d7f8b593b354962167cafc4b74a7f1cecfd,1,1,1
2,1500000,0,return_b,production,4294967296,4294967296,0,4294967296,8,0,0,d856a6e7c620ea74754cabf87212266b248581213d87b6b825b8e4a960579fc6,de4bc7a58af2b7c4b95156a4965f1d7f8b593b354962167cafc4b74a7f1cecfd,1,1,1
3,1500000,0,unrelated_activity,reference,2252540587,2252540587,0,0,7,10,0,d0f91512acd2a9ce844097ec08a7d17441afe69366649eca5beca0c7ae9c25c3,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
3,1500000,0,unrelated_activity,production,2252540587,2252540587,0,0,7,10,0,d0f91512acd2a9ce844097ec08a7d17441afe69366649eca5beca0c7ae9c25c3,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
4,1500000,0,repeat_a,reference,5362940587,2252540587,0,0,7,10,0,ad39cb81ac166588e1547ee0f627e896aa73272cfa7aad5a164a60ae9e0daab0,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
4,1500000,0,repeat_a,production,5362940587,2252540587,0,0,7,10,0,ad39cb81ac166588e1547ee0f627e896aa73272cfa7aad5a164a60ae9e0daab0,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
5,1500000,0,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,10,0,baa6c6cde8ebb62468ab9cdd1f21d52d95f62ca3abbcb5b83b1558b9c1936fa5,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
5,1500000,0,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,10,0,baa6c6cde8ebb62468ab9cdd1f21d52d95f62ca3abbcb5b83b1558b9c1936fa5,fb4f88ff21ddd457449d6dc59782c72c87a367dfbae5d2f8e2c8108ec35975d4,1,1,1
