case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
1,v2_anchor_only_control,7500000,0,reference,true,true,true,,0,0,0,0,0,0,0,10,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
1,v2_anchor_only_control,7500000,0,production,true,true,true,,0,0,0,0,0,0,0,10,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
2,gate_a_sign_symmetry,7500000,0,reference,true,true,true,,2,4,0,0,0,11,14,2,true,b9712c11c127ee386e42a72400854061c2e16229f880e555e2257cb00ea72883,negative=CellId(4)/CellSlot(4);positive=CellId(3)/CellSlot(3)
2,gate_a_sign_symmetry,7500000,0,production,true,true,true,,2,4,0,0,0,11,14,2,true,b9712c11c127ee386e42a72400854061c2e16229f880e555e2257cb00ea72883,negative=CellId(4)/CellSlot(4);positive=CellId(3)/CellSlot(3)
3,gate_b_no_consequence,7500000,0,reference,true,true,true,,2,4,0,2,4,17,20,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,negative_live=(false; false; false);positive_live=(false; false; false)
3,gate_b_no_consequence,7500000,0,production,true,true,true,,2,4,0,2,4,17,20,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,negative_live=(false; false; false);positive_live=(false; false; false)
4,gate_c_bounded_creation,7500000,0,reference,true,true,true,,2,4,0,2,4,35,50,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,proposals=(2; 4)
4,gate_c_bounded_creation,7500000,0,production,true,true,true,,2,4,0,2,4,35,50,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,proposals=(2; 4)
5,gate_d_orphan_cleanup_reuse,7500000,0,reference,true,true,true,,2,4,0,2,4,17,20,10,true,9ca30bfc1227f513762006e9bf30c56efcec7c564a25a88cb4040bd320846335,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
5,gate_d_orphan_cleanup_reuse,7500000,0,production,true,true,true,,2,4,0,2,4,17,20,10,true,9ca30bfc1227f513762006e9bf30c56efcec7c564a25a88cb4040bd320846335,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
6,gate_e_positive_consequence,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,f654f52750b967d734715654701f66cc10579082a82398f2121bbe4002c736a4,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
6,gate_e_positive_consequence,7500000,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,f654f52750b967d734715654701f66cc10579082a82398f2121bbe4002c736a4,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
7,gate_f_negative_consequence,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,54f9938f36583b30a3788388dbd2f3ef60d9ed735dcaeda7e23348186dedbff2,selected_sign=-1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
