case,model,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
1,junction_model,useful_two_link_relation,7700000,0,reference,true,true,true,,0,2,0,0,10,15,12,true,418533b4a6480e75d53b081f85adabd65fe313edfcd166c33eb81295f0b23580,model=topology_derived_persistence;cell=Some(1);incoming=Some(4);outgoing=Some(4);live10=(Some(true); true; true);fires=1->2
1,junction_model,useful_two_link_relation,7700000,0,production,true,true,true,,0,2,0,0,10,15,12,true,418533b4a6480e75d53b081f85adabd65fe313edfcd166c33eb81295f0b23580,model=topology_derived_persistence;cell=Some(1);incoming=Some(4);outgoing=Some(4);live10=(Some(true); true; true);fires=1->2
2,junction_model,unsupported_relation,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,state=(Some(false); false; false; Some(10))
2,junction_model,unsupported_relation,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,state=(Some(false); false; false; Some(10))
3,junction_model,one_incident_arrow_survives,7700000,0,reference,true,true,true,,0,0,0,1,1,1,10,true,50c5374f39f64fa5a040f8e43195424f79f7d33ecd5c2d72ca00eb03169d9010,state=(Some(true); true; false)
3,junction_model,one_incident_arrow_survives,7700000,0,production,true,true,true,,0,0,0,1,1,1,10,true,50c5374f39f64fa5a040f8e43195424f79f7d33ecd5c2d72ca00eb03169d9010,state=(Some(true); true; false)
4,junction_model,all_incident_arrows_gone,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,death=Some(10)
4,junction_model,all_incident_arrows_gone,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,death=Some(10)
5,junction_model,generation_safe_reuse,7700000,0,reference,true,true,true,,0,0,1,2,3,3,10,true,3e516bb95a2bd5ab584962642c27c8d06da5a886b02c8dbbdc5688c460f74804,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
5,junction_model,generation_safe_reuse,7700000,0,production,true,true,true,,0,0,1,2,3,3,10,true,3e516bb95a2bd5ab584962642c27c8d06da5a886b02c8dbbdc5688c460f74804,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
6,junction_model,two_participating_incoming,7700000,0,reference,true,true,true,,0,3,0,0,10,14,3,true,e859d8e14c2faf5369186babc06033c0039375fe79d4bca02842ef5825a32db7,state=(Some(4); Some(4); Some(4); Some(1))
6,junction_model,two_participating_incoming,7700000,0,production,true,true,true,,0,3,0,0,10,14,3,true,e859d8e14c2faf5369186babc06033c0039375fe79d4bca02842ef5825a32db7,state=(Some(4); Some(4); Some(4); Some(1))
7,junction_model,one_incoming_not_participating,7700000,0,reference,true,true,true,,0,2,0,0,7,10,3,true,ba096866a70974f3f58208a1dceab26432288447841ecfb25bda1d937e0c9aa7,state=(Some(4); Some(1); Some(4); Some(1))
7,junction_model,one_incoming_not_participating,7700000,0,production,true,true,true,,0,2,0,0,7,10,3,true,ba096866a70974f3f58208a1dceab26432288447841ecfb25bda1d937e0c9aa7,state=(Some(4); Some(1); Some(4); Some(1))
8,junction_model,nearby_unrelated_topology,7700000,0,reference,true,true,true,,0,2,0,0,9,13,3,true,bac6fca127cffc74ecb54095b52b4d71a90c784e00c1bec85bebc2885f60e944,state=(Some(4); Some(4); Some(1); Some(1))
8,junction_model,nearby_unrelated_topology,7700000,0,production,true,true,true,,0,2,0,0,9,13,3,true,bac6fca127cffc74ecb54095b52b4d71a90c784e00c1bec85bebc2885f60e944,state=(Some(4); Some(4); Some(1); Some(1))
9,junction_model,useful_two_link_relation,7700000,1,reference,true,true,true,,0,2,0,0,10,15,13,true,418533b4a6480e75d53b081f85adabd65fe313edfcd166c33eb81295f0b23580,model=topology_derived_persistence;cell=Some(1);incoming=Some(4);outgoing=Some(4);live10=(Some(true); true; true);fires=1->2
9,junction_model,useful_two_link_relation,7700000,1,production,true,true,true,,0,2,0,0,10,15,13,true,418533b4a6480e75d53b081f85adabd65fe313edfcd166c33eb81295f0b23580,model=topology_derived_persistence;cell=Some(1);incoming=Some(4);outgoing=Some(4);live10=(Some(true); true; true);fires=1->2
10,junction_model,unsupported_relation,7700000,1,reference,true,true,true,,0,0,1,2,3,3,11,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,state=(Some(false); false; false; Some(10))
10,junction_model,unsupported_relation,7700000,1,production,true,true,true,,0,0,1,2,3,3,11,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,state=(Some(false); false; false; Some(10))
11,junction_model,one_incident_arrow_survives,7700000,1,reference,true,true,true,,0,0,0,1,1,1,11,true,50c5374f39f64fa5a040f8e43195424f79f7d33ecd5c2d72ca00eb03169d9010,state=(Some(true); true; false)
11,junction_model,one_incident_arrow_survives,7700000,1,production,true,true,true,,0,0,0,1,1,1,11,true,50c5374f39f64fa5a040f8e43195424f79f7d33ecd5c2d72ca00eb03169d9010,state=(Some(true); true; false)
12,junction_model,all_incident_arrows_gone,7700000,1,reference,true,true,true,,0,0,1,2,3,3,11,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,death=Some(10)
12,junction_model,all_incident_arrows_gone,7700000,1,production,true,true,true,,0,0,1,2,3,3,11,true,a4ec8b72abeee094523bc11f6f874f1c0fd9486c45190e04987507d5d3794afc,death=Some(10)
13,junction_model,generation_safe_reuse,7700000,1,reference,true,true,true,,0,0,1,2,3,3,11,true,3e516bb95a2bd5ab584962642c27c8d06da5a886b02c8dbbdc5688c460f74804,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
13,junction_model,generation_safe_reuse,7700000,1,production,true,true,true,,0,0,1,2,3,3,11,true,3e516bb95a2bd5ab584962642c27c8d06da5a886b02c8dbbdc5688c460f74804,old=CellRef { arena: ArenaId(7700000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));new=CellRef { arena: ArenaId(7700000); id: CellId(4); generation: Generation(2) }/Some(CellSlot(1))
14,junction_model,two_participating_incoming,7700000,1,reference,true,true,true,,0,3,0,0,10,14,4,true,e859d8e14c2faf5369186babc06033c0039375fe79d4bca02842ef5825a32db7,state=(Some(4); Some(4); Some(4); Some(1))
14,junction_model,two_participating_incoming,7700000,1,production,true,true,true,,0,3,0,0,10,14,4,true,e859d8e14c2faf5369186babc06033c0039375fe79d4bca02842ef5825a32db7,state=(Some(4); Some(4); Some(4); Some(1))
15,junction_model,one_incoming_not_participating,7700000,1,reference,true,true,true,,0,2,0,0,7,10,4,true,ba096866a70974f3f58208a1dceab26432288447841ecfb25bda1d937e0c9aa7,state=(Some(4); Some(1); Some(4); Some(1))
15,junction_model,one_incoming_not_participating,7700000,1,production,true,true,true,,0,2,0,0,7,10,4,true,ba096866a70974f3f58208a1dceab26432288447841ecfb25bda1d937e0c9aa7,state=(Some(4); Some(1); Some(4); Some(1))
