world,partition,resident_arenas,arena_hops,arena_lookups,active_arena_samples,active_arena_total,active_arena_max,peak_resident_bytes,queue_ops,comparisons,scans,allocations,bytes_touched,passed
global_order,P1_two_contiguous,2,64,320,128,128,1,36832,66,11970,10272,263,2461952,true
global_order,P2_four_contiguous,4,64,384,128,192,2,40032,66,7874,10272,266,2024192,true
global_order,P3_striped,4,64,692,128,500,4,40032,66,5550,10272,270,1805312,true
global_order,P4_deterministic_random,7,55,1046,128,854,7,51744,66,4332,10272,279,1711568,true
global_order,P5_adversarial,2,64,444,128,252,2,36832,66,7814,10272,266,2024192,true
global_order,P6_aggressive,128,64,4352,128,4160,64,266080,66,0,10272,322,1600112,true
dense_layers,P1_two_contiguous,2,128,1632,417,480,2,100576,391,88491,178836,601,22585856,true
dense_layers,P2_four_contiguous,4,384,1696,417,544,2,103776,391,83639,178836,601,22241120,true
dense_layers,P3_striped,4,288,2804,417,1652,4,103776,391,47749,178836,631,18382064,true
dense_layers,P4_deterministic_random,7,297,3968,417,2816,7,119808,391,40334,178836,658,17741480,true
dense_layers,P5_adversarial,2,192,1980,417,828,2,100576,391,63359,178836,613,19898240,true
dense_layers,P6_aggressive,128,384,11651,417,10499,41,309088,391,25668,178836,679,17034080,true
modulation,P1_two_contiguous,2,128,576,192,192,1,47584,131,17955,24832,461,4300800,true
modulation,P2_four_contiguous,4,128,672,192,288,2,50784,131,11811,24832,467,3644160,true
modulation,P3_striped,4,0,1134,192,750,4,50784,131,8325,24832,475,3315840,true
modulation,P4_deterministic_random,7,128,1665,192,1281,7,65952,131,6498,24832,493,3175224,true
modulation,P5_adversarial,2,0,762,192,378,2,47584,131,11721,24832,467,3644160,true
modulation,P6_aggressive,128,128,6624,192,6240,64,290656,131,0,24832,579,3008040,true
long_delay,P1_two_contiguous,2,64,351,160,159,1,39456,97,10947,8478,328,2149264,true
long_delay,P2_four_contiguous,4,64,477,160,285,2,56480,97,7781,8478,365,1854352,true
long_delay,P3_striped,4,0,804,160,612,4,42656,97,5982,8478,341,1713808,true
long_delay,P4_deterministic_random,7,64,1254,160,1062,7,64016,97,4855,8478,388,1646992,true
long_delay,P5_adversarial,2,0,502,160,310,2,39456,97,7788,8478,333,1858960,true
long_delay,P6_aggressive,128,64,5344,160,5152,64,268704,97,0,8478,545,1573120,true
zero_delay,P1_two_contiguous,2,32,191,64,95,2,20192,96,2449,2576,196,593152,true
zero_delay,P2_four_contiguous,4,32,238,64,142,3,23392,96,1890,2576,198,519424,true
zero_delay,P3_striped,4,0,346,64,250,4,21088,96,1638,2576,192,498688,true
zero_delay,P4_deterministic_random,7,32,523,64,427,7,27616,96,1311,2576,195,477088,true
zero_delay,P5_adversarial,2,0,222,64,126,2,17888,96,2146,2576,192,553984,true
zero_delay,P6_aggressive,64,32,1648,64,1552,32,133216,96,0,2576,224,450304,true
proposal_lifecycle,P1_two_contiguous,2,0,22,12,10,1,6560,10,7,14,24,7080,true
proposal_lifecycle,P2_four_contiguous,4,2,26,12,14,2,9760,10,2,14,24,7008,true
proposal_lifecycle,P3_striped,4,4,27,12,15,3,9760,10,1,14,24,7008,true
proposal_lifecycle,P4_deterministic_random,7,4,27,12,15,3,14560,10,1,14,24,7008,true
proposal_lifecycle,P5_adversarial,2,2,26,12,14,2,6560,10,2,14,24,7008,true
proposal_lifecycle,P6_aggressive,8,4,27,12,15,3,16160,10,1,14,24,7008,true
