family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
same_junction_plus2_minus1,identity,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,identity,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_input,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_input,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_cell_insertion,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_cell_insertion,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_arrow_insertion,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_arrow_insertion,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_physical_names,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,reverse_physical_names,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,random_physical_names,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
same_junction_plus2_minus1,random_physical_names,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus1_plus1,identity,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,identity,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_input,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_input,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_cell_insertion,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_cell_insertion,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_arrow_insertion,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_arrow_insertion,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_physical_names,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,reverse_physical_names,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,random_physical_names,reference,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus1_plus1,random_physical_names,production,true,true,true,true,11,0,true,0,0,d2ed2ab5205c14990c62d676cd8fcc8801feddff09f06662852ec8114a740759,true
threshold_plus2_minus1,identity,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,identity,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,reverse_input,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,reverse_input,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,reverse_cell_insertion,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,reverse_cell_insertion,production,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
threshold_plus2_minus1,reverse_arrow_insertion,reference,true,true,true,true,10,0,true,0,0,cd43a3d10ecbb6ec07692b90e705ef4b114b209775aca0fdddf6caa9f075c652,true
