case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
1,5500000,0,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,30d92c8b9c732ded9868e73a9e8ba7266febb5f6d59e11ec42f1eb79a0180b00,true,true,true,true,true
1,5500000,0,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,30d92c8b9c732ded9868e73a9e8ba7266febb5f6d59e11ec42f1eb79a0180b00,true,true,true,true,true
2,5500000,0,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,7,b8df1f3cf81d1c1d9c1b0d71cb16bce0d19ed96fd747f0ee9ea4911e0cee6fb3,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,ee475afc063f96fd3710a29710cf0aaaa79a56d73aa1731a69007145f4e6a326,true,true,true,true,true
2,5500000,0,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,7,b8df1f3cf81d1c1d9c1b0d71cb16bce0d19ed96fd747f0ee9ea4911e0cee6fb3,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,22a7c448286634d385db084cf65675898040d48a25daa87c21af65092fcff65c,true,true,true,true,true
3,5500000,0,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,0,87754eea2c2ef027d40228a0dddf0941eadd5f81819a3f3f0b804f51db8c01c3,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,b12f12b5d48279421a21eff313bbb392d5cf89578ba1247a474bd57ed04cca27,true,true,true,true,true
3,5500000,0,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,0,87754eea2c2ef027d40228a0dddf0941eadd5f81819a3f3f0b804f51db8c01c3,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,b12f12b5d48279421a21eff313bbb392d5cf89578ba1247a474bd57ed04cca27,true,true,true,true,true
4,5500000,0,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1026,44a3898cb78aaf2aad49e087b581d6a676cfc769daf6fecf0db97044e2db657e,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,5189d6dccf915b115f941a47cddf9bd19043c9651e388107dc3545931c3f470e,true,true,true,true,true
4,5500000,0,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1026,44a3898cb78aaf2aad49e087b581d6a676cfc769daf6fecf0db97044e2db657e,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,4116e6440372a0b975a14d9812ba6387085fa16d1877390fd4195a6f8add18b1,true,true,true,true,true
5,5500000,0,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,22,089fa8896f765e64229b2e64226801bfbdabfed3ee9f39ab1e10f7e329b1937f,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,e2c745b4856ee0a6b883214dfcb03e58c13abe981c122e449d330f154ecb7f85,true,true,true,true,true
5,5500000,0,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,22,089fa8896f765e64229b2e64226801bfbdabfed3ee9f39ab1e10f7e329b1937f,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,69427709ab815e419509934badc8d43d7092a290b7b3a2c698e9eb62eafc2b98,true,true,true,true,true
6,5500000,0,repeated_supported,reference,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2048,30af0fec03238f6b82be78ee5c2f2dc1e0fd0580ca40cb52200ff317b7799dca,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,4d0f38f7394b94ece24c68427e40cd4484496392e19a097a6ec1fac6dd021f04,true,true,true,true,true
6,5500000,0,repeated_supported,production,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2048,30af0fec03238f6b82be78ee5c2f2dc1e0fd0580ca40cb52200ff317b7799dca,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,4d0f38f7394b94ece24c68427e40cd4484496392e19a097a6ec1fac6dd021f04,true,true,true,true,true
7,5500000,0,threshold_family,reference,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10000,54356c8ccdd1cf1593809727e984e90f7048d5c2104c3d1fdc7eb6c4d1fca37b,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,7312569677a049a03e549c08fb2f03d66aa053f258143f90cab6722b6d763411,true,true,true,true,true
7,5500000,0,threshold_family,production,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10000,54356c8ccdd1cf1593809727e984e90f7048d5c2104c3d1fdc7eb6c4d1fca37b,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,b99d91617e0936a3bef08a71fe113e64dac4cbcca33fa569ff9942dde1362d6d,true,true,true,true,true
8,5500000,0,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,40,f18103b127ee3b98d78f3cb03257e834983a1447e85b65f6e9ca58f371318698,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,1a1b83aa03e0559546a26ff53a76db3baa5611058196bf7fae8cfe6b9a55371c,true,true,true,true,true
8,5500000,0,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,40,f18103b127ee3b98d78f3cb03257e834983a1447e85b65f6e9ca58f371318698,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,3ebe077b10e3fbb64f879929a10fb5294a3278497cfd3356b0cfb5c86454cd1f,true,true,true,true,true
9,5500000,0,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,0,8e742e8cc28bd7e616acdce58bb655eb19643d719483af795affcb0bdbbc1ae3,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,23df97dd12bce0799bd2c1a6f319e99c49135a982f42864b192f41981318f0dd,true,true,true,true,true
9,5500000,0,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,0,8e742e8cc28bd7e616acdce58bb655eb19643d719483af795affcb0bdbbc1ae3,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,23df97dd12bce0799bd2c1a6f319e99c49135a982f42864b192f41981318f0dd,true,true,true,true,true
10,5500000,0,recurrent_stability,reference,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,73,39827e4c241fdab10dba6fcbc92d429031825fe893f7109d1709e055bff61ab4,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,56f1508b31baf6066c5c23b91882fbf21dd1fdc11f9b704826fba3034d46e9e2,true,true,true,false,false
10,5500000,0,recurrent_stability,production,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,73,39827e4c241fdab10dba6fcbc92d429031825fe893f7109d1709e055bff61ab4,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,2179f4c5e372986de515d975fb3c4c77fb54b79c5a39f8ddf09fc10fb24a1660,true,true,true,false,false
11,5500000,1,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,1,086f1c604f772cb52c2391099e19ea67d577e3196d59ee883cd1d01f9eb7ddfa,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,1cfcc27c43e5cf7f482b75d65220d3646ef15163584f43a2471fd76eca9bbef0,true,true,true,true,true
11,5500000,1,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,1,086f1c604f772cb52c2391099e19ea67d577e3196d59ee883cd1d01f9eb7ddfa,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,1cfcc27c43e5cf7f482b75d65220d3646ef15163584f43a2471fd76eca9bbef0,true,true,true,true,true
12,5500000,1,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,8,5310b488ee33b4d8d6004653a2260e6d198f17f2e52eb594a044e58585307175,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,be8ff519ab98ce7f42b2c32bec85db997f6e66e96092a99eae47c8a4f670d496,true,true,true,true,true
12,5500000,1,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,8,5310b488ee33b4d8d6004653a2260e6d198f17f2e52eb594a044e58585307175,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,f5290ed618c72ab794446fb54f74ac2cc34c3385559f667cd75415e9c3984873,true,true,true,true,true
13,5500000,1,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,1,7cddc2e6e24c3968669fa354a7847b75c7360307d277b5e7815c6ef1996f6732,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,49d6c8cfd47f71d64d32e0908691368a88aa07e09ac9c42dec96b15964b34580,true,true,true,true,true
13,5500000,1,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,1,7cddc2e6e24c3968669fa354a7847b75c7360307d277b5e7815c6ef1996f6732,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,49d6c8cfd47f71d64d32e0908691368a88aa07e09ac9c42dec96b15964b34580,true,true,true,true,true
14,5500000,1,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1027,6c1badc2ee487dc2915dec81247d5dc71bfee49602cb10f5ee7d518a376799bc,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,499ef0863f003687dad27d6b504878a7e0bee43d9242502c98b01f764cfe51b1,true,true,true,true,true
14,5500000,1,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1027,6c1badc2ee487dc2915dec81247d5dc71bfee49602cb10f5ee7d518a376799bc,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,2e007bfe734bd3cf7378061ea5f736e9b7c283ecccecfc439cc6b6edf6b98290,true,true,true,true,true
15,5500000,1,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,23,13dda0e2b4279bc99c5e782f1e288baa504acdd8080730203ef7304540f9b897,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,12305c56e875b0a065318eadd0bcf09b48361516b474e724d796f5cec7b7376d,true,true,true,true,true
