stage,case,namespace,matched,trained_out,crossed_out,singleton_out,source_firings,traversals,local_events,local_firings,returned_arrivals,outward,local_return_updates,structural_proposals,deallocations,work,resistance,coupling,live,local_state,arrow_count,persistent_bytes,permanent_fingerprint,complete_fingerprint,schedule_floors,quiescent,duplicate_exact,pass,note
gate,fresh-gate-00,0xd00000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,48|48|48|48|48|48,1|0|1|1|0|1,5|0|17|17|0|5,6|6|0|0|18|18|18|18|0|0|6|6,5|0|17|17|0|5,96,164,172,52396,0|0|0|0|36|36|36|36|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,194,13616,0xfed8b05104d0b01e,0xd5c7c9c3be16ab6e,0,false,true,true,spacing=10; cluster_gap=3; old_zero=true; new_live=true
gate,fresh-gate-01,0xd01000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,43|39|44|46|39|43,1|0|1|1|0|1,5|0|16|17|0|5,6|6|0|0|17|17|18|18|0|0|6|6,5|0|16|17|0|5,94,170,178,53592,0|0|0|0|31|31|33|33|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,200,14000,0xeece884c4079b935,0x3bdcbe2d9e9ba5e4,0,false,true,true,spacing=12; cluster_gap=4; old_zero=true; new_live=true
gate,fresh-gate-02,0xd02000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,42|39|46|44|39|42,1|0|1|2|0|1,5|0|17|15|0|5,6|6|0|0|18|18|17|17|0|0|6|6,5|0|17|15|0|5,92,176,184,54966,0|0|0|0|29|29|26|26|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,206,14384,0x1754cc46f8eef68c,0xc7cc7829bf6a99bc,0,false,true,true,spacing=14; cluster_gap=5; old_zero=true; new_live=true
gate,fresh-gate-03,0xd03000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,48|48|48|48|48|48,1|0|1|1|0|1,5|0|17|17|0|5,6|6|0|0|18|18|18|18|0|0|6|6,5|0|17|17|0|5,96,164,172,52396,0|0|0|0|36|36|36|36|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,194,13616,0x088afbb0fd6ff6ce,0xe554687d955a4282,0,false,true,true,spacing=10; cluster_gap=3; old_zero=true; new_live=true
gate,fresh-gate-04,0xd04000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,43|39|44|46|39|43,1|0|1|1|0|1,5|0|16|17|0|5,6|6|0|0|17|17|18|18|0|0|6|6,5|0|16|17|0|5,94,170,178,53592,0|0|0|0|31|31|33|33|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,200,14000,0x9fc912fffff016a1,0xe6820397a20e0a40,0,false,true,true,spacing=12; cluster_gap=4; old_zero=true; new_live=true
gate,fresh-gate-05,0xd05000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,42|39|46|44|39|42,1|0|1|2|0|1,5|0|17|15|0|5,6|6|0|0|18|18|17|17|0|0|6|6,5|0|17|15|0|5,92,176,184,54966,0|0|0|0|29|29|26|26|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,206,14384,0xc3da780dc4467338,0x24493ea582c26864,0,false,true,true,spacing=14; cluster_gap=5; old_zero=true; new_live=true
gate,fresh-gate-06,0xd06000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,48|48|48|48|48|48,1|0|1|1|0|1,5|0|17|17|0|5,6|6|0|0|18|18|18|18|0|0|6|6,5|0|17|17|0|5,96,164,172,52396,0|0|0|0|36|36|36|36|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,194,13616,0xeb2567b656da9b1a,0xe19f9d960e98319a,0,false,true,true,spacing=10; cluster_gap=3; old_zero=true; new_live=true
gate,fresh-gate-07,0xd07000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,43|39|44|46|39|43,1|0|1|1|0|1,5|0|16|17|0|5,6|6|0|0|17|17|18|18|0|0|6|6,5|0|16|17|0|5,94,170,178,53592,0|0|0|0|31|31|33|33|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,200,14000,0x6cc86da1a6ea6433,0x18a1b3ec6f7c6692,0,false,true,true,spacing=12; cluster_gap=4; old_zero=true; new_live=true
gate,fresh-gate-08,0xd08000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,42|39|46|44|39|42,1|0|1|2|0|1,5|0|17|15|0|5,6|6|0|0|18|18|17|17|0|0|6|6,5|0|17|15|0|5,92,176,184,54966,0|0|0|0|29|29|26|26|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,206,14384,0xb3f02c58a6a76bcc,0x2925afec0e2b73b4,0,false,true,true,spacing=14; cluster_gap=5; old_zero=true; new_live=true
gate,fresh-gate-09,0xd09000000,true,1|1,0|0,0|0|0|0,24|24|24|24|24|24|24|24|24|24|24|24,48|48|48|48|48|48,1|0|1|1|0|1,5|0|17|17|0|5,6|6|0|0|18|18|18|18|0|0|6|6,5|0|17|17|0|5,96,164,172,52396,0|0|0|0|36|36|36|36|0|0|0|0,0|0|0|0|2|2|2|2|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,0|0|0|0|0|0,194,13616,0x8e1e0f8b08a079a6,0x710719656b932e7a,0,false,true,true,spacing=10; cluster_gap=3; old_zero=true; new_live=true
