stage,case,namespace,matched,trained_out,crossed_out,singleton_out,source_firings,traversals,local_events,local_firings,returned_arrivals,outward,local_return_updates,structural_proposals,deallocations,work,resistance,coupling,live,local_state,arrow_count,persistent_bytes,permanent_fingerprint,complete_fingerprint,schedule_floors,quiescent,duplicate_exact,pass,note
probe,matched-primary-0,0xcd1000000,true,1|1,0|0,0|0|0|0,6|6|6|6|6|6|6|6|6|6|6|6,12|12|12|12|12|12,1|0|0|0|0|1,5|0|0|0|0|5,6|6|0|0|0|0|0|0|0|0|6|6,5|0|0|0|0|5,24,40,44,7395,14|14|1|0|1|0|1|0|1|0|14|14,2|2|1|0|1|0|1|0|1|0|2|2,true|true|true|false|true|false|true|false|true|false|true|true,0|1|1|1|1|0,70,5680,0x27c20fe79772c8d3,0xdd393fc015d8e7fc,0,true,true,true,six-round A+B/C+D acquisition and held-out discrimination
probe,matched-primary-1,0xcd2000000,true,1|1,0|0,0|0|0|0,6|6|6|6|6|6|6|6|6|6|6|6,12|12|12|12|12|12,1|0|0|0|0|1,5|0|0|0|0|5,6|6|0|0|0|0|0|0|0|0|6|6,5|0|0|0|0|5,24,40,44,7395,14|14|1|0|1|0|1|0|1|0|14|14,2|2|1|0|1|0|1|0|1|0|2|2,true|true|true|false|true|false|true|false|true|false|true|true,0|1|1|1|1|0,70,5680,0x8d45f21e4dd04713,0xcdacaab082013120,0,true,true,true,six-round A+B/C+D acquisition and held-out discrimination
probe,stable-alternative,0xcd3000000,true,1|1,0|0,0|0|0|0,6|6|6|6|6|6|6|6|6|6|6|6,12|12|12|12|12|12,0|0|1|1|0|0,0|0|5|5|0|0,0|0|0|0|6|6|6|6|0|0|0|0,0|0|5|5|0|0,24,40,44,7395,1|0|1|0|14|14|14|14|0|1|0|1,1|0|1|0|2|2|2|2|0|1|0|1,true|false|true|false|true|true|true|true|false|true|false|true,1|1|0|0|1|1,70,5680,0x0407d8f2c18a6cbd,0x250c0da90edddb42,0,true,true,true,fresh A+D/C+B organization
probe,singleton-only,0xcd4000000,true,0|0,0|0,0|0|0|0,4|0|4|0|4|0|0|0|0|0|0|0,4|4|4|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0,9,18,768,1|0|1|0|1|0|0|0|0|0|0|0,1|0|1|0|1|0|0|0|0|0|0|0,true|false|true|false|true|false|false|false|false|false|false|false,1|1|1|0|0|0,39,3696,0x71717e1d48fe77e8,0x42262a7706ad7af4,0,true,true,true,silence=true; expected_local_events=0
probe,too-late-second,0xcd5000000,true,0|0,0|0,0|0|0|0,4|4|4|0|4|0|4|0|4|0|0|0,8|4|4|4|4|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0,18,24,1539,1|1|1|0|1|0|1|0|1|0|0|0,1|1|1|0|1|0|1|0|1|0|0|0,true|true|true|false|true|false|true|false|true|false|false|false,1|0|0|1|1|0,48,4272,0x28c3e21216913fec,0x138869313623fc2b,6,true,true,true,silence=true; expected_local_events=0
probe,correlation-without-traversal,0xcd6000000,true,0|0,0|0,0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0,0,12,218,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0,30,3120,0xfe9cd44d799a7e41,0xd955af5f40b96360,0,true,true,true,silence=true; expected_local_events=0
probe,traversal-return-blocked,0xcd7000000,true,0|0,0|0,0|0|0|0,4|4|4|0|4|0|4|0|4|0|0|0,8|4|4|4|4|0,4|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0,18,24,1879,1|1|1|0|1|0|1|0|1|0|0|0,1|1|1|0|1|0|1|0|1|0|0|0,true|true|true|false|true|false|true|false|true|false|false|false,2|1|1|1|1|0,48,4272,0xdebbf125942adeac,0x68e828426fff9c0a,0,true,true,true,silence=true; expected_local_events=4
probe,absent-opportunity,0xcd8000000,true,0|0,0|0,0|0|0|0,4|4|4|0|4|0|4|0|4|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0,0,0,1254,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0,30,3120,0x7141d59716196f62,0xcf11aff5f2069b3a,0,true,true,false,silence=true; expected_local_events=1
probe,stale-opportunity,0xcd9000000,true,0|0,0|0,0|0|0|0,4|4|4|0|4|0|4|0|4|0|0|0,8|4|4|4|4|0,1|0|0|0|0|0,3|0|0|0|0|0,4|4|0|0|0|0|0|0|0|0|0|0,3|0|0|0|0|0,8,18,24,2284,10|10|1|0|1|0|1|0|1|0|0|0,2|2|1|0|1|0|1|0|1|0|0|0,true|true|true|false|true|false|true|false|true|false|false|false,0|0|0|0|0|0,48,4272,0x5a11b6912564b07c,0x359b72517382dd0e,0,true,true,false,silence=false; expected_local_events=1
probe,ambiguity-three,0xcda000000,true,3|0,0|0,0|0|0|0,2|2|2|2|2|0|2|2|2|0|2|0,4|4|2|4|2|2,1|1|0|1|0|0,1|1|0|1|0|0,2|2|2|2|0|0|2|2|0|0|0|0,1|1|0|1|0|0,12,3,6,1842,6|6|6|6|1|0|6|6|1|0|1|0,2|2|2|2|1|0|2|2|1|0|1|0,true|true|true|true|true|false|true|true|true|false|true|false,0|0|1|0|1|1,33,3312,0xfa476d443b6e2e3b,0x92203a969616e13e,0,true,true,true,expected_supported_sites=3
