protocol,category,cell,scenario,passed,routes,loci,outputs,support_before,support_after,coupling_after,generation_after,live_after,learned_traversals,learned_output_firings,learned_support_increases,aggregate_returns,distractor_firings,complete_fingerprint,permanent_fingerprint,arrows,persistent_bytes,work,quiescent,duplicate_exact,note
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g0-primary,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,15|0|0|0|15|0,0|0|42|43|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,115,0,22776ffff4566fbb,d5a3d13e5b028090,106,7552,61040,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=20;gap=3;load=0
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g0-dup,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,15|0|0|0|15|0,0|0|42|43|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,115,0,22776ffff4566fbb,d5a3d13e5b028090,106,7552,61040,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=20;gap=3;load=0
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g1-primary,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,13|0|0|0|13|0,0|0|35|35|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,154,832,c53d3df72525fa7a,6128f0bbca11a294,68,5504,116706,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=22;gap=4;load=8
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g1-dup,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,13|0|0|0|13|0,0|0|35|35|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,154,832,c53d3df72525fa7a,6128f0bbca11a294,68,5504,116706,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=22;gap=4;load=8
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g2-primary,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,10|0|0|0|10|0,0|0|26|27|0|0,0|0|2|2|0|0,0|0|38|39|0|0,false|false|true|true|false|false,0,0,0,104,2496,dd637ae8730df67e,11ee7bb47c3c6749,116,9344,326593,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=24;gap=5;load=24
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g2-dup,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,10|0|0|0|10|0,0|0|26|27|0|0,0|0|2|2|0|0,0|0|38|39|0|0,false|false|true|true|false|false,0,0,0,104,2496,dd637ae8730df67e,11ee7bb47c3c6749,116,9344,326593,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=24;gap=5;load=24
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g3-primary,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,8|0|0|0|8|0,0|0|19|19|0|0,0|0|2|2|0|0,0|0|38|39|0|0,false|false|true|true|false|false,0,0,0,104,4992,aca46b78c8a26dc6,4b03fd0719265dd2,116,10496,648562,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=26;gap=6;load=48
cj0-e-transient-coincidence-development-gate-v1,flat,s0-g3-dup,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,8|0|0|0|8|0,0|0|19|19|0|0,0|0|2|2|0|0,0|0|38|39|0|0,false|false|true|true|false|false,0,0,0,104,4992,aca46b78c8a26dc6,4b03fd0719265dd2,116,10496,648562,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=26;gap=6;load=48
cj0-e-transient-coincidence-development-gate-v1,flat,s1-g0-primary,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,15|0|0|0|15|0,0|0|42|43|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,115,0,bac8b7507e6b457b,af069be0571406b0,106,7552,61040,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=20;gap=3;load=0
cj0-e-transient-coincidence-development-gate-v1,flat,s1-g0-dup,matched-reversal,true,52|52|52|52,12|0|40|40|12|0,11|0|39|39|11|0,15|0|0|0|15|0,0|0|42|43|0|0,0|0|2|2|0|0,0|0|28|29|0|0,false|false|true|true|false|false,0,0,0,115,0,bac8b7507e6b457b,af069be0571406b0,106,7552,61040,true,true,initial=true;trained=true;crossed=true;old_dead=true;new=true;new_exec=true;old_silent=true;self=true;spacing=20;gap=3;load=0
